instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant,study_id,session,Tu variedad del español*,¿Hablas con fluidez otra lengua (sí/no)?*,date,expName,psychopyVersion,OS,frameRate,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response,the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,item_num,andalusian,argentine,castilian,chilean,cuban,mexican,peruvian,puertorican
0,0,0,0,1,"En la siguiente tarea vas a escuchar una serie de frases cortas. 

  Vas a decidir si suenan como preguntas o no usando el teclado.",(presiona la barra espaciadora para continuar),601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Si crees que el enunciado es una pregunta, teclea '1' (Sí) y si crees que 
  no es una pregunta teclea '0' (no).

  Vamos a practicar...",(presiona la barra espaciadora para continuar),601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,1,3.068795,0,0,0,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,1,2.08427,0,1,1,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,0,1.81723,0,2,2,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,1,1.8676,0,3,3,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,1,1.602115,0,4,4,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,1,2.017825,0,5,5,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,1,1.88401,0,6,6,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,601857c3c3f5ce0c3e5fb913,602ab2f3ccc37d12d58ba79b,602b22457597b024d2e7b426,Mexicano,Sí,2021-02-15_19h42.50.409,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,0,2.13427,0,7,7,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1,,,,,,,,,,,,,,,,,,
