instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant,study_id,session,Tu variedad del español*,¿Hablas con fluidez otra lengua (sí/no)?*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,item_num,andalusian,argentine,castilian,chilean,cuban,mexican,peruvian,puertorican
0,0,0,0,1,"En la siguiente tarea vas a escuchar una serie de frases cortas. 

  Vas a decidir si suenan como preguntas o no usando el teclado.",(presiona la barra espaciadora para continuar),028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Si crees que el enunciado es una pregunta, teclea '1' (Sí) y si crees que 
  no es una pregunta teclea '0' (no).

  Vamos a practicar...",(presiona la barra espaciadora para continuar),028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,0,1,3.414,0,0,0,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,0,1,2.9249,0,1,1,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,1,1,2.4023,0,2,2,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,1,1,2.8353,0,3,3,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,1,1,1.6001,0,4,4,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,1,1,2.1673,0,5,5,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,0,1,2.149,0,6,6,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0,,,,,,,,,,,,,,,,,
,,,,,,,028009,and,001,andaluz,sí,2022-11-03_16h55.01.265,empathy_intonation_perc_sp_and,2022.2.4,MacIntel,59.98080614,IwAR3yMTf1paxoO4sbiChfvDxNdjvg09fXaxkluEHSagsy6wuQbZAzkXMtbCo,0,1,2.1865,0,7,7,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0,,,,,,,,,,,,,,,,,
