time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025078,369.8,369.4,2166.1,1191.5,2764.6,259.0,283.9,1989.2,2783.8,265,64.4,-200
0.027078,357.1,299.1,2228.3,1102.7,2753.2,271.3,284,1989.4,2784,263.1,65,-200
0.029078,341.2,294.0,2371.5,1100.7,2697.5,320.2,284.1,1989.7,2784.3,261.2,66.5,-169.4
0.031078,313.9,342.3,2576.5,1433.4,2591.7,280.0,284.2,1990.2,2784.7,259.2,69.2,-124.3
0.033078,294.9,264.7,2541.5,201.6,2752.1,2022.1,284.3,1990.7,2785.2,257.2,72.5,-74.4
0.035078,291.7,119.3,2520.1,173.9,2920.6,2754.0,284.4,1991.4,2785.9,255.2,75.5,-29.1
0.037078,289.1,63.9,2517.0,174.3,2983.0,4358.8,284.6,1992.2,2786.7,253.2,78.2,1.9
0.039078,288.9,51.9,2512.7,183.3,4627.7,447.4,284.8,1993.1,2787.6,251.2,80.4,15.5
0.041078,288.8,52.6,2494.9,196.5,4694.8,452.2,285.1,1994.2,2788.6,249.2,82.2,17.9
0.043078,287.6,55.7,1176.3,5132.7,2478.0,214.2,285.3,1995.4,2789.7,247.3,83.6,14.1
0.045078,285.6,59.6,1491.5,3551.0,2469.6,238.8,285.6,1996.7,2790.9,245.4,84.6,8.8
0.047078,284.0,65.8,1566.5,3249.2,2463.9,280.0,285.9,1998.1,2792.3,243.5,85.3,7.1
0.049078,282.4,71.4,1605.0,2849.9,2465.8,327.1,286.3,1999.7,2793.8,241.7,85.7,9
0.051078,279.6,72.1,1570.4,2059.5,2486.7,345.9,286.7,2001.3,2795.4,240,86,11.2
0.053078,275.9,67.5,1534.4,1485.1,2512.8,317.0,287.1,2003.1,2797.1,238.3,86.1,13.6
0.055078,272.4,61.8,1520.6,1188.7,2530.0,276.3,287.5,2005,2798.9,236.8,86.1,16
0.057078,269.5,58.0,1516.2,1067.3,2543.6,245.0,287.9,2007,2800.8,235.2,86,18.1
0.059078,267.7,57.2,1507.3,1047.9,2559.6,225.6,288.4,2009.1,2802.9,233.8,86,20.3
0.061078,267.3,58.5,1486.2,1059.8,2582.6,209.7,288.9,2011.4,2805,232.4,85.9,22.5
0.063078,268.5,59.9,1458.0,1035.6,2609.5,187.9,289.5,2013.7,2807.3,231,85.8,24.5
0.065078,271.0,61.0,1437.3,981.6,2629.2,163.5,290,2016.2,2809.7,229.8,85.7,26
0.067078,274.6,64.0,1429.9,958.6,2635.7,152.5,290.6,2018.8,2812.2,228.6,85.5,26.7
0.069078,278.8,70.3,1425.3,989.8,2632.6,161.2,291.3,2021.5,2814.8,227.4,85.4,26
0.071078,283.4,79.2,1411.0,1042.9,2625.3,184.5,291.9,2024.3,2817.5,226.3,85.2,24.2
0.073078,287.1,86.2,1391.2,1046.4,2622.0,206.1,292.6,2027.2,2820.3,225.2,85,22
0.075078,289.1,88.1,1386.8,991.7,2629.3,213.3,293.3,2030.2,2823.2,224.2,84.9,20
0.077078,289.5,87.6,1406.9,958.9,2641.3,218.0,294,2033.3,2826.2,223.2,84.8,19
0.079078,288.8,87.6,1438.5,972.5,2648.7,232.8,294.8,2036.5,2829.4,222.2,84.7,19.4
0.081078,287.5,88.4,1465.8,1011.3,2646.7,250.8,295.5,2039.8,2832.6,221.2,84.7,20.5
0.083078,286.6,91.5,1479.1,1085.8,2633.2,246.6,296.3,2043.2,2835.9,220.2,84.7,22
0.085078,287.3,98.5,1486.2,1239.6,2614.8,214.0,297.2,2046.7,2839.3,219.2,84.7,23.2
0.087078,290.4,109.4,1531.2,1575.3,2605.5,195.7,298,2050.3,2842.8,218.2,84.6,23.7
0.089078,294.6,116.5,1677.4,2092.8,2612.9,216.7,298.9,2054,2846.5,217.3,84.5,23.1
0.091078,298.7,113.8,1948.2,2403.7,2649.8,272.8,299.8,2057.8,2850.2,216.3,84.4,21.9
0.093078,305.2,112.6,2133.6,2383.9,2726.7,333.6,300.8,2061.7,2854,215.3,84.2,20.4
0.095078,317.0,123.0,2174.3,2731.4,2818.7,353.4,301.7,2065.6,2857.9,214.2,83.9,18.9
0.097078,334.4,136.8,2203.9,3659.7,2900.8,371.0,302.7,2069.7,2861.9,213.2,83.6,17.9
0.099078,351.5,133.5,2530.4,3819.2,2986.6,470.8,303.8,2073.8,2866,212.2,83.3,17.3
0.101078,364.7,112.9,2638.5,2037.0,3188.0,649.8,304.8,2078,2870.1,211.1,83.1,17
0.103078,373.5,92.7,2408.4,1296.4,3349.8,450.4,305.9,2082.2,2874.4,210.1,82.9,16.8
0.105078,379.0,79.6,2328.2,1088.5,3389.6,348.8,307,2086.6,2878.7,209,82.8,16.6
0.107078,383.0,72.0,2286.8,1104.5,3404.8,334.4,308.1,2091,2883.1,207.9,82.8,16.4
0.109078,386.7,68.5,2269.4,1308.7,3411.5,393.0,309.2,2095.5,2887.6,206.8,82.8,16.3
0.111078,391.1,67.7,2349.9,1784.8,3411.4,606.1,310.4,2100,2892.2,205.7,82.8,16.2
0.113078,395.5,66.5,2888.1,3058.4,3150.2,1149.2,311.6,2104.7,2896.9,204.7,82.8,16.1
0.115078,398.5,62.6,2899.2,4729.1,2951.0,855.0,312.8,2109.3,2901.6,203.6,82.7,15.9
0.117078,400.0,59.2,2676.4,4035.3,2919.1,749.7,314.1,2114.1,2906.4,202.5,82.6,15.6
0.119078,400.6,59.3,2499.2,3556.9,2892.4,662.7,315.3,2118.9,2911.3,201.4,82.4,14.8
0.121078,400.8,62.9,2303.9,3302.4,2855.1,550.1,316.6,2123.7,2916.3,200.4,82.1,13.8
0.123078,399.9,67.3,2181.8,2865.8,2835.0,465.6,317.9,2128.6,2921.3,199.4,81.8,12.7
0.125078,396.3,70.0,2218.7,2365.4,2846.4,449.5,319.3,2133.6,2926.4,198.3,81.6,11.9
0.127078,389.3,70.5,2338.9,1951.1,2885.6,492.6,320.6,2138.6,2931.5,197.4,81.4,11.7
0.129078,381.1,68.9,2446.5,1670.5,2934.6,550.1,322,2143.6,2936.7,196.4,81.3,12.3
0.131078,374.9,65.3,2539.2,1536.0,2962.7,594.5,323.5,2148.7,2942,195.5,81.3,13.7
0.133078,372.8,61.3,2671.5,1551.8,2923.1,629.1,324.9,2153.8,2947.4,194.6,81.4,15.2
0.135078,373.2,58.6,2823.7,566.8,2859.0,1767.4,326.4,2159,2952.7,193.8,81.4,16.5
0.137078,373.9,57.6,2764.8,469.4,2999.0,1987.8,327.8,2164.2,2958.2,193,81.4,17
0.139078,373.5,57.8,2735.3,440.2,3103.4,1911.0,329.4,2169.4,2963.7,192.2,81.2,16.5
0.141078,373.0,58.9,2709.3,459.8,3195.6,1546.0,330.9,2174.6,2969.2,191.5,80.9,15.4
0.143078,374.3,60.9,2679.5,472.3,3243.8,1179.1,332.4,2179.9,2974.8,190.8,80.4,13.9
0.145078,379.6,62.2,2658.6,453.8,3237.4,1008.4,334,2185.2,2980.5,190.2,79.8,12.5
0.147078,389.7,60.7,2651.2,429.5,3179.2,992.7,335.6,2190.5,2986.2,189.6,79.2,11.6
0.149078,401.7,57.3,2659.1,410.1,3083.7,1059.8,337.2,2195.8,2991.9,189.1,78.5,11
0.151078,410.6,54.5,2684.4,383.2,2950.9,1201.9,338.9,2201.1,2997.7,188.7,77.8,10.8
0.153078,412.2,54.7,2711.4,333.7,2793.3,1399.7,340.5,2206.5,3003.5,188.3,77.3,10.6
0.155078,405.7,58.0,2635.2,1564.7,2724.9,288.4,342.2,2211.8,3009.3,187.9,76.9,10.6
0.157078,392.5,63.2,2489.7,1637.4,2732.9,264.6,343.9,2217.2,3015.2,187.6,76.7,10.5
0.159078,377.2,68.0,2360.9,1644.7,2743.0,253.5,345.7,2222.5,3021.1,187.4,76.5,10.7
0.161078,363.3,73.0,2224.8,1670.4,2754.5,243.4,347.4,2227.9,3027,187.2,76.2,11
0.163078,353.3,81.0,2075.1,1803.9,2758.8,240.3,349.2,2233.2,3033,187.1,75.9,11.3
0.165078,347.1,98.1,1952.1,2221.7,2741.5,271.0,351,2238.6,3039,187,75.6,11.4
0.167078,344.1,127.2,2026.8,3740.8,2683.7,346.5,352.8,2243.9,3045,187,75.1,11.3
0.169078,340.8,153.8,2621.2,417.0,3665.1,2553.1,354.6,2249.2,3051.1,187.1,74.6,10.7
0.171078,333.4,167.1,2584.3,498.8,3403.7,1749.5,356.5,2254.5,3057.1,187.1,74,9.9
0.173078,323.1,163.6,2554.3,593.5,3319.4,1498.6,358.4,2259.7,3063.2,187.3,73.5,8.9
0.175078,312.1,146.2,2518.1,668.8,3320.5,1339.7,360.3,2265,3069.3,187.4,73,7.9
0.177078,302.0,127.4,2491.5,710.1,3403.7,1239.4,362.2,2270.2,3075.3,187.6,72.6,7.2
0.179078,293.4,118.5,2469.4,799.1,3476.7,1155.8,364.1,2275.4,3081.4,187.9,72.2,10
0.181078,286.1,123.1,2393.8,1014.8,3437.1,1010.5,366,2280.6,3087.6,188.2,71.7,16.3
0.183078,282.6,143.7,2215.6,1146.7,3358.6,764.6,368,2285.7,3093.7,188.5,71.1,21
0.185078,288.0,178.2,2087.4,1049.9,3323.9,627.5,370,2290.8,3099.8,188.9,70.2,19.2
0.187078,308.6,215.4,2063.6,922.0,3311.7,645.6,372,2295.8,3105.9,189.3,69.2,5.9
0.189078,340.8,238.0,2108.0,811.4,3315.2,781.0,374,2300.8,3112,189.7,68,-25.5
0.191078,368.6,251.7,2168.5,701.7,3317.0,948.5,376.1,2305.8,3118.1,190.2,66.7,-71.6
0.193078,376.7,275.9,2195.8,635.7,3270.1,1016.8,378.1,2310.7,3124.2,190.7,65.6,-122.7
0.195078,366.4,322.8,2189.0,626.4,3165.0,990.3,380.2,2315.6,3130.3,191.2,64.6,-168.7
0.197078,340.1,404.1,2169.3,658.4,3045.2,911.1,382.3,2320.4,3136.4,191.7,63.8,-200
0.199078,295.2,526.7,2161.2,728.7,2953.3,839.1,384.4,2325.1,3142.5,192.3,63,-213.2
0.201078,228.8,675.1,2182.0,842.2,2887.0,817.5,386.5,2329.8,3148.5,192.9,62.3,-214.8
0.203078,213.7,747.2,2239.6,936.9,2841.7,868.5,388.7,2334.4,3154.6,193.6,61.6,-209.9
0.205078,288.9,685.4,2288.2,916.6,2822.9,960.0,390.8,2339,3160.6,194.3,60.9,-203.3
0.207078,354.3,561.7,2277.6,833.4,2829.1,1006.4,393,2343.5,3166.6,195,60.4,-200
0.209078,385.4,450.4,2249.3,755.3,2836.0,1025.7,395.2,2347.9,3172.6,195.8,60.1,-200
0.211078,399.5,366.8,2235.2,665.7,2850.9,1092.6,397.4,2352.3,3178.5,196.6,59.7,-200
0.213078,407.2,320.0,2229.7,565.6,2905.4,1214.4,399.6,2356.6,3184.5,197.5,59.5,-200
0.215078,410.8,304.8,2209.8,500.1,2995.4,1269.9,401.8,2360.8,3190.4,198.4,59.4,-200
0.217078,405.0,309.1,2171.0,491.3,3067.4,1164.8,404.1,2364.9,3196.2,199.4,59.4,-200
0.219078,388.3,312.8,2129.5,511.1,3109.9,1000.4,406.3,2368.9,3202,200.4,59.6,-200
0.221078,367.1,300.0,2102.7,530.0,3141.2,872.2,408.6,2372.9,3207.8,201.5,59.8,-200
0.223078,347.8,275.2,2097.4,527.4,3178.6,803.8,410.9,2376.8,3213.6,202.6,60.1,-200
0.225078,332.3,250.0,2100.5,499.2,3226.9,760.7,413.2,2380.6,3219.3,203.8,60.3,-200
0.227078,322.6,238.3,2098.7,473.1,3261.6,721.6,415.5,2384.3,3225,205,60.2,-200
0.229078,320.8,257.6,2085.2,493.1,3257.0,695.2,417.8,2387.9,3230.6,206.3,59.9,-200
0.231078,329.1,321.9,2044.0,582.1,3216.2,682.2,420.2,2391.4,3236.2,207.6,59.3,-200
0.233078,350.3,405.7,1971.0,694.0,3167.2,684.3,422.5,2394.8,3241.7,209,58.7,-200
0.235078,381.6,435.5,1916.4,744.5,3118.8,733.6,424.9,2398.1,3247.2,0,58,-200
0.237078,405.6,396.9,1922.4,739.6,3039.7,852.9,427.2,2401.3,3252.6,0,57.4,-200
0.239078,414.5,347.7,1951.4,711.1,2935.3,947.3,429.6,2404.4,3258,0,57,-203.3
0.241078,415.5,316.3,1944.1,629.2,2918.5,880.8,432,2407.4,3263.3,0,56.8,-210
0.243078,413.9,326.7,1919.6,529.4,3028.7,717.6,434.4,2410.3,3268.6,0,56.6,-215
0.245078,409.9,408.5,1925.3,503.3,3135.5,580.0,436.8,2413.1,3273.8,0,56.6,-213.3
0.247078,395.4,655.4,1995.8,595.3,3204.1,581.7,439.2,2415.8,3279,0,56.9,-200
0.249078,355.6,1177.7,2093.6,749.9,3273.3,704.9,441.6,2418.4,3284.1,0,57.6,-168.2
0.251078,614.0,1401.6,2167.1,795.5,3332.2,748.3,444.1,2420.9,3289.1,0,58.7,-121.1
0.253078,850.3,1120.3,2212.3,722.9,3348.5,698.7,446.5,2423.2,3294,0,60.2,-69.2
0.255078,909.6,1011.7,2229.8,681.3,3330.6,686.7,449,2425.4,3298.9,0,61.8,-22.6
0.257078,901.6,1059.4,2247.5,688.6,3263.7,724.8,451.4,2427.6,3303.8,0,63.5,8.3
0.259078,846.9,1216.8,2284.0,711.4,3152.8,737.8,453.9,2429.6,3308.5,0,64.9,19.9
0.261078,736.9,1371.2,2333.3,677.7,3077.0,685.3,456.4,2431.5,3313.2,0,66.1,19.1
0.263078,667.9,1300.3,2375.7,593.6,3079.7,630.1,458.8,2433.2,3317.8,0,67.1,11.3
0.265078,668.4,1095.8,2398.9,529.1,3113.8,574.9,461.3,2434.9,3322.3,0,67.7,2.1
0.267078,676.2,926.2,2407.3,504.6,3146.4,520.6,463.8,2436.4,3326.8,0,68.2,-2.9
0.269078,670.3,839.2,2409.7,517.0,3169.5,487.6,466.3,2437.8,3331.2,0,68.8,-3.6
0.271078,627.9,840.2,2411.3,567.1,3183.7,494.8,468.8,2439.1,3335.5,231,69.9,-3.7
0.273078,458.2,936.0,2416.6,654.5,3185.5,576.7,471.3,2440.2,3339.7,231.3,71.8,-3.3
0.275078,250.8,768.1,2472.3,643.0,3233.3,786.8,473.8,2441.3,3343.9,231.5,74,-2.7
0.277078,299.6,329.6,2521.1,479.6,3436.2,961.8,476.3,2442.2,3347.9,231.6,76.1,-2
0.279078,306.9,149.4,2542.5,452.0,3525.0,855.3,478.8,2442.9,3351.9,231.6,77.9,-1.1
0.281078,310.3,93.7,2571.9,462.1,3495.8,697.9,481.3,2443.6,3355.8,231.5,79.3,0
0.283078,315.2,76.3,2589.8,410.7,3467.2,604.4,483.8,2444.1,3359.6,231.3,80.3,1.4
0.285078,320.7,71.0,2589.5,335.7,3434.7,542.6,486.4,2444.5,3363.3,231,80.9,2.8
0.287078,327.5,71.4,2583.3,277.1,3404.1,495.8,488.9,2444.8,3366.9,230.6,81.2,4.3
0.289078,335.7,75.5,2578.6,244.8,3391.3,466.3,491.4,2444.9,3370.5,230.2,81.2,5.8
0.291078,345.5,81.9,2576.6,236.3,3402.2,452.0,493.9,2444.9,3373.9,229.8,81,7.5
0.293078,353.4,88.0,2576.0,251.0,3428.0,441.5,496.4,2444.8,3377.3,229.3,80.8,9.2
0.295078,356.7,92.9,2574.9,282.3,3451.9,412.0,499,2444.5,3380.6,228.8,80.5,10.7
0.297078,356.2,97.7,2571.0,310.5,3467.6,347.2,501.5,2444.1,3383.7,228.3,80.4,11.9
0.299078,354.2,104.1,2566.9,308.8,3479.0,269.8,504,2443.6,3386.8,227.9,80.2,12.7
0.301078,352.7,113.3,2569.0,277.8,3491.3,206.6,506.5,2443,3389.8,227.5,80.1,13.3
0.303078,354.1,122.7,2577.3,238.9,3504.8,169.2,509,2442.2,3392.7,227.1,80,13.6
0.305078,360.1,129.0,2585.3,205.7,3517.9,152.7,511.5,2441.3,3395.5,226.7,79.9,13.7
0.307078,370.7,131.5,2589.6,182.9,3529.6,153.0,514.1,2440.3,3398.2,226.5,79.8,13.8
0.309078,383.2,131.4,2590.8,170.4,3538.4,165.3,516.6,2439.1,3400.8,226.3,79.7,13.6
0.311078,394.6,129.2,2591.0,163.2,3542.6,182.2,519.1,2437.8,3403.3,226.1,79.6,13.2
0.313078,400.6,124.6,2591.8,158.4,3540.6,192.8,521.6,2436.4,3405.7,226.1,79.5,12.6
0.315078,401.3,119.5,2595.5,155.6,3538.3,193.5,524.1,2434.9,3408,226.1,79.5,12.2
0.317078,400.0,117.2,2604.5,156.3,3543.6,190.5,526.6,2433.2,3410.3,226.2,79.5,11.9
0.319078,399.7,118.0,2618.2,159.4,3556.1,187.9,529,2431.4,3412.4,226.3,79.4,12.1
0.321078,400.9,120.0,2634.2,161.6,3571.0,184.7,531.5,2429.5,3414.4,226.6,79.4,12.4
0.323078,402.0,121.5,2648.8,161.0,3583.2,181.2,534,2427.5,3416.3,226.9,79.3,12.8
0.325078,400.4,123.7,2660.9,159.7,3592.6,180.6,536.5,2425.3,3418.1,227.2,79.1,13.1
0.327078,394.5,127.8,2671.6,160.5,3599.9,186.3,538.9,2423,3419.8,227.7,79,13
0.329078,386.2,131.6,2681.7,163.8,3602.4,200.8,541.4,2420.6,3421.4,228.1,79,12.3
0.331078,378.0,133.0,2692.6,168.5,3595.6,226.0,543.8,2418.1,3422.9,228.6,79,11.2
0.333078,371.5,131.8,2702.5,173.3,3576.6,254.8,546.3,2415.4,3424.3,229.1,79.2,9.9
0.335078,365.8,129.4,2707.3,178.6,3548.5,266.9,548.7,2412.7,3425.6,229.6,79.4,8.9
0.337078,360.8,125.5,2704.6,185.7,3523.1,248.3,551.1,2409.8,3426.8,230.1,79.8,8.4
0.339078,359.0,118.7,2698.0,195.3,3511.1,218.3,553.5,2406.8,3427.9,230.5,80.3,8.6
0.341078,362.7,107.9,2690.6,207.3,3511.1,196.6,555.9,2403.7,3428.9,230.9,80.8,9.3
0.343078,371.7,94.3,2682.1,214.7,3520.0,190.7,558.3,2400.4,3429.8,231.2,81.3,10.3
0.345078,383.4,79.9,2668.9,208.5,3535.2,200.2,560.7,2397.1,3430.6,231.5,81.8,11.3
0.347078,394.4,66.9,2651.1,189.2,3555.5,227.4,563.1,2393.6,3431.3,231.6,82.3,12.1
0.349078,402.5,57.3,2635.6,168.5,3579.9,276.8,565.4,2390.1,3431.9,231.6,82.7,12.9
0.351078,408.1,51.7,2627.5,155.1,3610.7,357.9,567.8,2386.4,3432.4,231.4,83,13.8
0.353078,412.0,50.3,2629.4,153.8,3643.6,457.8,570.1,2382.6,3432.8,231.1,83.4,14.6
0.355078,415.8,51.1,2639.1,164.6,3665.6,534.5,572.4,2378.8,3433.1,230.5,83.6,15.2
0.357078,421.2,51.5,2653.4,186.3,3663.9,547.7,574.7,2374.8,3433.3,229.8,83.9,15.6
0.359078,428.3,50.3,2669.3,213.6,3646.4,512.7,577,2370.7,3433.4,228.8,84.1,15.7
0.361078,436.7,47.3,2683.8,242.0,3621.2,470.0,579.3,2366.5,3433.4,227.6,84.4,15.6
0.363078,444.8,43.5,2687.7,264.9,3590.1,436.3,581.6,2362.2,3433.3,226.2,84.6,15.2
0.365078,451.9,40.6,2678.5,282.0,3561.0,411.0,583.8,2357.9,3433,224.4,84.7,14.9
