time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025922,619.7,18.3,1313.5,1653.1,4095.1,1083.0,736.8,1167.4,3511.4,83.8,59.1,-200
0.027922,628.1,21.1,1171.0,1521.5,4069.1,1328.6,736.7,1167.6,3511.4,86.7,58.3,-200
0.029922,638.0,23.5,1134.4,1296.8,3888.7,1553.5,736.7,1168,3511.4,89.8,57.4,-200
0.031922,646.4,27.8,1126.9,1173.5,3711.6,1500.1,736.5,1168.4,3511.4,93.1,56.7,-200
0.033922,650.2,37.1,1027.8,1122.1,3651.5,1586.7,736.4,1169,3511.4,96.7,56.5,-200
0.035922,654.5,42.3,923.5,1028.8,3677.5,1811.2,736.2,1169.7,3511.3,100.5,56.9,-200.9
0.037922,660.1,41.4,876.6,948.0,3802.8,2041.7,736,1170.6,3511.3,104.5,57.5,-206.6
0.039922,664.9,37.2,874.8,924.1,3904.2,2129.9,735.8,1171.6,3511.3,108.6,57.9,-213.1
0.041922,668.5,31.3,900.3,939.3,3855.3,2174.5,735.5,1172.7,3511.3,0,58,-215.4
0.043922,670.6,25.1,956.6,972.8,3652.4,2184.7,735.2,1174,3511.3,0,57.7,-208.5
0.045922,670.8,20.1,1060.2,989.5,3456.1,2091.7,734.9,1175.4,3511.2,0,57.2,-186.6
0.047922,668.6,19.3,1199.9,978.0,3501.9,2167.7,734.5,1176.9,3511.2,0,57.2,-145.9
0.049922,661.9,41.9,1228.2,1267.8,4134.5,2310.4,734.1,1178.5,3511.2,0,58.8,-95.2
0.051922,656.5,134.8,1162.9,1883.9,4210.7,50.5,733.7,1180.3,3511.1,0,61.8,-44.6
0.053922,643.8,350.6,660.4,664.3,4208.2,52.3,733.2,1182.2,3511.1,0,65,-4.2
0.055922,469.0,253.5,793.6,243.2,4195.0,1432.6,732.7,1184.2,3511,0,68.1,17
0.057922,454.4,155.6,795.5,154.6,4184.9,67.0,732.2,1186.3,3510.9,0,70.7,22.8
0.059922,456.2,114.7,795.5,120.7,4163.7,66.3,731.7,1188.6,3510.8,153.4,72.9,19
0.061922,459.8,98.2,797.4,106.2,4147.4,71.0,731.1,1190.9,3510.8,157.4,74.7,11.2
0.063922,464.1,98.7,800.8,104.9,4132.1,94.6,730.5,1193.4,3510.7,161.3,76.2,4.6
0.065922,471.1,114.6,806.1,116.4,4118.0,140.1,729.8,1196,3510.5,165,77.4,3.5
0.067922,482.8,144.5,813.1,139.8,4084.8,438.7,729.1,1198.8,3510.4,168.5,78.3,3.9
0.069922,498.6,180.6,818.6,169.9,4052.5,551.7,728.4,1201.6,3510.3,171.7,79.1,4.8
0.071922,519.9,213.9,822.1,207.8,4018.1,779.2,727.7,1204.6,3510.1,174.7,79.7,5.8
0.073922,553.6,233.0,825.5,279.9,3829.0,4943.8,726.9,1207.6,3509.9,177.5,80.2,6.7
0.075922,594.5,204.1,843.2,435.4,3577.0,3244.3,726.1,1210.8,3509.7,180,80.7,7.4
0.077922,610.0,139.7,923.8,648.2,3336.8,2715.7,725.3,1214.1,3509.5,182.2,81.1,8
0.079922,608.6,98.5,1049.2,738.6,3178.4,2391.0,724.4,1217.5,3509.2,184.2,81.5,8.6
0.081922,606.6,76.9,1148.1,652.2,3072.2,1897.6,723.6,1221,3509,186,82,9.1
0.083922,606.3,65.7,1198.4,512.9,2974.5,1422.0,722.6,1224.6,3508.7,187.6,82.4,9.5
0.085922,606.3,58.9,1223.4,398.7,2895.6,1086.6,721.7,1228.3,3508.4,188.9,82.8,9.8
0.087922,607.1,55.0,1236.6,311.1,2840.4,860.4,720.7,1232.1,3508,190.1,83.1,10.1
0.089922,610.2,56.1,1237.0,249.7,2810.2,719.7,719.7,1235.9,3507.7,191.1,83.3,10.4
0.091922,616.8,63.7,1228.5,207.9,2796.2,620.7,718.7,1239.9,3507.3,191.9,83.4,10.5
0.093922,627.6,78.6,1219.8,184.2,2790.8,546.0,717.6,1244,3506.8,192.6,83.4,10.5
0.095922,642.9,102.8,1216.9,178.2,2790.4,501.9,716.5,1248.1,3506.3,193.2,83.2,10.1
0.097922,664.6,141.6,1220.6,185.9,2789.8,482.8,715.4,1252.4,3505.8,193.7,83,9.2
0.099922,693.0,191.8,1229.3,202.9,2783.1,480.0,714.3,1256.7,3505.3,194.1,82.7,8.1
0.101922,725.0,233.3,1243.7,224.6,2769.3,482.8,713.1,1261.1,3504.7,194.4,82.5,7
0.103922,750.4,241.1,1267.2,243.9,2753.2,480.8,711.9,1265.6,3504.1,194.6,82.3,6.5
0.105922,763.9,224.3,1297.8,253.1,2739.7,470.7,710.6,1270.1,3503.4,194.9,82.2,6.7
0.107922,772.1,205.3,1331.5,253.3,2730.3,456.4,709.4,1274.7,3502.7,195,82.2,7.8
0.109922,780.3,196.6,1360.0,249.5,2728.6,448.0,708.1,1279.4,3502,195.2,82.1,9.4
0.111922,790.8,200.8,1378.7,246.3,2737.3,457.0,706.8,1284.2,3501.1,195.3,82.1,11.1
0.113922,803.0,216.5,1388.6,243.8,2756.1,491.0,705.4,1289,3500.3,195.4,82.2,12.4
0.115922,815.0,238.9,1395.0,239.3,2782.2,546.5,704.1,1293.9,3499.4,195.6,82.2,13
0.117922,827.3,265.9,1401.8,231.0,2817.9,617.9,702.7,1298.8,3498.4,195.7,82.3,13.2
0.119922,840.2,293.7,1410.3,221.5,2867.0,691.5,701.3,1303.8,3497.4,195.8,82.4,13
0.121922,854.9,321.0,1420.7,215.9,2937.5,762.9,699.8,1308.9,3496.3,196,82.6,12.8
0.123922,871.3,348.1,1433.2,217.0,3031.6,829.3,698.4,1314,3495.2,196.1,82.7,12.5
0.125922,888.0,375.8,1446.1,224.5,3137.0,882.8,696.9,1319.1,3494,196.3,82.8,12.5
0.127922,905.7,407.8,1459.6,239.3,3255.5,932.0,695.3,1324.3,3492.8,196.5,82.9,12.3
0.129922,922.4,441.5,1472.1,259.8,3391.7,987.3,693.8,1329.6,3491.4,196.8,82.9,12.1
0.131922,933.4,467.5,1482.9,278.8,3582.3,1156.7,692.2,1334.9,3490,197,83,12
0.133922,933.0,471.9,1492.5,287.3,3515.2,1459.0,690.6,1340.2,3488.6,197.3,83.1,12.3
0.135922,924.8,454.8,1502.1,285.5,3442.8,1441.7,689,1345.5,3487.1,197.6,83.2,13
0.137922,917.0,430.0,1513.7,281.3,3469.5,1392.2,687.4,1350.9,3485.5,197.9,83.3,14.3
0.139922,913.8,408.0,1527.2,278.0,3658.3,1342.5,685.7,1356.3,3483.8,198.3,83.4,15.9
0.141922,911.7,387.0,1541.1,271.4,3636.1,662.4,684,1361.7,3482.1,198.6,83.5,17.5
0.143922,907.1,363.2,1553.4,257.9,3620.1,616.9,682.3,1367.2,3480.2,199,83.5,18.6
0.145922,899.5,337.5,1562.5,239.3,3635.6,619.1,680.6,1372.6,3478.3,199.4,83.5,19
0.147922,890.2,311.0,1569.2,217.3,3665.4,628.7,678.8,1378.1,3476.4,199.9,83.5,18.8
0.149922,881.2,286.9,1574.1,194.0,3688.6,625.7,677.1,1383.6,3474.3,200.3,83.5,18.2
0.151922,872.2,263.8,1577.3,170.4,3689.8,641.0,675.3,1389.1,3472.1,200.8,83.4,17.4
0.153922,864.1,242.6,1579.5,149.3,3656.6,680.4,673.5,1394.6,3469.9,201.3,83.3,16.3
0.155922,859.3,228.9,1581.2,134.1,3605.7,688.0,671.6,1400.1,3467.6,201.8,83.1,15.1
0.157922,860.0,226.9,1582.4,124.5,3574.9,658.4,669.8,1405.6,3465.2,202.3,83,13.4
0.159922,867.1,237.5,1582.4,119.8,3577.1,629.5,667.9,1411.1,3462.7,202.9,82.8,11.4
0.161922,878.7,254.9,1582.0,117.2,3593.5,626.1,666,1416.6,3460.1,203.4,82.6,9.6
0.163922,891.6,269.7,1583.1,115.0,3607.5,653.4,664.1,1422.1,3457.4,204,82.4,8.2
0.165922,901.2,275.1,1586.8,112.9,3613.4,694.7,662.1,1427.6,3454.6,204.6,82.2,7.7
0.167922,904.1,270.9,1593.9,110.3,3609.0,715.9,660.2,1433.1,3451.8,205.1,82.1,7.9
0.169922,898.0,259.0,1604.1,105.8,3584.7,696.1,658.2,1438.5,3448.8,205.7,82,8.7
0.171922,884.2,241.3,1615.2,98.1,3538.5,674.1,656.2,1444,3445.7,206.3,81.9,9.6
0.173922,867.9,222.6,1623.8,88.6,3481.0,685.5,654.2,1449.4,3442.5,206.9,82,10.3
0.175922,856.6,211.5,1627.6,81.2,3427.4,737.2,652.2,1454.8,3439.3,207.5,82,10.6
0.177922,852.7,213.5,1627.9,78.0,3391.9,837.9,650.2,1460.2,3435.9,208.1,82,10.7
0.179922,853.9,231.2,1628.4,78.9,3400.1,991.6,648.1,1465.5,3432.4,208.6,82,10.7
0.181922,853.0,261.3,1632.5,81.0,3488.5,1212.1,646.1,1470.8,3428.8,209.2,81.9,10.6
0.183922,843.3,295.9,1640.6,81.4,3622.6,1932.5,644,1476.1,3425.2,209.8,81.7,10.6
0.185922,823.4,325.3,1648.9,79.7,3612.8,2346.5,641.9,1481.3,3421.4,210.4,81.5,10.7
0.187922,797.0,348.8,1653.4,78.3,3670.0,2564.1,639.8,1486.5,3417.5,210.9,81.3,10.8
0.189922,773.3,365.9,1650.8,79.5,3612.7,877.0,637.6,1491.6,3413.4,211.5,81.2,10.9
0.191922,755.9,367.9,1643.1,81.4,3534.8,873.9,635.5,1496.8,3409.3,212,81.1,11
0.193922,743.9,348.3,1634.6,81.4,3475.8,887.2,633.3,1501.8,3405.1,212.5,81.1,11.3
0.195922,737.2,322.1,1630.0,80.8,3440.9,864.3,631.2,1506.8,3400.8,213.1,81.2,11.7
0.197922,734.5,301.9,1631.0,81.5,3429.9,777.7,629,1511.8,3396.3,213.6,81.3,12.4
0.199922,731.9,284.9,1637.3,82.7,3443.4,699.0,626.8,1516.7,3391.8,214.1,81.3,13.3
0.201922,723.8,259.8,1646.3,82.4,3480.3,662.6,624.6,1521.6,3387.1,214.5,81.2,14
0.203922,708.0,222.6,1654.5,80.6,3525.9,647.3,622.4,1526.4,3382.3,215,81.1,14.4
0.205922,688.3,181.5,1658.6,79.4,3543.4,631.6,620.2,1531.1,3377.4,215.5,80.9,14.3
0.207922,669.8,146.2,1657.6,79.9,3514.2,608.5,618,1535.8,3372.4,215.9,80.7,13.6
0.209922,657.5,126.4,1652.9,82.6,3469.7,574.6,615.7,1540.4,3367.3,216.4,80.4,12.6
0.211922,651.1,121.3,1647.1,86.2,3448.6,567.2,613.5,1545,3362,216.8,79.9,11.5
0.213922,648.7,128.3,1642.8,90.0,3458.1,626.0,611.2,1549.5,3356.7,217.3,79.4,10.6
0.215922,647.9,146.7,1640.3,94.9,3488.5,743.5,609,1553.9,3351.2,217.7,78.7,10
0.217922,645.7,182.0,1638.6,102.1,3519.9,879.3,606.7,1558.2,3345.6,218.1,77.9,9.6
0.219922,637.0,245.3,1637.5,110.3,3518.4,941.8,604.4,1562.5,3340,218.5,77.1,9.3
0.221922,612.3,355.5,1636.7,116.0,3462.3,893.1,602.1,1566.7,3334.2,219,76.4,9.1
0.223922,558.2,503.0,1637.0,115.7,3371.0,785.8,599.8,1570.9,3328.2,219.4,75.8,8.9
0.225922,491.4,590.8,1644.4,111.1,3295.1,659.6,597.5,1574.9,3322.2,219.8,75.5,8.9
0.227922,454.9,558.9,1664.0,108.2,3252.8,546.0,595.2,1578.9,3316.1,220.2,75.3,9
0.229922,450.3,469.2,1687.8,109.6,3237.9,497.6,592.9,1582.8,3309.8,220.6,75.3,9.1
0.231922,453.9,405.0,1701.7,118.7,3241.8,528.3,590.6,1586.7,3303.5,221,75.3,9.4
0.233922,457.1,385.2,1700.4,132.9,3258.5,601.2,588.3,1590.4,3297,221.5,75.4,9.8
0.235922,455.9,383.1,1696.2,137.3,3264.3,601.9,586,1594.1,3290.4,221.9,75.5,10.3
0.237922,449.1,371.6,1701.7,127.9,3249.9,511.1,583.7,1597.7,3283.7,222.3,75.6,11.1
0.239922,438.0,338.0,1715.7,114.3,3236.7,420.7,581.4,1601.2,3276.9,222.8,75.6,12.1
0.241922,425.5,287.2,1731.0,104.0,3233.6,357.0,579,1604.7,3270,223.2,75.7,13.1
0.243922,414.0,236.2,1743.0,100.6,3234.2,301.3,576.7,1608,3263,223.6,75.8,14
0.245922,405.8,202.7,1749.2,106.6,3230.5,252.1,574.4,1611.3,3255.9,224.1,75.9,14.9
0.247922,401.9,194.0,1747.7,122.5,3224.3,223.2,572.1,1614.5,3248.7,224.5,76,15.8
0.249922,401.5,212.2,1739.7,138.2,3222.9,224.9,569.8,1617.6,3241.4,225,76.1,16.6
0.251922,402.8,250.6,1733.7,143.9,3230.0,253.9,567.4,1620.6,3234,225.4,76.2,17.4
0.253922,403.3,291.9,1734.9,142.1,3244.0,312.3,565.1,1623.5,3226.5,225.9,76.3,18.1
0.255922,400.3,307.7,1739.7,138.3,3257.4,399.9,562.8,1626.4,3218.9,226.3,76.4,18.6
0.257922,391.6,287.1,1743.6,133.3,3257.0,495.8,560.5,1629.1,3211.2,226.8,76.5,18.9
0.259922,379.7,252.1,1744.8,124.7,3237.4,530.0,558.2,1631.8,3203.4,227.3,76.6,19.1
0.261922,368.3,230.5,1748.6,113.0,3222.5,499.0,555.9,1634.4,3195.5,227.7,76.7,19.3
0.263922,359.9,226.2,1761.3,100.8,3227.3,466.5,553.6,1636.9,3187.5,228.1,76.8,19.5
0.265922,354.6,225.7,1780.8,89.2,3255.1,471.0,551.3,1639.4,3179.4,228.6,76.9,19.9
0.267922,350.1,220.0,1801.3,80.2,3312.3,517.3,549,1641.7,3171.3,229,77,20.6
0.269922,345.3,218.3,1815.3,79.1,3372.5,585.5,546.7,1644,3163.1,229.4,77.1,21.5
0.271922,338.6,223.6,1821.1,89.8,3397.2,680.6,544.4,1646.1,3154.7,229.8,77.3,22.1
0.273922,329.3,224.2,1821.6,107.0,3390.3,819.6,542.2,1648.2,3146.3,230.2,77.4,22.3
0.275922,319.9,205.5,1817.1,116.8,3372.4,1023.5,539.9,1650.2,3137.9,230.6,77.6,21.7
0.277922,316.5,166.2,1803.8,109.8,3295.6,1378.0,537.7,1652.2,3129.3,230.9,77.8,20.3
0.279922,329.2,134.2,1789.2,89.2,3132.3,1307.3,535.4,1654,3120.7,231.3,78.1,18.4
0.281922,359.5,120.9,1784.0,70.7,3153.3,917.3,533.2,1655.8,3112,231.6,78.5,16.4
0.283922,396.2,111.8,1785.4,58.9,3168.5,652.7,530.9,1657.5,3103.2,231.8,79,14.7
0.285922,427.1,101.1,1788.5,52.8,3160.6,530.5,528.7,1659.1,3094.4,232.1,79.5,13.5
0.287922,451.4,93.1,1792.0,51.4,3150.7,478.9,526.5,1660.7,3085.5,232.3,80,12.6
0.289922,468.9,90.9,1795.6,54.9,3151.7,473.8,524.3,1662.1,3076.5,232.5,80.5,11.8
0.291922,481.7,94.5,1799.1,63.7,3170.2,506.8,522.1,1663.5,3067.5,232.6,80.9,11.3
0.293922,491.5,104.0,1801.3,77.9,3206.9,578.2,520,1664.8,3058.4,232.8,81.2,11.3
0.295922,499.2,119.3,1801.4,97.1,3251.0,681.3,517.8,1666.1,3049.3,232.8,81.4,11.7
0.297922,506.6,141.7,1798.9,121.0,3276.1,819.3,515.6,1667.2,3040.1,232.9,81.5,13
0.299922,513.7,168.2,1793.0,144.2,3231.3,988.6,513.5,1668.3,3030.9,232.9,81.6,14.6
0.301922,519.8,192.3,1782.4,162.0,3090.6,1112.4,511.4,1669.4,3021.7,232.9,81.6,16.4
0.303922,524.3,206.9,1765.7,171.8,2916.7,1086.5,509.3,1670.3,3012.4,232.9,81.6,18
0.305922,527.0,209.2,1743.9,170.1,2787.2,959.0,507.2,1671.3,3003,232.8,81.6,19.1
0.307922,528.7,201.9,1719.6,155.4,2711.2,813.7,505.1,1672.1,2993.7,232.7,81.6,19.9
0.309922,529.7,192.6,1699.1,134.6,2684.0,711.0,503,1672.9,2984.3,232.6,81.6,20.6
0.311922,529.9,187.5,1684.0,116.2,2692.0,663.0,501,1673.6,2974.8,232.4,81.6,21.1
0.313922,529.1,185.9,1672.5,103.3,2723.8,662.0,499,1674.3,2965.4,232.3,81.6,21.5
0.315922,527.0,181.6,1662.8,94.6,2769.4,693.1,496.9,1674.9,2955.9,232.1,81.7,21.6
0.317922,523.5,169.4,1653.5,87.4,2825.1,737.6,495,1675.4,2946.4,231.9,81.7,21.5
0.319922,518.6,150.4,1645.2,81.8,2878.0,772.9,493,1675.9,2936.9,231.6,81.8,21.1
0.321922,513.2,129.8,1638.1,79.7,2914.3,792.8,491,1676.4,2927.4,231.4,81.9,20.7
0.323922,508.2,112.7,1632.2,84.2,2926.4,813.2,489.1,1676.8,2917.8,231.1,82,20.4
0.325922,504.1,101.3,1627.1,98.5,2917.4,856.9,487.1,1677.1,2908.3,230.8,82,20.4
0.327922,500.4,94.5,1621.1,127.9,2893.0,943.1,485.2,1677.4,2898.8,230.5,82,20.6
0.329922,497.1,91.1,1612.1,173.0,2862.3,1054.1,483.3,1677.7,2889.2,230.2,82,20.9
0.331922,493.9,88.9,1595.8,222.2,2834.0,1133.2,481.5,1677.9,2879.7,229.9,82,21.1
0.333922,490.1,85.6,1568.2,254.2,2807.7,1120.4,479.6,1678.1,2870.2,229.6,82,21.3
0.335922,485.7,80.6,1532.1,259.1,2778.6,1011.2,477.8,1678.3,2860.7,229.3,81.9,21.1
0.337922,480.6,74.3,1492.7,242.8,2745.4,846.3,476,1678.4,2851.2,229,81.7,20.6
0.339922,475.5,68.8,1462.1,219.1,2716.5,700.9,474.2,1678.5,2841.8,228.7,81.5,19.9
0.341922,470.8,66.7,1446.9,201.9,2699.0,625.4,472.5,1678.6,2832.3,228.4,81.3,19.2
0.343922,466.6,69.0,1444.1,194.0,2696.1,627.3,470.7,1678.6,2822.9,228,81,18.9
0.345922,462.8,73.7,1444.9,188.6,2705.9,678.9,469,1678.6,2813.5,227.7,80.8,19.1
0.347922,459.3,77.8,1442.4,180.7,2724.5,747.8,467.3,1678.6,2804.2,227.4,80.6,19.7
0.349922,456.1,77.9,1433.0,170.1,2738.1,799.0,465.6,1678.6,2794.8,227.1,80.5,20.7
0.351922,453.3,72.6,1418.1,158.4,2724.1,814.4,464,1678.5,2785.6,226.8,80.4,21.7
0.353922,451.6,66.4,1406.0,152.2,2684.9,812.1,462.3,1678.5,2776.4,226.5,80.3,22.7
0.355922,451.5,63.6,1404.3,158.2,2640.5,815.7,460.7,1678.4,2767.2,226.2,80.3,23.3
0.357922,452.3,63.3,1411.8,173.3,2611.0,804.3,459.2,1678.3,2758.1,225.9,80.3,23.8
0.359922,453.1,63.0,1422.4,188.0,2614.2,767.9,457.6,1678.3,2749,225.6,80.2,24.2
0.361922,453.2,62.2,1429.4,197.5,2636.7,718.8,456.1,1678.2,2740,225.3,80.2,24.6
0.363922,452.4,60.9,1427.6,199.8,2653.2,648.8,454.6,1678.1,2731,225,80.1,24.8
0.365922,451.0,58.9,1418.4,195.5,2649.6,553.1,453.1,1678,2722.2,224.8,80.1,25.1
0.367922,449.8,57.4,1409.0,187.8,2632.5,452.6,451.6,1677.9,2713.3,224.5,80,25.3
0.369922,449.1,57.8,1405.9,180.9,2613.7,390.0,450.2,1677.9,2704.6,224.2,80,25.4
0.371922,449.0,60.1,1406.3,174.0,2596.3,372.7,448.8,1677.8,2695.9,223.9,80,25.4
0.373922,449.2,63.2,1406.3,166.2,2580.9,387.4,447.4,1677.7,2687.4,223.6,80,25.4
0.375922,449.7,66.1,1406.8,159.3,2572.4,415.4,446.1,1677.7,2678.9,223.3,80,25.2
0.377922,450.7,68.9,1411.2,155.0,2577.2,440.0,444.7,1677.7,2670.5,223,80.1,24.9
0.379922,451.9,72.8,1422.1,155.1,2597.7,456.7,443.4,1677.7,2662.1,222.7,80.3,24.5
0.381922,453.4,79.0,1439.1,159.8,2627.4,486.7,442.2,1677.7,2653.9,222.4,80.4,24.1
0.383922,455.2,86.2,1460.4,166.6,2660.5,547.6,440.9,1677.7,2645.8,222,80.6,23.7
0.385922,457.2,90.8,1482.8,172.0,2693.0,631.0,439.7,1677.8,2637.7,221.7,80.7,23.3
0.387922,459.2,90.5,1506.2,174.8,2721.6,714.8,438.5,1677.9,2629.8,221.3,80.9,23
0.389922,461.1,85.6,1527.4,173.6,2736.6,765.3,437.3,1678,2622,221,81,22.7
0.391922,463.1,79.5,1545.1,166.3,2744.8,790.6,436.2,1678.2,2614.3,220.6,81.2,22.5
0.393922,465.8,75.9,1559.1,151.3,2765.9,821.6,435.1,1678.4,2606.7,220.2,81.3,22.2
0.395922,469.2,75.7,1567.8,132.5,2799.8,871.6,434,1678.6,2599.2,219.8,81.5,22
0.397922,473.3,78.5,1571.5,115.4,2828.6,946.4,432.9,1678.9,2591.8,219.4,81.6,21.8
0.399922,477.2,83.9,1571.5,104.0,2825.4,1034.2,431.9,1679.2,2584.6,219,81.7,21.6
0.401922,480.1,90.2,1569.1,96.5,2771.0,1098.8,430.9,1679.6,2577.4,218.6,81.8,21.5
0.403922,481.4,95.4,1565.3,90.1,2675.1,1093.0,429.9,1680,2570.4,218.1,81.9,21.3
0.405922,481.5,98.1,1560.9,84.0,2579.1,1015.6,428.9,1680.5,2563.6,217.6,82,21.2
0.407922,480.6,99.2,1555.8,77.7,2507.4,898.8,428,1681,2556.8,217.1,82,21.1
0.409922,479.1,99.7,1550.2,71.3,2471.0,780.1,427.1,1681.6,2550.2,216.6,82,21
0.411922,476.7,99.7,1544.9,64.5,2457.3,672.7,426.2,1682.2,2543.7,216.1,82.1,20.9
0.413922,473.8,98.7,1540.9,57.7,2452.5,580.0,425.4,1682.9,2537.4,215.6,82.1,20.7
0.415922,471.4,97.3,1539.1,52.7,2450.6,508.2,424.6,1683.6,2531.2,215.1,82,20.4
0.417922,469.8,97.7,1538.9,51.0,2451.9,457.0,423.8,1684.4,2525.2,214.5,82,19.9
0.419922,468.9,101.2,1540.7,54.0,2454.6,429.4,423,1685.3,2519.3,213.9,81.9,19.4
0.421922,468.3,107.6,1545.7,61.9,2454.6,423.5,422.3,1686.2,2513.5,213.3,81.8,18.9
0.423922,467.7,115.8,1556.8,74.1,2449.8,438.1,421.6,1687.2,2507.9,212.7,81.6,18.4
0.425922,467.1,122.8,1574.2,87.0,2443.6,465.9,420.9,1688.3,2502.4,212.1,81.4,18.1
0.427922,466.3,126.8,1597.3,96.8,2443.2,499.9,420.2,1689.5,2497.1,211.5,81.2,17.8
0.429922,465.4,127.6,1621.5,99.5,2456.4,537.1,419.6,1690.7,2492,210.8,81,17.6
0.431922,464.2,128.2,1641.1,95.0,2485.0,580.1,419,1692,2487,210.2,80.7,17.4
0.433922,462.6,130.8,1651.3,86.7,2521.3,620.6,418.4,1693.3,2482.2,209.5,80.6,17.3
0.435922,460.0,133.0,1652.4,78.5,2550.2,634.9,417.8,1694.8,2477.5,208.9,80.5,17.2
0.437922,455.7,130.1,1648.7,71.0,2567.5,604.9,417.3,1696.3,2473,208.2,80.4,17.2
0.439922,450.0,120.7,1644.6,63.1,2581.6,532.0,416.8,1697.9,2468.6,207.5,80.4,17.2
0.441922,444.1,107.8,1642.9,53.8,2598.4,437.9,416.3,1699.6,2464.5,206.8,80.3,17.3
0.443922,438.7,95.8,1643.7,44.4,2609.3,345.3,415.9,1701.4,2460.4,206.1,80.3,17.4
0.445922,434.5,87.7,1644.6,37.2,2606.8,271.3,415.4,1703.2,2456.6,205.4,80.3,17.5
0.447922,430.8,82.9,1643.4,31.9,2592.6,214.4,415,1705.2,2452.9,204.7,80.2,17.9
0.449922,427.2,78.3,1639.9,27.7,2572.6,175.8,414.7,1707.2,2449.4,204,80.1,18.3
0.451922,423.2,70.3,1635.1,23.9,2551.1,153.6,414.3,1709.3,2446.1,203.3,80.1,18.7
0.453922,419.4,61.8,1629.8,21.1,2532.9,145.9,414,1711.5,2442.9,202.6,80,18.8
0.455922,416.6,57.6,1624.0,20.2,2524.6,148.1,413.7,1713.8,2439.9,201.9,79.9,18.6
0.457922,415.3,57.8,1616.7,21.0,2529.3,149.7,413.4,1716.2,2437,201.2,79.7,17.9
0.459922,415.0,60.7,1608.1,23.0,2540.4,138.2,413.1,1718.6,2434.4,200.4,79.5,17.1
0.461922,415.1,65.0,1600.3,25.4,2546.6,116.4,412.9,1721.2,2431.9,199.8,79.2,16.2
0.463922,414.9,71.4,1595.9,28.0,2544.3,97.4,412.7,1723.8,2429.6,199.1,78.9,15.4
0.465922,414.2,80.4,1594.7,30.8,2535.1,88.4,412.5,1726.6,2427.4,198.4,78.5,14.7
0.467922,413.7,91.9,1593.7,34.7,2519.1,88.2,412.3,1729.4,2425.5,197.7,78.1,14.2
0.469922,414.7,102.4,1591.2,40.1,2496.5,94.5,412.1,1732.3,2423.7,197,77.6,13.7
0.471922,417.5,107.3,1587.8,47.3,2468.3,106.6,412,1735.4,2422.1,196.4,77.3,13.3
0.473922,420.8,104.8,1585.6,56.1,2433.3,125.6,411.9,1738.5,2420.6,195.8,76.9,13.1
0.475922,422.2,97.1,1584.9,66.0,2389.2,149.0,411.8,1741.7,2419.3,195.1,76.7,13.2
0.477922,420.8,86.5,1582.8,77.5,2334.2,166.6,411.7,1745,2418.2,194.5,76.5,13.5
0.479922,417.9,77.4,1578.7,91.0,2293.0,165.8,411.7,1748.4,2417.3,194,76.3,14
0.481922,415.8,75.1,1579.6,111.3,2293.7,158.9,411.6,1751.9,2416.5,193.4,76.1,14.7
0.483922,415.7,79.1,1591.9,141.0,2325.9,157.4,411.6,1755.5,2415.9,192.9,75.9,15.3
0.485922,416.7,84.1,1610.8,170.2,2360.2,159.6,411.6,1759.1,2415.5,192.4,75.7,16
0.487922,417.0,86.7,1625.5,188.6,2384.1,163.8,411.7,1762.9,2415.3,191.9,75.4,16.8
0.489922,415.6,86.5,1629.0,193.7,2393.8,171.2,411.7,1766.8,2415.2,191.4,75,17.6
0.491922,412.7,84.4,1627.4,189.8,2397.2,180.3,411.8,1770.7,2415.3,191,74.7,18.4
0.493922,409.7,81.8,1629.5,178.1,2409.9,182.6,411.8,1774.8,2415.5,190.6,74.3,19
0.495922,408.2,79.0,1635.1,162.8,2429.8,172.5,411.9,1778.9,2416,190.2,74,19.5
0.497922,408.2,76.2,1641.5,154.0,2439.8,161.6,412,1783.1,2416.6,189.8,73.7,19.8
0.499922,408.7,73.4,1649.0,160.0,2434.3,163.7,412.2,1787.4,2417.3,189.5,73.6,20.1
0.501922,408.9,70.2,1659.3,178.6,2423.7,177.9,412.3,1791.8,2418.2,189.2,73.4,20.2
0.503922,408.8,68.0,1674.8,199.3,2425.5,194.0,412.5,1796.3,2419.3,188.9,73.4,20.2
0.505922,409.1,67.9,1694.4,210.4,2442.8,201.2,412.6,1800.9,2420.5,188.6,73.3,20.1
0.507922,410.2,68.7,1716.2,213.9,2460.0,202.3,412.8,1805.6,2421.9,188.4,73.3,19.7
0.509922,412.3,70.1,1738.6,216.8,2466.4,208.2,413,1810.3,2423.5,188.2,73.3,19.2
0.511922,413.9,71.9,1757.0,219.5,2464.0,221.8,413.2,1815.2,2425.2,188,73.5,18.7
0.513922,413.4,73.0,1764.5,219.1,2456.4,238.7,413.4,1820.1,2427,187.8,73.7,18.3
0.515922,410.6,71.9,1763.7,213.2,2449.1,252.8,413.7,1825.1,2429,187.7,74.1,18.2
0.517922,406.3,66.4,1764.6,198.1,2448.4,256.8,413.9,1830.2,2431.2,187.5,74.6,18.4
0.519922,401.2,57.1,1773.7,175.6,2455.1,245.8,414.2,1835.3,2433.5,187.4,75.1,18.7
0.521922,396.1,47.3,1790.6,152.6,2461.3,229.9,414.4,1840.6,2435.9,187.3,75.7,19
0.523922,391.4,38.9,1811.8,135.2,2460.8,222.1,414.7,1845.9,2438.5,187.2,76.2,19.4
