time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025948,449.1,184.7,1329.7,552.7,2179.7,169.7,437.5,1683.5,2531,0,51.6,-200
0.027948,438.1,217.1,1353.1,572.0,2183.3,165.9,437.5,1683.6,2531,0,52.1,-200
0.029948,414.8,266.6,1363.1,508.0,2184.1,159.1,437.5,1683.8,2531,0,52.6,-200
0.031948,405.3,287.5,1366.2,461.2,2180.6,155.0,437.5,1684.1,2531.1,0,53,-200
0.033948,428.0,262.2,1368.3,459.0,2175.5,157.7,437.5,1684.4,2531.1,0,53.3,-200
0.035948,462.4,223.7,1367.6,471.1,2169.6,164.1,437.4,1684.9,2531.2,0,53.6,-200.9
0.037948,480.3,211.5,1361.5,466.4,2171.8,173.6,437.4,1685.3,2531.2,0,53.7,-206.3
0.039948,477.5,235.6,1362.7,438.2,2206.8,199.8,437.3,1685.9,2531.3,0,54.4,-212.6
0.041948,455.3,271.2,1372.7,369.0,2275.8,217.2,437.3,1686.6,2531.4,0,55.4,-214.8
0.043948,417.6,284.4,1378.9,292.7,2327.4,206.5,437.2,1687.3,2531.5,0,57,-208.2
0.045948,377.4,274.6,1382.9,283.5,2320.0,207.3,437.2,1688.1,2531.6,0,59.5,-187.1
0.047948,353.6,259.4,1365.2,389.6,2262.7,217.6,437.1,1688.9,2531.7,0,62.3,-148.2
0.049948,341.7,250.5,1278.3,633.2,2197.9,197.3,437,1689.9,2531.9,127.7,64.7,-99.6
0.051948,337.7,249.3,1140.0,894.6,2174.3,169.3,436.9,1690.9,2532,127.4,66.8,-50.9
0.053948,337.6,235.9,1039.6,1099.7,2186.9,173.4,436.8,1691.9,2532.2,127.1,68.7,-11.6
0.055948,336.2,213.0,1015.7,1200.0,2239.9,205.9,436.7,1693.1,2532.3,126.7,70.3,10
0.057948,334.2,202.9,1014.5,1106.1,2313.5,206.8,436.6,1694.3,2532.5,126.4,71.6,17.5
0.059948,334.9,214.6,987.3,1018.5,2367.3,175.1,436.5,1695.6,2532.7,126,72.7,16.3
0.061948,338.2,237.9,947.9,1107.1,2394.1,154.1,436.4,1696.9,2532.9,125.6,73.6,11.3
0.063948,343.3,256.0,892.0,1404.3,2408.0,137.7,436.3,1698.3,2533.1,125.2,74.2,7.2
0.065948,347.7,261.6,801.9,1884.7,2410.3,116.8,436.2,1699.8,2533.3,124.8,74.8,7.8
0.067948,349.1,263.4,776.6,2110.5,2407.2,96.3,436,1701.4,2533.5,124.3,75.1,9.5
0.069948,349.1,262.4,859.1,1893.6,2405.0,80.2,435.9,1703,2533.8,123.9,75.4,11.4
0.071948,346.9,251.3,892.6,1675.5,2405.4,74.8,435.8,1704.6,2534,123.5,75.6,13.2
0.073948,348.4,247.2,838.8,1734.1,2410.2,82.8,435.6,1706.4,2534.3,123,75.8,14.8
0.075948,362.5,260.3,591.0,2225.0,2419.6,105.8,435.5,1708.2,2534.6,122.6,75.9,15.9
0.077948,378.2,264.3,2427.2,129.0,2963.1,193.2,435.3,1710,2534.9,122.1,76,16.6
0.079948,380.8,251.9,2431.9,144.9,2940.9,188.4,435.2,1711.9,2535.2,121.7,76.1,17.1
0.081948,378.8,243.4,2438.6,160.4,2917.9,190.9,435,1713.9,2535.5,121.2,76.2,17.4
0.083948,385.1,254.2,2445.2,173.4,2903.9,194.7,434.8,1715.9,2535.8,120.8,76.3,17.5
0.085948,400.6,271.3,2444.3,176.6,2899.7,192.9,434.7,1718,2536.2,120.4,76.4,17.6
0.087948,410.7,268.5,2435.7,171.7,2903.6,189.5,434.5,1720.1,2536.5,119.9,76.5,17.5
0.089948,416.5,254.4,2420.7,162.1,2912.0,190.1,434.3,1722.3,2536.9,119.5,76.5,17.4
0.091948,428.1,245.6,2404.0,148.4,2913.8,191.2,434.1,1724.5,2537.3,119.1,76.6,17.1
0.093948,445.7,238.7,2390.5,134.0,2903.5,187.3,434,1726.8,2537.7,118.7,76.6,16.7
0.095948,456.9,223.9,2379.4,125.3,2883.4,185.1,433.8,1729.1,2538.1,118.3,76.7,16.3
0.097948,458.3,208.3,2367.3,124.7,2851.4,192.0,433.6,1731.4,2538.5,117.9,76.7,15.8
0.099948,462.1,198.7,2352.2,127.7,2805.2,194.7,433.4,1733.8,2538.9,117.5,76.8,15.3
0.101948,473.2,191.6,2337.4,128.3,2764.6,184.0,433.2,1736.3,2539.4,117.2,76.9,14.6
0.103948,478.0,180.3,2327.5,125.8,2745.8,176.6,433.1,1738.8,2539.8,116.8,77.1,14
0.105948,469.8,169.9,2317.1,122.9,2736.5,177.2,432.9,1741.3,2540.3,116.4,77.2,13.4
0.107948,456.2,166.6,2303.2,119.7,2728.2,182.3,432.7,1743.8,2540.8,116.1,77.4,12.6
0.109948,445.5,164.8,2288.1,113.8,2718.6,188.1,432.5,1746.4,2541.3,115.7,77.5,11.8
0.111948,442.7,156.6,2280.1,107.2,2713.1,193.2,432.3,1749,2541.8,115.4,77.6,11.1
0.113948,440.8,144.6,2276.2,104.1,2710.8,205.5,432.1,1751.6,2542.4,115.1,77.8,10.6
0.115948,437.3,136.4,2270.6,112.5,2704.6,243.6,431.9,1754.3,2542.9,114.7,77.8,10.6
0.117948,436.9,134.9,2258.8,142.2,2681.7,318.1,431.7,1757,2543.5,114.4,77.9,11
0.119948,442.6,132.5,2236.0,197.2,2636.0,388.3,431.6,1759.7,2544.1,114.1,78,11.7
0.121948,446.2,125.0,2207.0,237.3,2619.1,398.5,431.4,1762.5,2544.7,113.8,78.1,12.5
0.123948,443.8,119.4,2176.9,239.2,2643.8,393.0,431.2,1765.2,2545.3,113.5,78.3,13.2
0.125948,440.6,118.4,2145.2,213.9,2684.3,367.4,431,1768,2545.9,113.2,78.4,13.6
0.127948,443.0,114.9,2125.6,191.7,2704.5,327.2,430.8,1770.8,2546.5,112.9,78.5,13.9
0.129948,448.6,103.9,2113.9,180.7,2698.8,286.9,430.7,1773.6,2547.2,112.6,78.6,14.2
0.131948,450.3,94.9,2097.3,172.6,2675.7,252.2,430.5,1776.4,2547.9,112.4,78.7,14.4
0.133948,446.8,92.4,2072.0,155.1,2652.6,224.1,430.3,1779.2,2548.6,112.1,78.8,14.6
