time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025375,470.6,73.2,1897.2,397.3,3910.8,2029.2,589.1,1846.6,2972.9,98.1,65.5,-203.2
0.027375,476.2,60.0,1909.3,381.3,3920.8,1990.2,589,1846.8,2973.2,101.2,66.2,-209.7
0.029375,479.2,53.6,1928.2,360.5,4028.8,1885.0,588.9,1847.2,2973.6,104.5,67,-214.6
0.031375,484.0,61.5,1945.8,326.9,4257.5,1682.4,588.6,1847.8,2974.2,108,67.8,-213
0.033375,495.3,82.5,1949.6,315.2,4393.1,1645.0,588.3,1848.5,2975,111.7,68.8,-200
0.035375,505.1,96.3,1952.8,328.3,4445.4,1570.9,588,1849.4,2975.9,0,69.8,-169.2
0.037375,505.3,97.5,1962.8,351.0,4477.3,1404.9,587.6,1850.4,2977,0,70.7,-123.8
0.039375,499.0,91.6,1979.8,389.4,4447.5,1347.8,587.1,1851.6,2978.3,0,71.4,-73.5
0.041375,488.1,80.7,2024.5,500.0,4333.1,1519.4,586.5,1853,2979.8,0,71.9,-28.1
0.043375,478.2,65.7,2154.6,779.3,4225.2,2025.3,585.9,1854.5,2981.4,0,72.4,2.6
0.045375,477.4,55.8,1409.3,3243.7,2459.8,979.8,585.2,1856.2,2983.2,0,72.9,15.3
0.047375,486.3,52.7,1725.4,2737.3,2558.7,955.7,584.5,1858,2985.1,0,73.6,16.6
0.049375,497.9,48.5,2068.0,1357.2,2687.0,1524.2,583.7,1860,2987.3,0,74.4,11.4
0.051375,512.6,45.2,1931.2,695.0,2960.6,1343.1,582.8,1862.2,2989.5,0,75.2,4.6
0.053375,532.2,44.6,1886.1,452.8,2994.2,1188.8,581.9,1864.4,2992,0,76,1.2
0.055375,556.2,43.4,1856.7,344.7,2926.1,1046.3,580.9,1866.9,2994.6,0,76.7,1
0.057375,580.1,38.7,1830.2,283.1,2822.3,796.5,579.9,1869.5,2997.3,0,77.3,0.8
0.059375,597.6,33.6,1818.1,235.7,2772.7,560.0,578.8,1872.2,3000.2,165.5,77.9,0.6
0.061375,608.4,30.5,1825.5,201.9,2764.5,407.0,577.6,1875,3003.3,169.1,78.5,0.9
0.063375,612.8,29.4,1845.1,183.8,2770.1,322.6,576.4,1878,3006.5,172.6,79,1.7
0.065375,613.2,28.6,1868.0,171.9,2776.1,269.7,575.2,1881.2,3009.9,175.9,79.5,3.2
0.067375,612.3,27.4,1889.1,161.3,2783.4,233.3,573.9,1884.5,3013.4,179,79.9,5.3
0.069375,611.7,26.5,1904.8,153.0,2794.6,210.4,572.5,1887.9,3017,181.8,80.3,7.8
0.071375,611.4,26.7,1915.0,147.8,2807.5,197.6,571.1,1891.4,3020.8,184.5,80.6,10.2
0.073375,611.2,28.6,1919.3,146.5,2815.4,196.2,569.6,1895.1,3024.8,187,80.8,12.4
0.075375,611.6,31.9,1920.6,146.9,2814.7,205.6,568.1,1898.8,3028.8,189.2,81.1,14.2
0.077375,612.7,35.6,1922.1,145.8,2803.1,224.4,566.6,1902.7,3033,191.2,81.3,16
0.079375,614.3,38.3,1925.3,142.4,2784.0,245.3,565,1906.8,3037.3,193.1,81.5,17.7
0.081375,616.0,40.2,1930.6,137.2,2767.1,259.0,563.4,1910.9,3041.8,194.7,81.8,19.2
0.083375,617.8,42.2,1937.6,131.2,2766.5,255.0,561.7,1915.1,3046.4,196.2,82,20.4
0.085375,619.5,44.4,1946.4,124.6,2781.6,232.5,560,1919.5,3051.1,197.5,82.3,21.4
0.087375,620.8,46.1,1956.6,117.3,2803.9,200.6,558.2,1923.9,3055.9,198.7,82.6,22.1
0.089375,621.0,46.2,1966.8,112.2,2825.4,173.9,556.5,1928.5,3060.8,199.7,82.8,22.7
0.091375,620.1,44.9,1977.2,111.0,2844.4,154.6,554.7,1933.1,3065.8,200.6,83.1,23.1
0.093375,618.9,42.9,1987.0,113.7,2857.3,142.7,552.8,1937.9,3071,201.4,83.3,23.3
0.095375,617.6,40.5,1995.5,118.6,2864.4,137.2,550.9,1942.7,3076.2,202.2,83.5,23.3
0.097375,616.4,37.7,2002.3,122.7,2866.8,137.0,549,1947.6,3081.6,202.8,83.7,23
0.099375,615.3,34.9,2007.7,122.2,2866.7,137.1,547.1,1952.6,3087,203.4,83.9,22.6
0.101375,614.5,32.7,2013.8,115.8,2868.5,131.8,545.2,1957.6,3092.5,203.9,84,22.1
0.103375,613.8,31.1,2020.5,106.6,2875.0,121.4,543.2,1962.8,3098.1,204.3,84.1,21.7
0.105375,613.0,30.0,2026.8,97.7,2884.0,110.1,541.2,1968,3103.8,204.8,84.1,21.3
0.107375,612.1,29.3,2030.9,91.5,2890.8,101.8,539.2,1973.3,3109.6,205.2,84.1,21
0.109375,611.0,28.9,2030.8,89.9,2892.1,99.0,537.2,1978.6,3115.5,205.6,84,20.7
0.111375,609.4,29.3,2026.3,92.7,2888.3,100.0,535.1,1984,3121.4,205.9,83.8,20.2
0.113375,607.3,30.8,2020.1,98.4,2882.1,102.5,533.1,1989.4,3127.4,206.3,83.6,19.6
0.115375,604.4,33.6,2015.2,105.1,2876.1,105.1,531,1994.9,3133.4,206.6,83.2,18.7
0.117375,600.8,38.3,2012.3,111.6,2872.1,108.1,529,2000.4,3139.5,207,82.8,17.6
0.119375,596.3,44.8,2010.9,117.4,2871.2,112.5,526.9,2005.9,3145.7,207.3,82.2,16.4
0.121375,589.8,54.4,2008.9,124.1,2873.1,119.3,524.8,2011.5,3151.9,207.7,81.6,15.3
0.123375,580.3,67.4,2004.6,131.6,2876.6,128.9,522.8,2017.1,3158.1,208.1,81,14.4
0.125375,566.3,85.0,1996.3,140.3,2879.8,143.9,520.7,2022.8,3164.4,208.5,80.3,13.7
0.127375,546.2,106.2,1983.8,150.5,2881.0,170.9,518.6,2028.4,3170.7,208.9,79.8,13
0.129375,522.4,123.8,1970.6,162.2,2879.1,216.8,516.6,2034.1,3177.1,209.3,79.4,12.4
0.131375,497.2,131.9,1960.2,176.6,2877.2,294.1,514.5,2039.8,3183.4,209.7,79.2,12.2
0.133375,477.0,130.4,1957.6,188.1,2885.6,381.9,512.5,2045.4,3189.8,210.1,79.1,12.2
0.135375,462.6,125.0,1960.5,190.4,2906.5,422.3,510.5,2051.1,3196.3,210.5,79.2,12.6
0.137375,452.6,118.5,1960.2,184.8,2921.3,399.2,508.5,2056.8,3202.7,211,79.3,13.5
0.139375,446.1,113.1,1951.7,173.8,2922.2,359.6,506.5,2062.5,3209.1,211.4,79.5,14.5
0.141375,442.6,109.3,1937.6,156.9,2918.9,325.1,504.5,2068.1,3215.6,211.9,79.6,15.6
0.143375,442.3,107.6,1924.6,139.8,2917.9,304.5,502.6,2073.7,3222,212.4,79.7,16.6
0.145375,444.9,107.6,1916.0,127.7,2919.8,298.2,500.6,2079.3,3228.4,212.9,79.8,17.6
0.147375,449.8,109.0,1913.4,123.0,2923.8,302.7,498.7,2084.9,3234.8,213.3,79.9,18.6
0.149375,456.1,111.9,1916.7,123.0,2929.6,308.4,496.8,2090.5,3241.2,213.8,80,19.7
0.151375,463.7,116.1,1923.8,122.9,2937.1,313.2,495,2096,3247.6,214.3,80.1,20.5
0.153375,471.1,119.2,1931.6,120.7,2944.3,323.7,493.2,2101.5,3254,214.7,80.2,21.1
0.155375,477.9,119.5,1938.5,118.2,2949.9,343.6,491.4,2106.9,3260.3,215.2,80.3,21.2
0.157375,484.0,117.5,1944.5,116.2,2952.5,362.4,489.7,2112.2,3266.6,215.7,80.3,21.1
0.159375,489.5,115.1,1949.6,113.5,2950.4,362.0,487.9,2117.6,3272.8,216.1,80.4,20.8
0.161375,494.4,112.6,1955.2,108.3,2944.1,341.0,486.3,2122.8,3279.1,216.6,80.5,20.5
0.163375,497.4,109.0,1962.0,100.5,2936.9,314.5,484.7,2128,3285.2,217,80.6,20.3
0.165375,497.0,101.6,1970.3,91.3,2931.7,292.7,483.1,2133.1,3291.3,217.4,80.7,20.3
0.167375,492.9,89.6,1979.0,82.5,2931.6,271.3,481.5,2138.2,3297.4,217.8,80.9,20.3
0.169375,487.5,76.5,1986.9,75.8,2937.3,243.4,480,2143.1,3303.4,218.2,81.1,20.3
0.171375,483.0,65.6,1995.4,72.5,2947.1,210.6,478.6,2148,3309.3,218.6,81.3,20.4
0.173375,480.9,59.6,2006.0,74.6,2956.9,182.9,477.2,2152.8,3315.1,219,81.6,20.5
0.175375,481.2,58.4,2021.8,84.3,2965.9,161.2,475.8,2157.5,3320.9,219.4,81.8,20.6
0.177375,483.6,61.9,2050.0,104.2,2974.9,144.3,474.6,2162.1,3326.6,219.8,82,20.8
0.179375,487.3,68.3,2097.8,129.3,2986.2,133.6,473.3,2166.7,3332.2,220.1,82.2,21
0.181375,491.0,73.9,2167.3,144.1,3003.7,128.8,472.1,2171.1,3337.8,220.5,82.3,21.2
0.183375,492.3,74.0,2229.6,138.7,3025.1,129.4,471,2175.4,3343.2,220.8,82.4,21.1
0.185375,490.7,69.2,2270.2,128.6,3046.2,136.1,470,2179.6,3348.6,221.2,82.5,20.9
0.187375,487.5,62.9,2296.0,124.2,3065.2,149.8,468.9,2183.7,3353.8,221.5,82.6,20.4
0.189375,484.2,58.7,2316.6,126.6,3082.1,170.0,468,2187.7,3359,221.9,82.6,19.9
0.191375,481.2,57.3,2341.3,133.3,3103.0,204.6,467.1,2191.5,3364,222.2,82.7,19.5
0.193375,478.9,58.2,2368.7,137.5,3134.9,262.6,466.3,2195.2,3368.9,222.6,82.7,19.2
0.195375,476.9,60.0,2393.1,132.9,3189.7,351.9,465.6,2198.8,3373.8,222.9,82.8,19.3
0.197375,474.5,61.8,2407.9,120.5,3273.2,456.5,464.9,2202.3,3378.5,223.3,82.8,19.5
0.199375,471.5,62.2,2412.3,110.8,3354.5,530.1,464.3,2205.7,3383,223.7,82.8,19.8
0.201375,467.6,60.9,2411.9,108.1,3409.7,565.7,463.7,2208.9,3387.5,224.1,82.9,20.1
0.203375,463.5,59.1,2409.9,110.6,3436.1,572.4,463.2,2211.9,3391.8,224.5,82.9,20.1
0.205375,459.8,58.3,2407.1,115.3,3450.4,575.3,462.8,2214.9,3396,224.9,82.8,19.9
0.207375,456.2,58.4,2402.6,122.4,3459.7,606.8,462.5,2217.7,3400.1,225.4,82.8,19.5
0.209375,452.6,57.6,2394.6,134.3,3459.4,698.9,462.2,2220.3,3404,225.9,82.7,19.1
0.211375,448.3,54.6,2379.9,155.4,3434.8,880.4,462,2222.8,3407.8,226.4,82.5,18.6
0.213375,444.1,51.2,2356.3,184.1,3368.0,1106.6,461.9,2225.1,3411.4,226.9,82.3,18.1
0.215375,439.9,49.0,2319.8,216.8,3260.9,1303.5,461.9,2227.3,3414.9,227.4,82.1,17.6
0.217375,435.6,48.6,2269.9,242.1,3154.5,1465.7,461.9,2229.3,3418.3,227.9,81.8,16.9
0.219375,431.6,51.0,2225.2,238.7,3109.8,1724.0,462,2231.2,3421.5,228.5,81.6,16.2
0.221375,428.5,59.4,2201.0,205.7,3202.2,2213.7,462.2,2232.9,3424.5,229.1,81.3,15.7
0.223375,427.9,74.9,2193.6,174.1,3468.9,2398.6,462.4,2234.5,3427.4,229.7,81,15.7
0.225375,429.8,96.2,2190.7,160.5,3657.9,2119.2,462.7,2235.8,3430.1,230.3,80.8,16.2
0.227375,432.6,119.4,2187.9,160.2,3875.7,1854.4,463.1,2237.1,3432.7,230.9,80.7,17
0.229375,433.5,137.1,2184.7,167.6,4022.2,1060.2,463.6,2238.1,3435.1,231.6,80.6,18.1
0.231375,431.7,145.6,2178.9,184.1,4044.3,939.9,464.2,2239,3437.4,232.2,80.5,19.2
0.233375,429.3,146.3,2169.7,203.4,4111.0,918.0,464.8,2239.7,3439.4,232.9,80.4,20.2
0.235375,427.0,142.8,2161.0,220.6,4153.4,890.8,465.5,2240.3,3441.3,233.6,80.3,21.1
0.237375,425.8,139.3,2158.1,228.9,4182.7,870.6,466.3,2240.7,3443.1,234.2,80.3,22.2
0.239375,426.3,139.6,2163.3,220.9,4213.7,873.0,467.1,2240.9,3444.6,234.9,80.3,23.2
0.241375,428.4,143.2,2172.0,199.9,4260.9,918.6,468,2240.9,3446,235.6,80.2,24
0.243375,430.9,147.1,2176.9,179.0,4341.8,1032.9,469,2240.8,3447.3,236.3,80.1,24.6
0.245375,434.4,152.1,2175.1,161.1,4071.1,1787.8,470.1,2240.5,3448.3,237,80,24.8
0.247375,441.1,161.1,2167.1,143.8,3734.6,1479.1,471.2,2240,3449.2,237.7,79.8,24.9
0.249375,449.7,170.5,2158.4,130.4,3619.2,1174.6,472.4,2239.3,3449.9,238.3,79.6,24.7
0.251375,459.6,179.2,2150.4,119.9,3591.5,957.2,473.7,2238.5,3450.4,239,79.4,24.5
0.253375,470.0,187.7,2143.8,111.3,3595.9,852.0,475.1,2237.5,3450.7,239.7,79.1,24.2
0.255375,479.8,196.4,2140.1,104.3,3628.2,850.1,476.5,2236.4,3450.9,240.4,78.8,23.8
0.257375,487.6,204.9,2140.5,99.7,3730.8,926.3,478,2235,3450.8,241,78.5,23.2
0.259375,492.2,210.8,2143.9,97.5,3913.2,795.7,479.5,2233.5,3450.6,241.7,78.1,22.6
0.261375,495.0,211.4,2146.5,97.1,3967.6,601.7,481.1,2231.8,3450.2,242.3,77.8,21.9
0.263375,498.9,205.2,2144.9,98.7,4018.2,575.8,482.8,2230,3449.7,243,77.5,21.3
0.265375,504.8,192.8,2139.3,101.1,4128.1,669.2,484.6,2227.9,3448.9,243.6,77.3,20.7
0.267375,507.9,172.1,2134.7,104.6,3916.5,2169.4,486.4,2225.7,3448,244.2,77.1,20.1
0.269375,506.8,146.2,2136.9,110.6,3851.4,2236.0,488.2,2223.4,3446.9,244.9,77.1,19.5
0.271375,506.9,119.1,2145.5,116.0,3873.9,2552.7,490.2,2220.9,3445.6,245.5,77.2,19
0.273375,509.6,96.6,2156.0,116.4,3903.2,2463.5,492.2,2218.2,3444.1,246,77.4,18.5
0.275375,512.0,77.9,2165.8,113.6,3896.6,1896.1,494.2,2215.3,3442.5,246.6,77.8,18
0.277375,512.2,62.4,2176.1,111.5,3864.8,1335.6,496.3,2212.3,3440.6,247.2,78.3,17.5
0.279375,510.3,50.6,2187.1,114.4,3837.2,1014.5,498.5,2209.1,3438.6,247.7,78.9,17
0.281375,507.9,40.7,2198.9,124.0,3804.8,860.1,500.7,2205.8,3436.4,248.3,79.5,16.8
0.283375,506.5,33.2,2210.2,135.2,3754.3,801.7,502.9,2202.3,3434.1,248.8,80.1,16.7
0.285375,506.5,27.7,2220.7,140.5,3685.2,775.0,505.2,2198.7,3431.5,249.3,80.7,17
0.287375,507.4,23.6,2229.9,134.7,3603.3,742.5,507.6,2194.9,3428.8,249.7,81.2,17.7
0.289375,509.2,20.9,2237.1,118.4,3525.6,673.2,510,2190.9,3425.9,250.2,81.8,18.5
0.291375,511.9,19.4,2244.1,96.1,3464.0,562.3,512.4,2186.8,3422.9,250.6,82.2,19
0.293375,515.2,19.1,2250.2,77.1,3427.6,467.9,514.9,2182.6,3419.6,251,82.6,19.2
0.295375,518.8,19.5,2254.6,63.7,3405.7,409.2,517.4,2178.2,3416.2,251.4,82.9,18.7
0.297375,522.4,20.6,2257.1,54.7,3389.6,373.2,520,2173.7,3412.7,251.7,83.1,17.8
0.299375,525.4,22.4,2258.2,49.4,3376.9,353.7,522.6,2169,3408.9,252.1,83.2,16.7
0.301375,528.2,25.1,2258.2,47.3,3366.1,353.4,525.2,2164.2,3405.1,252.4,83.2,15.7
0.303375,530.8,28.7,2257.5,48.7,3355.7,382.0,527.9,2159.3,3401,252.7,83,15.1
0.305375,533.5,33.2,2256.1,54.3,3338.3,447.7,530.6,2154.3,3396.8,252.9,82.7,14.8
0.307375,536.8,39.0,2253.7,64.9,3298.0,559.1,533.3,2149.1,3392.4,253.2,82.3,14.7
0.309375,541.2,46.1,2249.7,78.6,3221.6,676.6,536.1,2143.8,3387.9,253.4,81.7,14.8
0.311375,547.8,57.0,2244.8,91.6,3133.9,720.2,538.8,2138.4,3383.2,253.6,81.1,15.1
0.313375,556.6,72.2,2239.7,101.2,3086.9,709.9,541.6,2132.9,3378.4,253.8,80.4,15.5
0.315375,566.9,89.8,2232.3,110.2,3056.4,693.6,544.4,2127.2,3373.4,253.9,79.8,16.3
0.317375,576.8,106.0,2220.0,120.1,3023.8,662.2,547.2,2121.5,3368.3,254.1,79.3,17.4
0.319375,584.8,117.4,2204.4,128.3,2999.0,610.8,550.1,2115.6,3363,254.2,78.9,18.7
0.321375,591.9,126.1,2186.0,134.3,2986.5,550.2,552.9,2109.7,3357.6,254.3,78.6,19.7
0.323375,599.3,134.0,2166.2,137.7,2982.3,497.1,555.8,2103.6,3352.1,254.3,78.4,20.3
0.325375,607.8,144.1,2144.8,137.2,2982.9,450.8,558.6,2097.5,3346.4,254.4,78.3,20.4
0.327375,616.9,157.9,2123.1,130.5,2991.5,407.7,561.5,2091.2,3340.6,254.4,78.2,20
0.329375,624.4,174.1,2105.2,120.2,3006.9,370.0,564.3,2084.9,3334.7,254.4,78.3,19.4
0.331375,629.6,191.6,2090.9,109.8,3021.7,338.3,567.2,2078.5,3328.6,254.4,78.3,18.8
0.333375,633.1,205.7,2080.1,102.4,3027.1,319.7,570.1,2072,3322.5,254.4,78.4,18.6
0.335375,637.4,215.7,2070.9,96.7,3024.7,310.6,572.9,2065.5,3316.2,254.3,78.5,18.7
0.337375,644.7,223.5,2062.6,90.8,3020.7,305.0,575.8,2058.9,3309.8,254.3,78.6,19
0.339375,654.2,229.3,2055.9,84.2,3018.9,302.1,578.6,2052.2,3303.3,254.2,78.7,19.4
0.341375,664.9,233.3,2050.2,76.9,3018.3,304.3,581.4,2045.4,3296.6,254.1,78.8,19.6
0.343375,675.1,235.1,2045.9,70.7,3017.9,312.4,584.2,2038.6,3289.9,253.9,78.9,19.7
0.345375,684.6,234.9,2041.9,65.5,3017.1,323.2,587,2031.8,3283.1,253.8,79,19.5
0.347375,693.4,231.2,2037.3,60.7,3017.2,330.6,589.8,2024.9,3276.1,253.6,79,19
0.349375,700.5,222.4,2032.3,56.1,3019.3,329.1,592.5,2017.9,3269.1,253.4,79.1,18.5
0.351375,707.0,208.1,2027.9,51.6,3022.4,318.6,595.3,2010.9,3262,253.2,79.2,18
0.353375,712.9,190.8,2024.9,48.1,3022.8,306.3,598,2003.9,3254.8,253,79.3,17.6
0.355375,718.0,170.3,2022.2,45.5,3017.1,299.9,600.6,1996.9,3247.5,252.7,79.4,17.5
0.357375,721.6,148.3,2018.1,43.7,3004.7,304.8,603.2,1989.8,3240.2,252.4,79.4,17.6
0.359375,722.9,131.4,2012.9,43.3,2990.8,320.9,605.8,1982.7,3232.8,252.1,79.5,17.6
0.361375,722.4,122.4,2007.5,44.9,2982.8,350.7,608.4,1975.6,3225.3,251.8,79.5,17.7
0.363375,720.5,121.6,2003.1,48.7,2989.2,395.1,610.9,1968.5,3217.7,251.5,79.5,17.5
0.365375,717.5,125.2,1999.4,54.1,3013.5,447.0,613.4,1961.3,3210.1,251.1,79.4,17
0.367375,713.0,128.2,1995.0,60.1,3050.8,481.4,615.8,1954.2,3202.4,250.7,79.3,16.5
0.369375,706.9,127.2,1989.1,65.1,3080.6,476.8,618.2,1947,3194.6,250.3,79.2,15.8
0.371375,698.7,123.1,1981.8,69.2,3093.9,452.0,620.6,1939.9,3186.9,249.9,79.1,15
0.373375,688.4,119.8,1975.0,73.0,3097.1,440.2,622.9,1932.8,3179,249.5,78.9,14.3
0.375375,673.4,120.8,1968.9,78.7,3105.2,456.9,625.1,1925.6,3171.1,249,78.8,13.2
0.377375,649.2,126.9,1962.2,89.2,3133.7,495.2,627.3,1918.6,3163.2,248.5,78.7,11.9
0.379375,617.3,129.9,1952.4,104.7,3181.3,506.2,629.4,1911.5,3155.3,248,78.9,10.6
0.381375,582.3,117.7,1932.7,129.0,3217.9,455.3,631.5,1904.4,3147.3,247.5,79.1,9.7
0.383375,555.3,94.8,1899.9,164.9,3217.4,381.5,633.5,1897.4,3139.3,247,79.5,9.6
0.385375,537.5,74.8,1860.7,209.6,3190.8,315.2,635.5,1890.4,3131.2,246.4,79.8,10.6
0.387375,526.5,62.3,1833.5,251.0,3152.3,261.8,637.4,1883.5,3123.2,245.8,80.1,12.4
0.389375,519.9,54.9,1827.0,265.4,3117.0,225.8,639.2,1876.6,3115.1,245.2,80.4,14.5
0.391375,515.3,49.2,1827.5,247.7,3092.9,204.4,641,1869.7,3107,244.6,80.6,16.5
0.393375,512.1,45.4,1824.9,220.0,3088.1,204.2,642.6,1862.9,3098.9,243.9,80.7,18
0.395375,509.6,43.5,1817.9,198.8,3104.4,229.9,644.3,1856.1,3090.9,243.3,80.8,18.8
0.397375,507.3,42.5,1806.6,185.7,3142.5,282.8,645.8,1849.4,3082.8,242.6,80.9,19.3
0.399375,505.1,41.9,1792.9,179.6,3187.4,345.8,647.3,1842.8,3074.7,241.8,81,19.5
