time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025203,572.5,31.8,1196.2,162.6,2561.8,832.6,624,1673.1,2702.7,228.1,79.1,14.1
0.027203,578.6,38.4,1213.6,172.6,2556.5,776.7,623.9,1673,2702.7,228.2,79.9,19.8
0.029203,587.0,47.8,1239.8,182.3,2581.6,639.9,623.8,1672.7,2702.6,228.3,80.3,16
0.031203,600.6,58.4,1281.5,183.5,2619.2,491.0,623.7,1672.4,2702.5,228.4,80.6,8.4
0.033203,619.6,65.0,1334.1,164.8,2650.5,357.1,623.5,1672,2702.4,228.6,80.8,2.2
0.035203,639.2,67.2,1382.0,135.2,2671.0,252.0,623.3,1671.4,2702.3,228.7,81,1.7
0.037203,656.7,72.2,1417.9,115.2,2684.1,183.7,623,1670.8,2702.1,228.9,81.3,3.3
0.039203,673.3,83.6,1446.5,109.7,2693.2,144.9,622.7,1670.1,2702,229.1,81.7,5.5
0.041203,689.3,98.6,1473.6,112.8,2700.4,123.0,622.4,1669.2,2701.8,229.3,82,7.8
0.043203,702.9,111.8,1502.0,116.5,2707.3,109.0,622.1,1668.3,2701.5,229.5,82.3,9.9
0.045203,712.0,118.9,1530.5,114.3,2713.6,98.4,621.7,1667.3,2701.3,229.7,82.6,11.4
0.047203,716.1,121.0,1556.0,104.9,2718.9,90.0,621.2,1666.2,2701,229.9,82.7,12.5
0.049203,717.6,123.0,1575.8,92.1,2723.2,84.3,620.7,1665,2700.7,230.1,82.9,13.3
0.051203,719.2,128.8,1589.7,79.3,2727.4,82.6,620.2,1663.7,2700.4,230.4,83,14
0.053203,722.2,138.9,1599.9,68.2,2732.7,85.4,619.7,1662.4,2700.1,230.7,83,14.7
0.055203,725.8,151.0,1608.1,58.5,2740.6,92.6,619.1,1660.9,2699.7,230.9,83.1,15.2
0.057203,728.9,161.2,1614.6,50.0,2751.9,103.2,618.5,1659.4,2699.3,231.2,83.3,15.7
0.059203,730.9,167.0,1619.1,42.8,2765.6,115.3,617.8,1657.7,2698.9,231.5,83.4,16
0.061203,731.9,168.1,1621.9,36.7,2778.9,126.4,617.1,1656,2698.5,231.9,83.6,16.3
0.063203,732.1,166.9,1623.9,31.8,2790.7,134.7,616.4,1654.2,2698,232.2,83.8,16.5
0.065203,731.6,167.8,1626.1,28.1,2803.4,140.7,615.6,1652.4,2697.5,232.5,83.9,16.7
0.067203,729.6,170.5,1628.7,25.2,2818.4,148.0,614.8,1650.4,2697,232.9,84.1,17
0.069203,725.6,171.5,1631.5,22.6,2834.0,159.1,613.9,1648.4,2696.5,233.3,84.2,17.2
0.071203,719.8,168.7,1634.6,20.4,2848.4,175.0,613.1,1646.3,2696,233.7,84.3,17.3
0.073203,713.1,162.9,1637.7,18.7,2861.2,197.4,612.1,1644.1,2695.4,234.1,84.3,17.3
0.075203,706.4,156.7,1640.8,17.8,2874.1,227.0,611.2,1641.9,2694.8,234.5,84.2,17
0.077203,700.3,152.0,1644.1,17.7,2889.7,262.2,610.2,1639.6,2694.2,234.9,84,16.5
0.079203,695.1,148.4,1648.1,18.2,2911.6,298.0,609.2,1637.3,2693.5,235.3,83.7,15.7
0.081203,690.7,146.1,1653.0,19.3,2945.7,324.7,608.2,1634.9,2692.9,235.8,83.3,15
0.083203,686.6,146.2,1658.6,20.9,2993.5,326.7,607.1,1632.4,2692.2,236.3,82.8,14.6
0.085203,682.5,149.4,1663.6,23.1,3040.9,301.2,606,1629.8,2691.5,236.8,82.4,14.6
0.087203,678.5,155.6,1666.8,26.2,3073.7,276.6,604.8,1627.3,2690.8,237.3,81.9,15.1
0.089203,675.1,163.7,1667.6,30.7,3095.3,278.6,603.6,1624.6,2690,237.8,81.4,15.9
0.091203,672.5,172.9,1666.8,36.9,3114.7,312.1,602.4,1622,2689.2,238.4,81,16.7
0.093203,669.7,182.4,1665.8,45.4,3138.7,371.6,601.2,1619.2,2688.4,238.9,80.6,17.2
0.095203,664.9,191.4,1665.7,57.2,3167.9,445.8,599.9,1616.5,2687.6,239.5,80.2,17.2
0.097203,656.7,197.5,1667.1,72.9,3202.4,533.2,598.6,1613.7,2686.8,240.1,79.9,16.9
0.099203,644.7,199.3,1670.0,92.6,2954.3,2840.3,597.3,1610.8,2685.9,240.7,79.6,16.4
0.101203,628.8,197.1,1674.4,116.8,2623.5,2343.6,595.9,1608,2685,241.3,79.2,15.7
0.103203,608.3,191.1,1679.1,151.1,2306.2,1699.4,594.6,1605.1,2684.1,242,78.9,14.9
0.105203,584.8,182.4,1679.1,205.7,2122.8,1170.7,593.1,1602.1,2683.2,242.7,78.6,13.9
0.107203,561.8,175.5,1664.2,274.6,2057.5,798.6,591.7,1599.2,2682.2,243.3,78.2,12.5
0.109203,541.3,174.9,1637.3,311.8,2058.9,594.1,590.2,1596.2,2681.2,244,77.7,10.9
0.111203,523.0,183.4,1621.4,307.2,2078.8,523.9,588.7,1593.2,2680.2,244.7,77.3,9.4
0.113203,505.0,198.6,1614.6,281.6,2104.6,512.9,587.2,1590.2,2679.2,245.4,76.8,8.4
0.115203,487.3,215.0,1609.3,249.9,2134.7,509.5,585.7,1587.2,2678.2,246.2,76.4,7.9
0.117203,474.4,227.9,1607.4,225.9,2164.2,513.8,584.1,1584.2,2677.1,246.9,76.2,8.1
0.119203,470.4,232.3,1610.6,215.2,2187.7,546.0,582.5,1581.2,2676,247.6,76.1,8.6
0.121203,474.4,227.8,1616.1,216.9,2203.2,608.0,580.9,1578.2,2674.9,248.3,76.2,9.4
0.123203,481.4,219.7,1618.9,225.6,2210.0,677.5,579.2,1575.2,2673.8,249.1,76.3,10.2
0.125203,486.3,213.6,1614.7,232.4,2209.6,722.0,577.6,1572.2,2672.7,249.8,76.5,10.9
0.127203,486.3,210.8,1604.7,230.7,2207.0,726.6,575.9,1569.2,2671.5,250.5,76.6,11.7
0.129203,480.0,209.9,1593.3,221.3,2204.8,689.7,574.2,1566.2,2670.3,251.2,76.8,12.7
0.131203,467.1,206.7,1583.3,206.9,2201.8,615.3,572.5,1563.3,2669.1,251.9,76.8,13.6
0.133203,449.1,200.6,1577.2,188.9,2201.3,538.4,570.7,1560.3,2667.9,252.6,76.8,14.5
0.135203,430.0,197.7,1579.2,171.4,2215.5,510.5,568.9,1557.4,2666.7,253.3,76.8,15.2
0.137203,413.8,201.8,1588.8,157.4,2253.1,548.8,567.2,1554.5,2665.4,254,76.8,15.7
0.139203,403.0,207.5,1600.8,147.6,2308.6,632.2,565.3,1551.7,2664.2,254.6,76.7,16.1
0.141203,398.1,209.1,1612.0,146.7,2364.4,729.4,563.5,1548.8,2662.9,255.3,76.7,16.5
0.143203,398.0,205.9,1624.8,160.5,2398.2,822.2,561.7,1546.1,2661.6,255.9,76.7,16.9
0.145203,401.0,201.6,1642.6,190.1,2401.3,912.9,559.8,1543.3,2660.3,256.5,76.6,17.5
0.147203,406.4,199.5,1663.4,222.7,2392.6,1013.4,558,1540.6,2658.9,257.1,76.6,18.4
0.149203,413.4,201.4,1677.1,236.8,2413.5,1126.5,556.1,1538,2657.6,257.6,76.5,19.2
0.151203,420.8,206.3,1679.4,228.6,2509.3,1211.6,554.2,1535.4,2656.2,258.2,76.5,20.1
0.153203,425.9,210.3,1677.2,214.7,2640.4,1121.8,552.3,1532.8,2654.8,258.7,76.5,20.8
0.155203,427.3,213.5,1679.1,208.3,2711.3,991.4,550.3,1530.3,2653.4,259.2,76.6,21.2
0.157203,426.3,219.6,1689.6,210.3,2796.9,881.7,548.4,1527.9,2652,259.7,76.7,21.4
0.159203,425.2,230.4,1706.4,213.2,2782.7,4561.3,546.5,1525.5,2650.6,260.2,76.8,21.4
0.161203,425.2,243.6,1720.8,209.8,2014.8,6963.5,544.5,1523.2,2649.2,260.7,76.9,21.4
0.163203,424.8,254.0,1725.4,198.8,2961.4,449.5,542.5,1521,2647.7,261.1,77,21.5
0.165203,422.4,256.3,1721.1,184.2,2967.3,381.9,540.6,1518.9,2646.3,261.5,77.1,21.9
0.167203,418.0,249.1,1713.0,171.8,2961.9,353.8,538.6,1516.8,2644.8,261.9,77.2,22.6
0.169203,413.2,236.0,1704.0,165.6,2946.3,362.5,536.6,1514.8,2643.3,262.3,77.4,23.5
0.171203,409.2,220.6,1694.1,166.7,2916.8,409.7,534.6,1512.9,2641.8,262.7,77.5,24.1
0.173203,405.7,202.1,1683.6,176.4,2865.7,503.5,532.6,1511,2640.3,263,77.7,24.3
0.175203,402.1,177.8,1672.2,196.4,2778.9,651.4,530.6,1509.3,2638.8,263.3,77.9,23.7
0.177203,402.0,151.5,1657.2,214.9,2655.6,806.7,528.6,1507.6,2637.3,263.6,78.2,22.3
0.179203,412.6,134.3,1643.0,199.0,2602.9,880.5,526.6,1506.1,2635.8,263.8,78.6,20.4
0.181203,438.0,127.5,1635.0,151.3,2746.9,863.0,524.5,1504.6,2634.2,264,79.2,18.4
0.183203,472.7,112.8,1623.6,106.9,2941.2,640.5,522.5,1503.2,2632.7,264.2,80,16.5
0.185203,503.8,82.5,1609.0,79.2,3021.7,436.5,520.5,1502,2631.2,264.3,80.9,15.1
0.187203,525.4,54.2,1597.9,62.9,3026.7,336.5,518.5,1500.8,2629.6,264.4,82,13.6
0.189203,538.1,37.4,1593.7,53.5,3000.0,291.4,516.5,1499.7,2628.1,264.5,83,12.3
0.191203,544.2,29.1,1595.0,48.7,2966.3,270.3,514.4,1498.8,2626.5,264.5,84,11.2
0.193203,546.3,25.1,1599.0,45.8,2936.6,259.3,512.4,1497.9,2625,264.5,84.7,10.6
0.195203,545.9,23.4,1603.2,43.3,2914.2,247.8,510.4,1497.2,2623.4,264.5,85.2,10.4
0.197203,544.2,23.3,1606.2,41.0,2899.8,230.8,508.4,1496.6,2621.9,264.5,85.5,10.7
0.199203,541.8,24.3,1607.5,38.9,2891.4,208.4,506.4,1496,2620.3,264.4,85.6,11.4
0.201203,539.3,25.9,1606.9,36.6,2884.7,181.8,504.4,1495.6,2618.8,264.2,85.6,12.3
0.203203,537.0,27.6,1604.8,33.9,2876.9,153.2,502.4,1495.4,2617.2,264.1,85.4,13.5
0.205203,535.0,29.3,1601.7,30.7,2869.1,125.9,500.4,1495.2,2615.7,263.9,85.1,14.9
0.207203,533.0,31.2,1598.4,27.4,2864.1,103.3,498.4,1495.2,2614.1,263.7,84.8,16.9
0.209203,531.1,33.2,1595.6,24.4,2862.8,87.2,496.4,1495.2,2612.6,263.5,84.5,19.1
0.211203,529.6,35.1,1593.2,22.1,2863.9,76.5,494.5,1495.5,2611,263.3,84.3,21.3
0.213203,528.5,36.3,1590.7,20.6,2865.7,69.3,492.5,1495.8,2609.5,263,84.1,22.9
0.215203,527.4,36.7,1587.7,19.5,2866.5,64.1,490.5,1496.2,2608,262.7,84,23.7
0.217203,525.9,36.3,1584.0,18.9,2865.0,60.6,488.6,1496.8,2606.5,262.4,83.8,23.6
0.219203,523.7,35.9,1579.8,18.5,2861.3,58.6,486.7,1497.5,2605,262.1,83.7,23.1
0.221203,520.9,35.9,1575.1,18.5,2856.0,57.9,484.8,1498.4,2603.5,261.8,83.4,22.3
0.223203,517.7,36.6,1570.4,18.7,2849.9,59.0,482.9,1499.3,2602,261.5,83.1,21.5
0.225203,514.2,38.6,1565.8,19.1,2842.9,62.6,481,1500.4,2600.6,261.2,82.7,20.9
0.227203,510.5,42.1,1561.5,19.9,2834.0,69.4,479.1,1501.7,2599.1,260.9,82.2,20.3
0.229203,506.8,46.9,1557.5,21.0,2821.5,80.0,477.3,1503,2597.7,260.5,81.6,19.7
0.231203,503.2,52.8,1553.7,22.5,2802.1,95.5,475.4,1504.5,2596.2,260.2,80.9,19.1
0.233203,500.1,59.3,1550.5,24.6,2772.0,114.8,473.6,1506.1,2594.8,259.8,80.1,18.6
0.235203,496.9,66.6,1548.2,27.3,2733.0,131.6,471.8,1507.9,2593.4,259.5,79.2,18.3
0.237203,493.2,75.3,1546.7,30.8,2695.9,139.5,470,1509.8,2592.1,259.1,78.3,18.1
0.239203,488.1,85.9,1545.4,35.4,2669.0,141.6,468.2,1511.8,2590.7,258.7,77.4,18.1
0.241203,481.1,98.3,1543.0,41.0,2650.9,143.9,466.5,1513.9,2589.4,258.4,76.5,18.1
0.243203,472.1,112.3,1538.7,47.2,2637.6,148.7,464.7,1516.2,2588.1,258,75.7,18.1
0.245203,461.9,127.9,1532.8,53.1,2626.9,154.1,463,1518.6,2586.8,257.6,74.9,17.9
0.247203,453.2,141.1,1526.3,57.0,2615.5,157.3,461.3,1521.1,2585.5,257.2,74.2,17.6
0.249203,448.7,144.4,1519.7,57.0,2598.9,157.4,459.7,1523.8,2584.3,256.8,73.7,17.2
0.251203,448.7,136.2,1514.3,53.6,2578.8,157.0,458,1526.6,2583.1,256.4,73.4,16.8
0.253203,451.4,122.2,1510.8,49.4,2562.2,159.6,456.4,1529.5,2581.9,256,73.1,16.7
0.255203,455.2,107.4,1509.4,45.9,2552.9,164.2,454.8,1532.6,2580.8,255.6,73,16.7
0.257203,458.4,93.5,1508.9,43.6,2549.5,167.8,453.2,1535.8,2579.6,255.2,72.9,17.1
0.259203,459.8,81.9,1508.6,42.6,2548.4,169.8,451.7,1539.1,2578.5,254.7,72.8,17.7
0.261203,459.6,73.2,1507.8,42.6,2547.6,171.9,450.1,1542.5,2577.5,254.3,72.7,18.3
0.263203,459.1,67.2,1506.7,43.4,2548.0,172.5,448.6,1546,2576.4,253.8,72.5,18.7
0.265203,460.1,63.4,1505.3,44.5,2551.0,166.3,447.2,1549.7,2575.4,253.4,72.3,18.7
0.267203,463.8,61.1,1503.4,47.1,2554.2,151.2,445.7,1553.5,2574.5,252.9,72.2,18.4
0.269203,469.6,59.3,1500.6,53.4,2553.9,134.3,444.3,1557.4,2573.5,252.4,72.1,17.9
0.271203,475.7,56.8,1496.4,65.3,2548.5,122.0,442.9,1561.4,2572.7,251.9,72.1,17.4
0.273203,480.6,53.3,1490.8,82.9,2538.9,115.4,441.5,1565.5,2571.8,251.4,72.2,17.2
0.275203,483.8,49.1,1485.3,101.4,2526.7,113.4,440.2,1569.8,2571,250.9,72.4,17.5
0.277203,485.4,44.8,1484.7,108.4,2512.5,115.2,438.9,1574.2,2570.2,250.3,72.7,18.2
0.279203,485.7,41.1,1491.9,100.1,2495.8,120.9,437.6,1578.6,2569.5,249.8,73.1,19.2
0.281203,484.9,38.4,1501.9,87.7,2475.7,128.9,436.4,1583.2,2568.8,249.2,73.5,20.3
0.283203,483.8,37.2,1510.5,80.4,2455.0,137.5,435.1,1587.9,2568.1,248.6,73.9,21.2
0.285203,482.9,37.3,1518.8,80.8,2438.7,148.2,433.9,1592.7,2567.5,248,74.3,21.7
0.287203,482.8,38.8,1531.0,89.1,2429.3,165.3,432.8,1597.6,2566.9,247.4,74.8,22.1
0.289203,483.7,41.0,1551.3,103.4,2425.9,193.0,431.7,1602.5,2566.4,246.8,75.2,22.3
0.291203,485.5,42.9,1580.7,118.7,2428.4,232.2,430.6,1607.6,2565.9,246.1,75.7,22.4
0.293203,487.5,43.5,1615.9,127.3,2440.4,277.9,429.5,1612.8,2565.5,245.4,76.2,22.5
0.295203,489.1,42.6,1650.8,124.4,2468.5,314.5,428.5,1618.1,2565.1,244.7,76.8,22.7
0.297203,489.9,40.4,1679.5,111.1,2510.5,318.4,427.5,1623.4,2564.8,244,77.4,22.9
0.299203,489.8,37.1,1699.7,92.9,2550.3,286.1,426.5,1628.9,2564.5,243.2,78,23.1
0.301203,489.1,33.5,1711.4,74.8,2577.2,240.4,425.5,1634.4,2564.2,242.4,78.6,23.2
0.303203,488.2,30.5,1715.9,59.7,2591.1,201.2,424.6,1640,2564,241.6,79.1,23.2
0.305203,487.2,28.3,1715.8,48.6,2595.0,175.2,423.8,1645.7,2563.9,240.8,79.7,23
0.307203,485.9,26.6,1713.9,41.5,2591.1,161.3,422.9,1651.4,2563.8,239.9,80.2,22.6
0.309203,484.4,24.8,1712.3,37.6,2581.4,154.0,422.1,1657.3,2563.8,239,80.7,22
0.311203,482.7,23.0,1712.1,36.4,2568.6,146.2,421.4,1663.1,2563.8,238,81.1,21.3
0.313203,481.0,21.8,1713.8,38.1,2555.5,137.3,420.6,1669.1,2563.9,237,81.5,20.7
0.315203,479.3,21.3,1717.6,43.8,2543.1,131.4,419.9,1675.1,2564,236,81.9,20.1
0.317203,477.5,21.3,1723.3,54.2,2532.1,130.2,419.2,1681.2,2564.2,235,82.3,19.5
0.319203,475.4,21.7,1729.7,68.9,2524.3,132.8,418.6,1687.3,2564.4,233.9,82.6,18.8
0.321203,473.3,22.5,1735.2,84.4,2521.1,136.9,418,1693.5,2564.7,232.8,82.9,18.2
0.323203,471.0,23.8,1738.9,95.3,2522.7,140.5,417.4,1699.8,2565,231.7,83.1,17.8
0.325203,468.4,25.5,1741.9,98.5,2528.4,144.9,416.9,1706.1,2565.4,230.6,83.4,17.5
0.327203,465.5,27.2,1745.9,96.6,2538.6,155.2,416.4,1712.4,2565.9,229.4,83.6,17.4
0.329203,462.4,28.5,1751.9,92.9,2552.4,172.6,415.9,1718.8,2566.4,228.2,83.7,17.5
0.331203,459.3,29.4,1758.6,88.7,2566.0,189.0,415.5,1725.2,2567,227,83.8,17.6
0.333203,456.0,29.7,1764.0,84.1,2574.8,191.0,415.1,1731.6,2567.6,225.8,83.9,17.5
0.335203,452.4,29.5,1766.0,79.4,2577.3,175.7,414.7,1738.1,2568.3,224.6,83.9,17.1
0.337203,448.5,28.6,1763.6,75.2,2576.0,156.0,414.4,1744.6,2569,223.3,83.9,16.4
0.339203,444.5,27.0,1756.7,72.6,2572.6,144.0,414,1751.1,2569.8,222.1,83.9,15.5
0.341203,440.6,24.8,1745.7,71.4,2567.4,141.4,413.8,1757.6,2570.7,220.9,83.8,14.7
0.343203,437.0,22.9,1732.0,70.1,2562.1,141.1,413.5,1764.2,2571.6,219.6,83.7,14.1
0.345203,433.6,22.1,1718.4,67.2,2560.4,134.8,413.3,1770.7,2572.6,218.4,83.6,14
0.347203,430.4,22.2,1707.0,63.1,2561.4,122.9,413.1,1777.3,2573.6,217.1,83.3,14.3
0.349203,427.4,23.0,1698.3,59.4,2560.1,112.5,413,1783.9,2574.7,215.9,83,14.9
0.351203,424.8,24.5,1692.0,57.9,2553.1,108.5,412.9,1790.5,2575.9,214.7,82.6,15.6
0.353203,422.6,26.8,1687.4,58.7,2539.6,111.5,412.8,1797.1,2577.1,213.5,82.2,16.2
0.355203,420.5,29.2,1683.3,60.7,2521.9,118.4,412.7,1803.7,2578.4,212.3,81.7,16.6
0.357203,418.6,30.9,1679.1,63.0,2506.0,125.7,412.7,1810.2,2579.7,211.1,81.3,17.1
0.359203,417.0,32.0,1675.8,66.1,2497.6,131.6,412.7,1816.8,2581.1,210,80.8,17.6
0.361203,416.0,33.3,1674.8,70.5,2496.8,134.6,412.7,1823.3,2582.5,208.9,80.3,17.9
0.363203,415.2,35.0,1675.4,74.1,2498.3,133.6,412.8,1829.9,2584,207.8,79.9,17.9
