time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025422,577.2,47.9,1742.7,37.4,2961.1,2112.2,497.4,1753.2,3023.6,166,68,-169.2
0.027422,569.3,60.9,1730.6,38.4,3057.2,1864.4,497.3,1753.8,3024.1,166,69.2,-123.9
0.029422,560.1,78.7,1722.2,38.5,3078.6,218.5,497.2,1754.7,3025,165.9,70.2,-73.6
0.031422,554.5,93.5,1717.6,38.3,3088.4,185.1,497,1755.9,3026.3,165.9,71.2,-27.9
0.033422,552.2,102.7,1714.9,38.9,3098.2,158.5,496.8,1757.6,3027.9,165.9,72.2,3.5
0.035422,549.8,107.7,1714.0,40.8,3107.1,139.4,496.5,1759.5,3029.9,165.8,73.1,17.7
0.037422,544.9,109.9,1716.0,43.1,3114.5,131.0,496.1,1761.9,3032.2,165.8,74,21.1
0.039422,538.2,112.1,1722.4,45.5,3121.0,134.6,495.7,1764.5,3034.9,165.8,74.8,18.2
0.041422,532.7,115.2,1733.0,48.1,3124.5,148.2,495.3,1767.6,3037.9,165.7,75.5,13.4
0.043422,529.7,117.8,1747.1,50.0,3123.5,164.1,494.8,1771,3041.3,165.7,76.1,11.1
0.045422,527.5,119.8,1764.2,49.8,3117.5,176.8,494.2,1774.7,3045.1,165.6,76.6,11.2
0.047422,524.3,123.0,1782.1,47.7,3106.4,193.4,493.6,1778.8,3049.1,165.6,77,10.6
0.049422,519.3,127.3,1799.4,44.9,3089.7,220.1,492.9,1783.2,3053.5,165.5,77.4,9.7
0.051422,514.9,127.2,1812.6,43.3,3085.1,221.6,492.2,1787.9,3058.3,165.5,77.8,8.9
0.053422,512.6,117.9,1823.4,43.9,3100.5,183.3,491.4,1793,3063.4,165.4,78.3,8.7
0.055422,511.3,101.9,1833.9,46.1,3116.3,149.1,490.6,1798.4,3068.8,165.4,78.8,9.2
0.057422,509.9,87.8,1844.7,48.2,3126.3,139.7,489.8,1804.1,3074.5,165.3,79.3,10.1
0.059422,508.0,77.7,1858.7,50.0,3134.1,153.8,488.9,1810.1,3080.5,165.3,79.7,11.2
0.061422,505.6,71.2,1874.5,52.2,3141.1,188.5,487.9,1816.5,3086.9,165.2,79.9,12.3
0.063422,502.6,66.1,1887.6,55.7,3147.1,239.6,486.9,1823.2,3093.5,165.1,80.1,13.3
0.065422,499.0,61.5,1894.3,60.9,3147.6,300.0,485.9,1830.1,3100.4,165.1,80.1,14.3
0.067422,495.5,58.1,1895.8,66.2,3139.0,351.5,484.8,1837.4,3107.7,165,80.1,15.4
0.069422,491.9,55.0,1897.5,71.2,3126.2,391.2,483.7,1844.9,3115.2,164.9,80,16.5
0.071422,488.8,51.7,1904.0,76.9,3117.2,423.8,482.5,1852.7,3122.9,164.9,79.8,17.2
0.073422,486.0,48.3,1916.2,84.3,3116.3,452.3,481.3,1860.8,3131,164.8,79.6,17.2
0.075422,483.5,46.3,1931.5,92.7,3127.3,469.6,480,1869.2,3139.3,164.7,79.3,16.5
0.077422,481.3,46.8,1940.8,101.3,3145.0,488.6,478.7,1877.8,3147.9,164.7,78.9,15
0.079422,478.4,48.6,1940.2,112.7,3162.1,537.4,477.4,1886.7,3156.7,164.6,78.5,13.2
0.081422,474.4,50.4,1935.6,126.3,3166.5,614.6,476.1,1895.9,3165.7,164.5,77.8,11.5
0.083422,468.9,52.4,1937.3,143.5,3138.0,715.6,474.7,1905.2,3175,164.5,77.1,10.1
0.085422,460.7,56.6,1950.3,168.7,3064.6,784.0,473.2,1914.8,3184.5,164.5,76.2,9
0.087422,447.5,63.5,1965.2,198.6,3005.4,770.5,471.8,1924.7,3194.2,164.4,75.3,7.8
0.089422,428.2,71.3,1967.8,229.0,3021.5,717.7,470.3,1934.7,3204.1,164.4,74.5,6.9
0.091422,414.3,73.2,1957.9,271.4,3120.6,666.5,468.8,1944.9,3214.2,164.4,74,6.4
0.093422,414.7,69.6,1953.2,373.0,3249.2,582.3,467.2,1955.4,3224.4,164.4,73.8,6.6
0.095422,423.2,66.4,1972.5,537.5,3293.4,516.4,465.7,1966,3234.9,164.3,73.9,7.8
0.097422,430.8,63.5,1992.0,659.7,3274.5,522.7,464.1,1976.8,3245.5,164.3,74.1,9.9
0.099422,434.6,60.6,1978.2,640.6,3252.9,484.5,462.4,1987.8,3256.2,164.3,74.3,12.4
0.101422,436.1,57.5,1952.3,541.6,3253.0,420.0,460.8,1999,3267.1,164.4,74.5,14.8
0.103422,436.7,52.9,1933.7,448.3,3260.3,349.3,459.1,2010.2,3278.2,164.4,74.7,16.5
0.105422,436.7,47.0,1926.1,395.8,3266.1,278.6,457.5,2021.7,3289.3,164.4,74.8,17.6
0.107422,436.1,41.9,1928.2,396.3,3265.8,227.5,455.8,2033.2,3300.6,164.4,74.8,18.2
0.109422,434.2,38.4,1938.0,450.3,3259.1,203.6,454.1,2044.9,3311.9,164.5,74.8,18.7
0.111422,431.2,37.2,1957.1,534.0,3252.1,209.3,452.3,2056.7,3323.3,164.5,74.7,18.9
0.113422,428.0,37.4,1990.0,597.0,3253.7,235.4,450.6,2068.6,3334.9,164.6,74.7,19.2
0.115422,425.7,38.7,2032.2,613.7,3269.2,261.0,448.9,2080.6,3346.4,164.6,74.6,19.4
0.117422,424.7,40.7,2071.9,610.2,3290.5,264.2,447.1,2092.7,3358.1,164.7,74.5,19.5
0.119422,423.9,43.0,2111.8,605.6,3310.5,252.1,445.3,2104.8,3369.8,164.7,74.4,19.5
0.121422,422.6,45.0,2146.3,592.7,3327.8,240.3,443.6,2117,3381.5,164.8,74.4,19.3
0.123422,420.7,46.4,2168.0,568.5,3344.6,236.0,441.8,2129.3,3393.2,164.9,74.4,19.1
0.125422,418.0,47.4,2175.1,550.6,3362.0,243.6,440,2141.6,3404.9,164.9,74.3,18.7
0.127422,414.6,48.8,2177.1,557.1,3378.7,261.2,438.3,2153.9,3416.7,165,74.2,18.1
0.129422,409.7,51.2,2181.5,577.9,3393.3,280.8,436.5,2166.2,3428.4,165.1,74.2,17.4
0.131422,403.0,53.8,2183.4,578.1,3400.8,288.8,434.7,2178.5,3440.1,165.1,74.1,16.8
0.133422,394.2,56.2,2178.4,537.4,3404.1,279.2,433,2190.9,3451.8,165.2,74,16.5
0.135422,385.1,59.2,2173.5,461.6,3410.3,253.4,431.2,2203.2,3463.4,165.3,74,16.6
0.137422,378.7,62.8,2167.6,393.1,3419.9,236.7,429.5,2215.5,3475,165.4,74,16.8
0.139422,374.9,65.5,2156.8,358.6,3436.2,261.3,427.8,2227.8,3486.4,165.5,74.1,17.2
0.141422,373.5,67.0,2147.3,341.2,3463.9,339.1,426.1,2240,3497.8,165.6,74.1,17.8
0.143422,374.2,69.0,2145.8,312.7,3502.0,462.0,424.4,2252.2,3509.2,165.7,74.2,18.4
0.145422,376.1,71.1,2152.5,282.7,3532.5,609.0,422.7,2264.2,3520.4,165.8,74.3,19.2
0.147422,377.6,71.2,2163.1,273.2,3542.0,762.5,421,2276.3,3531.5,166,74.3,20.3
0.149422,378.3,69.3,2175.7,279.7,3552.5,946.1,419.3,2288.2,3542.4,166.1,74.4,21.4
0.151422,379.3,67.2,2187.1,284.3,3583.3,1126.5,417.7,2300,3553.3,166.2,74.5,22.4
0.153422,380.5,66.3,2196.2,278.7,3632.4,1280.9,416.1,2311.7,3563.9,166.4,74.6,23.1
0.155422,381.1,67.0,2202.4,269.6,3686.0,1414.4,414.5,2323.3,3574.5,166.5,74.7,23.5
0.157422,381.3,69.1,2206.7,262.2,3752.1,1559.1,413,2334.8,3584.8,166.7,74.8,23.7
0.159422,382.2,72.3,2208.4,255.5,3837.7,1692.7,411.4,2346.2,3595,166.9,74.9,23.8
0.161422,384.6,75.6,2206.3,251.0,3890.9,1739.5,409.9,2357.3,3605,167.1,75,23.9
0.163422,388.7,78.5,2200.9,251.9,3874.1,1690.0,408.5,2368.4,3614.7,167.3,75.1,24
0.165422,392.7,80.3,2193.4,257.5,3836.8,1615.2,407,2379.2,3624.3,167.5,75.2,24.2
0.167422,395.1,81.4,2184.3,267.8,3815.6,1584.4,405.6,2389.9,3633.7,167.7,75.3,24.5
0.169422,395.2,81.6,2176.6,288.3,3786.7,1606.9,404.3,2400.4,3642.8,167.9,75.4,24.8
0.171422,393.3,81.1,2176.4,316.7,3722.4,1642.1,402.9,2410.7,3651.7,168.1,75.4,24.9
0.173422,391.2,80.0,2183.4,336.2,3639.4,1647.7,401.6,2420.8,3660.3,168.4,75.4,24.9
0.175422,390.5,79.3,2193.9,333.2,3564.0,1586.5,400.4,2430.6,3668.7,168.6,75.4,24.6
0.177422,391.0,79.3,2208.1,327.1,3484.7,1389.4,399.2,2440.3,3676.8,168.9,75.4,24.1
0.179422,390.8,78.9,2234.6,355.0,3383.4,1029.1,398,2449.7,3684.6,169.1,75.4,23.5
0.181422,388.7,75.0,2289.2,439.4,3312.1,777.2,396.9,2458.9,3692.2,169.4,75.4,22.7
0.183422,387.0,66.7,2396.0,593.4,3255.3,764.2,395.8,2467.8,3699.5,169.6,75.4,21.8
0.185422,389.4,60.1,2542.6,682.5,3186.2,929.8,394.8,2476.5,3706.4,169.9,75.5,20.5
0.187422,395.9,55.7,2646.6,539.6,3170.2,1198.9,393.8,2484.9,3713.1,170.1,75.7,18.9
0.189422,405.4,52.2,2661.1,380.5,3195.0,1403.0,392.9,2493,3719.4,170.4,75.9,17.3
0.191422,415.2,50.6,2658.1,288.5,3189.6,1530.8,392,2500.9,3725.4,170.6,76.2,15.8
0.193422,423.6,51.4,2658.5,216.4,3362.6,1437.4,391.1,2508.4,3731.1,170.9,76.5,14.7
0.195422,429.2,54.1,2665.1,158.6,3392.0,3544.1,390.4,2515.7,3736.5,171.1,76.8,14.2
0.197422,432.8,57.3,2676.5,118.3,3462.4,5742.7,389.6,2522.7,3741.5,171.4,77,14
0.199422,434.7,58.8,2691.0,98.0,3624.2,527.3,389,2529.3,3746.1,171.6,77.2,14.1
0.201422,434.8,58.5,2706.8,93.6,3656.6,443.5,388.3,2535.7,3750.5,171.8,77.3,14.4
0.203422,433.5,59.2,2723.8,94.3,3679.4,403.9,387.8,2541.7,3754.4,172.1,77.3,14.7
0.205422,431.1,61.8,2740.0,92.6,3698.2,373.0,387.3,2547.4,3758,172.3,77.2,15.2
0.207422,428.2,64.8,2751.8,89.1,3715.0,344.6,386.8,2552.8,3761.2,172.5,77.1,16
0.209422,425.7,66.9,2760.4,87.5,3732.8,319.2,386.4,2557.8,3764.1,172.7,77.1,16.9
0.211422,424.3,67.9,2767.2,88.9,3749.4,301.5,386.1,2562.5,3766.5,173,77,17.7
0.213422,422.9,68.2,2774.5,91.8,3766.4,295.0,385.9,2566.8,3768.6,173.2,77,18.3
0.215422,420.4,67.9,2783.2,94.3,3787.2,302.5,385.6,2570.8,3770.3,173.4,76.9,18.7
0.217422,417.1,67.1,2790.3,95.3,3809.6,316.8,385.5,2574.5,3771.6,173.6,76.9,18.9
0.219422,413.8,66.2,2793.0,95.4,3828.6,324.8,385.4,2577.7,3772.5,173.8,76.8,19
0.221422,411.6,65.6,2790.8,96.0,3839.4,318.1,385.4,2580.7,3773,174.1,76.7,19
0.223422,410.9,65.0,2786.7,97.0,3846.8,301.2,385.4,2583.2,3773.2,174.3,76.6,18.9
0.225422,410.9,63.9,2783.9,98.8,3856.6,284.5,385.6,2585.4,3772.9,174.5,76.5,18.8
0.227422,410.8,62.5,2782.0,103.1,3871.2,271.1,385.7,2587.2,3772.2,174.7,76.3,18.5
0.229422,410.0,60.8,2779.5,112.7,3888.4,261.1,386,2588.6,3771.1,175,76.2,18.1
0.231422,408.6,59.1,2776.0,129.4,3903.6,258.3,386.3,2589.7,3769.7,175.2,76,17.8
0.233422,406.3,57.4,2769.3,157.7,3917.2,266.6,386.6,2590.4,3767.8,175.4,75.9,17.5
0.235422,403.2,56.2,2757.1,197.1,3928.1,286.5,387.1,2590.7,3765.5,175.7,75.7,17.4
0.237422,399.3,55.3,2738.2,243.1,3939.0,317.1,387.6,2590.6,3762.8,175.9,75.6,17.3
0.239422,395.4,54.8,2715.7,283.4,3955.6,355.8,388.1,2590.1,3759.7,176.1,75.4,17.2
0.241422,392.9,54.0,2697.6,299.5,3979.2,387.0,388.8,2589.3,3756.2,176.4,75.2,17.2
0.243422,392.6,52.6,2686.7,289.4,4001.6,396.0,389.5,2588.1,3752.3,176.6,75,17.2
0.245422,394.2,50.8,2679.7,266.1,4005.7,382.1,390.2,2586.5,3748,176.9,74.8,17.3
0.247422,396.1,49.1,2671.4,250.4,3990.4,360.8,391,2584.5,3743.3,177.2,74.5,17.5
0.249422,397.6,47.9,2658.3,251.7,3974.3,343.9,391.9,2582.1,3738.2,177.4,74.3,17.7
0.251422,398.6,47.0,2641.8,270.5,3972.4,347.4,392.9,2579.3,3732.7,177.7,74.1,18
0.253422,399.5,45.7,2627.3,298.5,3987.8,387.1,393.9,2576.2,3726.8,178,73.9,18.1
0.255422,400.5,44.1,2626.0,322.0,4036.3,493.5,395,2572.7,3720.6,178.3,73.7,18.2
0.257422,401.9,43.9,2641.5,332.1,4175.5,783.4,396.1,2568.8,3713.9,178.5,73.5,18.2
0.259422,404.0,46.3,2664.7,337.6,4274.0,191.8,397.3,2564.5,3706.9,178.8,73.3,18.2
0.261422,406.8,51.1,2687.4,348.4,4273.9,123.9,398.6,2559.9,3699.5,179.1,73.2,18.3
0.263422,410.0,56.6,2714.0,356.7,3932.9,3579.4,399.9,2554.9,3691.7,179.4,73,18.3
0.265422,412.8,61.7,2743.8,332.0,3316.9,4297.1,401.3,2549.5,3683.5,179.7,72.9,18.3
0.267422,415.0,66.3,2758.4,282.9,2776.6,5100.0,402.8,2543.7,3675,180,72.8,18.3
0.269422,416.5,71.5,2078.5,6256.8,2755.6,252.7,404.3,2537.6,3666.1,180.4,72.8,18.3
0.271422,416.7,75.5,1510.6,6493.3,2741.2,270.0,405.9,2531.2,3656.9,180.7,72.8,18.4
0.273422,415.7,77.0,1688.6,5434.5,2717.8,338.3,407.5,2524.4,3647.3,181,73,18.5
0.275422,414.3,77.2,1781.6,4672.2,2685.9,428.5,409.2,2517.2,3637.4,181.3,73.2,18.8
0.277422,413.7,79.0,1544.2,4732.6,2647.2,474.2,411,2509.7,3627.1,181.6,73.6,19.1
0.279422,414.6,84.3,2596.9,464.9,4302.6,69.7,412.8,2501.8,3616.5,181.9,73.9,19.5
0.281422,417.3,92.1,2546.1,439.3,4312.7,82.7,414.7,2493.7,3605.6,182.2,74.3,19.9
0.283422,420.6,99.0,2505.3,438.7,4323.8,91.3,416.6,2485.2,3594.4,182.5,74.5,20.2
0.285422,421.2,101.8,2480.1,473.1,4318.3,2237.3,418.6,2476.3,3582.9,182.9,74.8,20.4
0.287422,419.0,102.5,2454.4,513.4,4146.4,2181.4,420.6,2467.2,3571.1,183.2,75,20.5
0.289422,416.7,104.1,2409.3,516.5,4064.8,1977.0,422.7,2457.7,3558.9,183.5,75.1,20.7
0.291422,416.5,108.4,2358.5,480.4,4023.1,1668.9,424.8,2448,3546.5,183.8,75.3,20.9
0.293422,417.7,114.6,2322.2,447.8,4002.7,1466.8,427,2437.9,3533.9,184.1,75.4,21.2
0.295422,417.5,119.4,2316.7,455.0,3973.0,1559.0,429.2,2427.5,3520.9,184.4,75.5,21.9
0.297422,415.2,122.0,2340.3,488.2,3880.8,1848.6,431.5,2416.9,3507.7,184.6,75.6,22.7
0.299422,413.7,124.5,2373.0,501.6,3779.1,2047.2,433.8,2406,3494.3,184.9,75.7,23.6
0.301422,413.3,127.4,2391.7,485.8,3755.4,2070.3,436.2,2394.8,3480.6,185.2,75.7,24.5
0.303422,412.6,129.6,2401.4,465.9,3795.9,2048.0,438.6,2383.3,3466.7,185.5,75.7,25
0.305422,411.1,130.5,2410.3,453.2,3868.3,2066.7,441,2371.6,3452.6,185.7,75.8,25.3
0.307422,409.0,130.1,2419.5,437.3,3944.0,2125.5,443.5,2359.7,3438.2,186,75.8,25.4
0.309422,406.7,128.7,2419.8,407.4,3960.3,2102.6,446,2347.5,3423.7,186.3,75.8,25.3
0.311422,405.4,127.3,2406.3,371.7,3872.6,1838.5,448.6,2335.1,3408.9,186.5,75.8,25.2
0.313422,407.0,127.3,2389.7,330.6,3749.5,1376.0,451.2,2322.5,3394,186.8,75.8,25.2
0.315422,412.2,129.1,2389.9,279.8,3660.4,974.6,453.8,2309.6,3378.9,187,75.9,25.3
0.317422,419.7,130.9,2411.0,220.0,3602.8,703.3,456.5,2296.6,3363.7,187.3,76,25.5
0.319422,427.0,131.4,2442.4,162.2,3567.1,523.2,459.2,2283.3,3348.3,187.5,76,25.7
0.321422,430.2,131.2,2470.7,123.4,3544.9,416.0,461.9,2269.9,3332.8,187.7,76.1,25.8
0.323422,428.5,131.0,2493.5,102.0,3525.9,358.5,464.7,2256.3,3317.1,188,76.2,25.5
0.325422,423.8,129.2,2510.5,91.5,3505.8,339.1,467.5,2242.5,3301.4,188.2,76.3,25
0.327422,419.3,125.3,2519.5,87.3,3485.0,359.1,470.3,2228.6,3285.5,188.4,76.4,24.1
0.329422,416.1,119.6,2520.5,87.2,3452.3,427.8,473.1,2214.5,3269.5,188.7,76.5,23.1
0.331422,414.7,113.5,2514.0,90.7,3387.3,520.4,475.9,2200.3,3253.5,188.9,76.5,22.1
0.333422,415.7,108.9,2500.5,95.4,3282.9,553.8,478.8,2185.9,3237.4,189.1,76.6,21.2
0.335422,419.5,108.9,2482.5,93.6,3195.5,494.6,481.7,2171.5,3221.2,189.3,76.7,20.5
0.337422,425.3,114.0,2464.5,82.7,3147.5,428.6,484.6,2156.9,3205,189.5,76.7,19.9
0.339422,432.3,123.5,2450.3,69.0,3123.1,409.6,487.5,2142.3,3188.7,189.7,76.8,19.2
0.341422,438.7,136.1,2441.1,59.0,3103.0,438.4,490.5,2127.5,3172.4,189.9,76.9,18.5
0.343422,444.8,151.2,2433.7,54.4,3064.5,500.7,493.4,2112.7,3156.1,190.1,77,17.6
0.345422,450.4,165.2,2423.8,58.7,2982.7,574.9,496.3,2097.8,3139.8,190.3,77.1,16.3
0.347422,456.9,175.8,2404.4,79.2,2838.1,603.9,499.3,2082.8,3123.5,190.5,77.3,14.7
0.349422,465.3,183.2,2363.0,122.5,2694.3,502.1,502.3,2067.9,3107.2,190.6,77.4,13.1
0.351422,475.5,189.5,2301.2,145.9,2649.6,392.2,505.2,2052.8,3091,190.8,77.5,11.7
0.353422,488.1,192.6,2248.4,132.8,2663.4,365.5,508.2,2037.8,3074.8,190.9,77.7,10.8
0.355422,501.8,186.3,2216.2,118.6,2694.0,385.7,511.2,2022.7,3058.7,191.1,77.8,10.6
0.357422,515.4,173.0,2195.7,116.4,2716.5,420.6,514.1,2007.7,3042.6,191.2,78,10.9
0.359422,527.6,161.8,2179.1,131.5,2711.7,461.4,517.1,1992.6,3026.6,191.3,78.1,11.4
0.361422,537.6,161.6,2156.5,167.6,2678.9,490.4,520.1,1977.6,3010.7,191.4,78.3,12
0.363422,546.7,174.3,2109.6,228.4,2637.3,476.2,523,1962.5,2994.8,191.4,78.4,12.3
0.365422,554.1,191.1,2026.0,276.3,2619.2,408.7,525.9,1947.6,2979.1,191.5,78.5,12.5
0.367422,559.1,197.1,1924.6,263.6,2622.0,330.8,528.9,1932.6,2963.6,191.6,78.7,12.5
0.369422,562.3,186.3,1841.2,210.4,2624.4,279.1,531.8,1917.8,2948.1,191.6,78.8,12.6
0.371422,564.8,170.6,1790.4,163.9,2623.8,264.6,534.7,1903,2932.8,191.6,79,12.6
0.373422,567.7,157.5,1757.9,131.0,2630.9,274.0,537.6,1888.3,2917.6,191.6,79.2,12.8
0.375422,570.3,146.9,1736.3,109.6,2650.2,282.3,540.5,1873.6,2902.6,191.6,79.3,13.1
0.377422,572.2,136.5,1718.6,95.7,2676.3,273.1,543.3,1859.1,2887.8,191.6,79.4,13.6
0.379422,573.2,129.2,1700.9,88.6,2700.1,253.2,546.2,1844.7,2873.1,191.6,79.5,14
0.381422,573.3,130.9,1681.3,88.1,2715.2,241.4,549,1830.4,2858.7,191.5,79.5,14.4
0.383422,572.7,144.6,1656.3,90.2,2723.6,243.3,551.8,1816.2,2844.4,191.5,79.5,14.6
0.385422,571.9,169.3,1624.7,89.0,2730.4,255.0,554.5,1802.2,2830.4,191.4,79.4,14.6
0.387422,571.9,195.4,1594.3,81.7,2740.4,270.7,557.3,1788.3,2816.6,191.3,79.4,14.5
0.389422,572.3,218.2,1569.9,71.8,2753.5,289.3,560,1774.6,2803,191.2,79.4,14.3
0.391422,572.0,236.5,1554.1,64.6,2763.0,305.5,562.6,1761,2789.6,191.2,79.3,14.1
0.393422,570.7,254.1,1543.8,61.4,2767.0,316.0,565.3,1747.7,2776.5,191.1,79.3,13.9
0.395422,570.1,271.3,1536.9,62.8,2771.2,325.5,567.9,1734.5,2763.7,190.9,79.2,13.8
0.397422,572.6,284.6,1533.2,70.1,2778.5,342.7,570.5,1721.5,2751.1,190.8,79.1,13.7
0.399422,578.8,294.4,1532.3,85.8,2785.7,373.3,573,1708.7,2738.8,190.7,78.9,13.7
0.401422,586.7,307.0,1532.5,110.3,2786.3,414.0,575.5,1696.1,2726.7,190.6,78.8,13.7
0.403422,595.0,337.6,1529.1,141.7,2776.1,469.9,578,1683.7,2715,190.5,78.6,13.9
0.405422,602.4,397.4,1518.4,170.0,2752.5,544.0,580.4,1671.6,2703.5,190.4,78.4,14.4
0.407422,608.5,490.5,1501.7,192.9,2712.3,640.1,582.8,1659.7,2692.4,190.2,78.3,15.1
0.409422,611.2,614.0,1480.4,214.1,2650.8,747.0,585.1,1648.1,2681.5,190.1,78.2,15.9
0.411422,607.1,739.6,1458.2,230.7,2578.5,829.9,587.4,1636.7,2671,190,78.1,16.6
0.413422,595.5,845.8,1439.4,241.2,2506.3,895.0,589.6,1625.5,2660.8,189.9,78,17.1
0.415422,584.5,912.2,1430.9,250.3,2446.3,987.6,591.8,1614.7,2650.9,189.7,78,17.4
0.417422,581.9,964.6,1432.0,265.5,2386.5,1179.8,594,1604.1,2641.3,189.6,78,17.6
0.419422,593.4,1025.8,1439.4,286.7,2303.1,1534.3,596.1,1593.7,2632.1,189.5,77.9,17.6
0.421422,618.8,1053.8,1446.1,302.1,2191.5,1932.4,598.1,1583.7,2623.3,189.4,77.9,17.6
0.423422,644.9,996.2,1443.5,312.1,2110.7,2122.8,600.1,1574,2614.7,189.3,77.9,17.4
0.425422,660.7,887.4,1428.0,327.6,2119.8,2039.7,602.1,1564.5,2606.6,189.2,77.9,17
0.427422,668.6,767.3,1397.6,351.9,2161.6,1748.8,604,1555.4,2598.7,189.1,78,16.3
0.429422,673.8,674.1,1352.5,379.4,2175.9,1430.2,605.8,1546.6,2591.3,189,78.1,15.5
0.431422,679.3,626.4,1307.9,400.7,2177.7,1260.4,607.6,1538.1,2584.2,188.9,78.3,15
0.433422,680.4,594.8,1270.6,406.1,2181.2,1174.6,609.3,1529.9,2577.5,188.8,78.4,14.8
0.435422,675.4,564.7,1246.3,394.1,2185.4,1129.6,611,1522.1,2571.1,188.7,78.5,15.2
0.437422,669.9,532.1,1234.7,376.6,2203.1,1130.2,612.6,1514.5,2565.1,188.6,78.6,15.9
0.439422,669.6,500.5,1235.4,365.1,2261.3,1208.9,614.2,1507.4,2559.5,188.6,78.6,16.8
0.441422,673.4,475.5,1243.0,362.8,2361.9,1341.0,615.7,1500.5,2554.3,188.5,78.7,17.7
0.443422,676.8,455.9,1250.6,366.7,2474.9,1462.3,617.1,1494,2549.5,188.5,78.6,18.5
0.445422,678.1,440.1,1256.8,377.0,2564.3,1542.7,618.5,1487.9,2545,188.4,78.6,19
0.447422,678.2,425.4,1263.9,393.8,2611.5,1594.0,619.8,1482.1,2540.9,188.4,78.6,19.6
0.449422,679.0,406.3,1276.4,419.2,2633.4,1658.3,621,1476.7,2537.2,188.3,78.6,20.1
0.451422,681.3,381.0,1296.9,450.4,2646.2,1764.3,622.2,1471.6,2533.9,188.3,78.6,20.5
0.453422,683.3,349.3,1324.7,479.9,2663.6,1913.5,623.4,1466.9,2531,188.3,78.5,20.7
0.455422,682.8,315.3,1353.1,497.4,2692.5,2065.0,624.4,1462.5,2528.4,188.3,78.5,20.8
0.457422,680.2,286.8,1371.2,500.2,2725.0,2141.5,625.4,1458.5,2526.3,188.3,78.5,20.6
0.459422,676.8,263.4,1376.2,494.1,2743.9,2088.4,626.4,1454.9,2524.5,188.3,78.5,20.4
0.461422,674.6,246.1,1368.9,483.2,2737.4,1910.6,627.2,1451.6,2523.1,188.3,78.5,20.2
0.463422,674.3,233.1,1357.0,473.8,2710.6,1694.4,628.1,1448.8,2522.1,188.3,78.5,20.2
0.465422,675.4,225.4,1348.5,478.7,2666.5,1525.2,628.8,1446.2,2521.4,188.3,78.6,20.3
0.467422,676.4,221.3,1344.9,501.5,2609.7,1398.4,629.5,1444.1,2521.2,188.3,78.6,20.5
0.469422,676.7,218.2,1344.9,537.5,2556.1,1305.6,630.1,1442.3,2521.3,188.3,78.7,20.8
0.471422,677.0,214.9,1346.6,573.7,2525.4,1256.5,630.7,1441,2521.8,188.3,78.8,21
0.473422,676.8,210.8,1348.6,601.7,2516.1,1246.4,631.2,1439.9,2522.7,188.4,78.9,21
0.475422,673.9,205.3,1346.8,605.1,2522.9,1256.7,631.6,1439.3,2523.9,188.4,79,20.8
0.477422,666.0,196.2,1337.5,572.5,2546.0,1257.3,631.9,1439,2525.5,188.4,79.2,20.5
0.479422,653.9,182.8,1320.1,509.7,2591.0,1218.8,632.2,1439.1,2527.4,188.5,79.3,20.1
0.481422,642.2,169.0,1299.3,446.3,2647.4,1126.7,632.5,1439.6,2529.8,188.5,79.4,19.7
0.483422,632.6,158.5,1279.2,398.2,2698.5,1008.1,632.6,1440.5,2532.4,188.6,79.4,19.6
0.485422,626.8,154.2,1267.6,376.6,2726.4,936.2,632.8,1441.7,2535.4,188.6,79.5,19.7
0.487422,624.1,155.0,1267.9,379.1,2729.8,942.1,632.8,1443.2,2538.8,188.7,79.5,20
0.489422,623.3,158.3,1280.3,399.2,2711.2,1018.0,632.8,1445.2,2542.5,188.7,79.5,20.4
0.491422,622.9,161.2,1298.2,421.9,2681.6,1109.7,632.7,1447.5,2546.5,188.8,79.5,20.7
0.493422,621.5,161.3,1315.7,431.9,2656.9,1163.1,632.6,1450.2,2550.9,188.8,79.5,20.7
0.495422,618.4,158.3,1325.2,416.0,2656.9,1145.0,632.4,1453.2,2555.6,188.9,79.6,20.4
0.497422,614.8,155.9,1323.4,375.3,2684.0,1075.2,632.1,1456.5,2560.6,188.9,79.7,19.9
0.499422,612.1,159.6,1309.7,321.6,2723.6,990.9,631.8,1460.3,2565.9,189,79.8,19.2
0.501422,611.8,171.7,1289.8,273.6,2752.6,928.3,631.4,1464.3,2571.5,189,80,18.4
0.503422,613.4,190.3,1270.7,234.0,2765.5,887.8,630.9,1468.8,2577.4,189.1,80.2,17.5
0.505422,615.5,208.0,1260.3,206.3,2762.6,864.5,630.4,1473.5,2583.7,189.2,80.4,16.5
0.507422,617.5,219.7,1260.9,190.7,2744.2,853.2,629.9,1478.6,2590.2,189.2,80.7,15.3
0.509422,619.5,224.1,1274.7,189.1,2708.6,857.3,629.3,1484,2596.9,189.2,80.9,14.1
0.511422,620.6,221.6,1302.5,198.0,2663.5,881.0,628.6,1489.8,2604,189.3,81.1,12.9
0.513422,619.5,213.1,1342.1,204.7,2619.8,914.4,627.9,1495.8,2611.3,189.3,81.3,11.9
0.515422,615.6,200.7,1383.7,195.7,2593.3,927.6,627.1,1502.2,2618.8,189.3,81.4,11.2
0.517422,611.3,189.5,1414.8,175.0,2593.7,905.3,626.2,1508.9,2626.7,189.4,81.6,10.6
