time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025562,347.2,20.3,1564.4,2267.7,2661.0,1232.0,549.4,1945.1,3472.2,138.2,61.5,-200
0.027562,347.4,22.5,2496.5,1434.0,4341.0,3716.0,549.4,1945.2,3471.8,140.6,62.1,-200
0.029562,346.1,26.9,2309.8,1413.8,3577.9,1539.6,549.2,1945.4,3471,143.1,62.5,-200
0.031562,344.7,36.1,2207.2,1359.9,3586.7,1108.6,549,1945.7,3469.8,145.6,62.9,-200
0.033562,347.0,47.9,2166.8,1217.6,3601.0,925.1,548.7,1946,3468.4,148.3,63.2,-200
0.035562,352.8,56.6,2161.4,1025.5,3597.0,803.2,548.4,1946.4,3466.6,151,63.5,-200
0.037562,357.5,57.4,2142.0,887.3,3572.1,711.6,548.1,1947,3464.6,153.8,63.7,-200
0.039562,359.4,53.2,2107.4,882.7,3568.0,701.7,547.6,1947.5,3462.2,156.5,64,-203.3
0.041562,361.9,50.8,2085.6,1106.9,3595.4,830.1,547.1,1948.2,3459.5,159.3,64.3,-209.8
0.043562,366.5,54.3,2146.2,1855.4,3512.2,1114.5,546.6,1949,3456.4,162,64.8,-214.8
0.045562,205.8,2485.5,371.4,67.3,3148.1,701.8,546,1949.8,3453.1,164.7,65.3,-213.1
0.047562,378.1,92.0,424.5,1551.7,3121.5,265.5,545.3,1950.7,3449.5,167.3,66.1,-200
0.049562,148.9,1375.5,395.7,114.3,3126.8,115.3,544.6,1951.6,3445.6,169.8,67.1,-169
0.051562,415.5,103.4,3130.6,69.6,4608.5,268.6,543.9,1952.7,3441.3,172.2,68.2,-123.3
0.053562,422.1,83.9,3132.1,59.0,4595.0,198.0,543.1,1953.8,3436.8,174.4,69.3,-72.6
0.055562,422.2,69.6,3133.0,62.4,4588.7,172.6,542.2,1955,3431.9,176.5,70.4,-26.6
0.057562,421.1,58.8,3133.7,75.3,4592.4,169.0,541.3,1956.3,3426.8,178.5,71.4,5.1
0.059562,421.0,50.9,3134.5,95.4,4614.5,167.4,540.3,1957.6,3421.4,180.3,72.4,19.5
0.061562,421.5,47.0,3133.4,115.8,4649.4,148.1,539.3,1959,3415.7,182,73.1,22.8
0.063562,422.2,46.6,3125.0,127.0,4671.5,121.9,538.2,1960.5,3409.7,183.5,73.8,19.8
0.065562,150.2,1787.0,423.8,47.8,3107.1,128.5,537.1,1962.1,3403.5,184.8,74.4,15.2
0.067562,217.3,1849.6,426.4,49.9,3084.4,123.5,535.9,1963.7,3397,186,75,13.4
0.069562,428.9,52.6,3063.4,120.2,4680.1,84.6,534.7,1965.4,3390.2,187,75.4,14.9
0.071562,431.4,55.5,616.0,6151.4,3049.7,132.7,533.5,1967.1,3383.1,187.9,75.8,16.4
0.073562,434.5,59.3,2126.3,3336.9,3047.7,180.0,532.2,1968.9,3375.8,188.6,76.2,17.6
0.075562,440.1,67.2,2326.0,2044.1,3063.4,283.5,530.9,1970.8,3368.2,189.2,76.5,18.3
0.077562,453.9,80.8,2308.4,1348.1,3096.3,380.9,529.5,1972.8,3360.4,189.7,76.9,18
0.079562,486.5,94.6,2234.4,986.6,3105.9,382.9,528.1,1974.8,3352.4,190,77.4,16.3
0.081562,535.0,91.2,2165.7,753.2,3083.4,309.9,526.6,1976.8,3344.1,190.3,77.9,13.5
0.083562,576.8,69.7,2109.8,567.8,3050.6,214.7,525.1,1979,3335.6,190.5,78.5,10.1
0.085562,604.7,48.2,2068.6,407.3,3021.2,134.5,523.6,1981.1,3326.8,190.6,79.1,7.1
0.087562,620.2,36.1,2046.7,292.2,3002.4,87.9,522,1983.4,3317.9,190.6,79.6,5.1
0.089562,628.9,31.8,2041.2,223.9,2993.5,66.4,520.4,1985.7,3308.7,190.6,79.9,4
0.091562,635.2,33.9,2046.3,192.8,2991.8,57.6,518.8,1988,3299.3,190.5,80,3.4
0.093562,641.9,41.2,2055.1,189.3,2994.3,53.9,517.1,1990.4,3289.8,190.4,79.9,3.3
0.095562,651.7,52.2,2064.6,203.7,2997.5,52.1,515.5,1992.9,3280,190.2,79.7,3.9
0.097562,662.7,61.9,2073.0,224.6,2998.8,52.4,513.7,1995.4,3270.1,190,79.5,5.2
0.099562,670.9,67.5,2078.7,242.7,2997.7,55.6,512,1997.9,3259.9,189.8,79.4,7.7
0.101562,675.7,69.8,2081.3,255.0,2994.5,62.1,510.2,2000.5,3249.6,189.6,79.4,11.5
0.103562,678.9,71.0,2082.2,262.1,2990.0,70.3,508.5,2003.2,3239.2,189.3,79.4,15.6
0.105562,681.8,71.5,2083.0,267.4,2983.3,79.9,506.7,2005.8,3228.6,189.1,79.5,19.2
0.107562,684.2,71.4,2083.4,272.7,2973.7,90.2,504.8,2008.6,3217.8,188.8,79.7,21.6
0.109562,685.3,70.6,2081.6,277.7,2963.1,99.1,503,2011.3,3206.9,188.6,79.8,22.4
0.111562,685.2,69.1,2077.4,286.6,2957.5,105.0,501.2,2014.1,3195.9,188.4,79.9,22
0.113562,684.2,67.9,2072.8,304.2,2959.6,109.9,499.3,2017,3184.7,188.1,80,21.1
0.115562,683.8,66.5,2068.1,316.0,2965.2,117.1,497.4,2019.8,3173.4,187.9,80,20.2
0.117562,684.9,64.9,2065.2,292.4,2970.4,131.4,495.5,2022.7,3162.1,187.7,79.9,19.7
0.119562,686.0,64.0,2065.0,248.9,2978.4,165.0,493.6,2025.6,3150.6,187.4,79.8,19.8
0.121562,684.7,64.9,2066.9,224.5,3002.0,234.8,491.7,2028.6,3139,187.2,79.7,20
0.123562,681.6,66.0,2067.8,221.6,3047.0,317.0,489.8,2031.6,3127.3,187,79.7,20.3
0.125562,678.1,65.6,2063.8,232.0,3081.4,336.6,487.9,2034.6,3115.6,186.9,79.6,20.6
0.127562,674.7,64.3,2058.0,246.1,3071.7,281.2,486,2037.6,3103.8,186.7,79.6,20.7
0.129562,671.3,62.5,2056.3,238.7,3045.7,215.3,484.1,2040.7,3091.9,186.5,79.7,20.7
0.131562,666.3,60.8,2060.0,216.3,3028.6,176.5,482.2,2043.7,3080,186.4,79.8,20.7
0.133562,658.6,60.1,2066.3,204.1,3024.1,167.6,480.3,2046.8,3068,186.3,79.8,20.6
0.135562,648.2,59.3,2071.3,203.4,3027.1,177.2,478.4,2049.9,3056,186.2,79.9,20.5
0.137562,637.3,56.8,2069.5,201.6,3032.4,195.3,476.5,2053,3043.9,186.1,80.1,20.3
0.139562,627.1,52.8,2059.1,187.6,3038.5,222.0,474.7,2056.1,3031.9,186,80.2,20
0.141562,617.4,48.4,2046.0,167.9,3046.6,272.3,472.8,2059.3,3019.8,186,80.3,19.7
0.143562,608.0,45.0,2037.3,159.7,3053.4,360.0,470.9,2062.4,3007.7,186,80.4,19.3
0.145562,598.4,42.9,2033.4,172.7,3046.2,468.5,469.1,2065.5,2995.7,186,80.4,18.8
0.147562,589.8,41.4,2031.0,209.8,3014.0,502.0,467.3,2068.7,2983.6,186,80.3,18
0.149562,583.2,40.5,2023.5,263.1,2973.3,440.7,465.5,2071.8,2971.6,186,80.2,16.8
0.151562,578.4,40.5,2006.6,315.8,2941.0,364.6,463.7,2075,2959.6,186.1,79.9,15.3
0.153562,575.2,41.9,1983.1,357.4,2921.8,314.1,462,2078.1,2947.6,186.2,79.4,13.6
0.155562,573.5,46.2,1957.3,409.5,2914.7,289.9,460.2,2081.2,2935.7,186.3,79,12
0.157562,572.1,56.7,1929.9,510.8,2918.2,291.9,458.5,2084.4,2923.8,186.5,78.5,10.8
0.159562,566.2,77.4,1891.6,694.5,2925.2,316.7,456.9,2087.5,2912,186.7,78.2,9.7
0.161562,548.0,106.7,1841.2,932.2,2933.7,369.9,455.2,2090.6,2900.3,186.9,78.1,8.7
0.163562,520.2,126.0,1828.4,1049.3,2957.2,459.3,453.6,2093.7,2888.6,187.1,78.1,7.8
0.165562,496.1,123.8,1870.1,903.3,3007.5,546.5,452,2096.7,2877,187.4,78.3,7.5
0.167562,482.5,112.5,1889.8,693.9,3039.9,586.2,450.5,2099.8,2865.5,187.7,78.5,8
0.169562,474.4,103.5,1893.8,569.1,3042.5,658.7,449,2102.8,2854.1,188,78.7,9.6
0.171562,467.8,99.9,1900.6,499.2,3035.6,840.9,447.5,2105.8,2842.9,188.4,78.9,12.2
0.173562,460.5,100.1,1918.0,448.5,3030.6,1190.7,446.1,2108.8,2831.7,188.8,79,15.2
0.175562,451.9,100.7,1943.4,395.4,3020.8,1780.6,444.7,2111.8,2820.6,189.2,79,18.1
0.177562,443.7,98.8,1965.2,350.6,2909.3,2459.4,443.3,2114.7,2809.7,189.7,79,20.3
0.179562,436.9,95.4,1986.3,324.6,2675.8,2960.5,442,2117.6,2798.9,190.2,79,22
0.181562,430.2,91.9,2012.9,306.8,2367.1,3600.9,440.7,2120.5,2788.3,190.7,79,23.4
0.183562,424.0,88.3,1764.0,4686.6,2038.4,285.2,439.5,2123.3,2777.8,191.2,79,24.5
0.185562,419.0,83.4,592.6,5203.5,2053.0,263.2,438.3,2126.1,2767.5,191.8,79,25.4
0.187562,415.7,77.6,1546.5,3893.6,2053.7,251.3,437.2,2128.9,2757.3,192.4,79,26
0.189562,413.4,72.0,2021.9,2641.7,2046.1,253.3,436.1,2131.6,2747.3,193,78.9,26.3
0.191562,411.4,67.1,2030.4,266.9,2192.9,1852.0,435.1,2134.3,2737.5,193.6,79,26.4
0.193562,409.3,62.6,2004.4,282.1,2274.6,1386.1,434.2,2136.9,2727.8,194.3,79,26.2
0.195562,407.1,57.8,1968.9,287.9,2324.1,1093.8,433.2,2139.5,2718.4,195,79,25.8
0.197562,405.2,52.8,1935.0,286.4,2344.9,925.3,432.4,2142,2709.1,195.7,79,25.3
0.199562,404.3,48.6,1911.9,290.9,2336.7,824.1,431.6,2144.5,2700,196.5,79,24.6
0.201562,404.7,45.9,1905.3,308.4,2305.3,756.2,430.8,2147,2691.2,197.3,79.1,23.6
0.203562,406.2,44.6,1918.0,329.7,2268.7,733.1,430.1,2149.4,2682.5,198.1,79.1,22.5
0.205562,408.3,43.9,1949.4,327.5,2246.4,801.8,429.5,2151.7,2674.1,198.9,79.2,21.5
0.207562,410.2,43.0,1978.4,287.4,2271.6,980.1,428.9,2154,2665.8,199.8,79.2,20.8
0.209562,411.6,41.2,1992.3,256.1,2341.7,1151.4,428.4,2156.2,2657.8,200.7,79.3,20.5
0.211562,411.7,38.5,1998.3,253.7,2399.9,1206.3,427.9,2158.4,2650.1,201.6,79.4,20.4
0.213562,410.6,35.3,1998.7,271.1,2411.8,1173.5,427.5,2160.5,2642.5,202.5,79.5,20.5
0.215562,409.5,32.3,1991.6,295.9,2396.3,1099.7,427.2,2162.5,2635.2,203.5,79.6,20.5
0.217562,409.5,30.8,1974.1,316.7,2389.2,988.3,426.9,2164.5,2628.1,204.4,79.6,20.4
0.219562,410.9,31.0,1947.5,326.0,2413.7,846.8,426.7,2166.4,2621.3,205.4,79.7,20.1
0.221562,413.5,32.8,1921.1,321.0,2461.5,708.3,426.6,2168.2,2614.8,206.4,79.7,19.6
0.223562,416.7,35.5,1904.7,311.8,2507.8,605.1,426.5,2170,2608.4,207.4,79.8,19.1
0.225562,419.9,38.7,1898.6,303.5,2546.0,537.6,426.5,2171.7,2602.4,208.5,79.8,18.7
0.227562,422.7,42.2,1902.4,290.8,2578.1,498.0,426.6,2173.3,2596.6,209.5,79.8,18.7
0.229562,425.4,45.7,1915.2,269.9,2611.4,469.6,426.7,2174.9,2591,210.5,79.9,19.2
0.231562,427.8,48.4,1935.7,251.5,2648.2,458.4,426.8,2176.4,2585.7,211.6,80,20.3
0.233562,428.6,48.2,1963.0,258.1,2688.5,501.9,427.1,2177.8,2580.7,212.6,80.1,21.4
0.235562,427.3,44.3,1998.3,308.8,2730.2,637.2,427.4,2179.1,2575.9,213.6,80.2,22
0.237562,426.6,38.7,2021.0,399.4,2726.1,764.9,427.8,2180.4,2571.5,214.7,80.4,21.6
0.239562,429.1,34.9,2002.8,430.6,2716.0,638.8,428.2,2181.6,2567.2,215.7,80.6,19.7
0.241562,436.0,33.8,2002.7,374.3,2774.8,453.2,428.7,2182.7,2563.3,216.7,80.9,16.6
0.243562,445.8,34.3,2042.0,345.9,2838.9,327.4,429.3,2183.7,2559.6,217.8,81.2,13
0.245562,456.0,35.0,2132.8,366.8,2889.7,255.2,430,2184.6,2556.2,218.8,81.6,10
0.247562,462.7,34.4,2285.7,390.4,2927.7,239.9,430.7,2185.5,2553.1,219.8,82.1,8.1
0.249562,464.4,31.5,2443.5,340.8,2964.8,261.2,431.4,2186.2,2550.3,220.8,82.6,7.7
0.251562,462.4,28.3,2535.4,274.2,2993.8,287.2,432.3,2186.9,2547.7,221.8,83,8.3
0.253562,459.0,26.4,2578.2,251.1,2998.6,316.5,433.2,2187.5,2545.4,222.9,83.3,9.4
0.255562,455.4,25.6,2605.5,262.4,2978.9,358.7,434.1,2188,2543.4,223.9,83.5,10.8
0.257562,452.8,25.4,2631.6,294.5,2938.1,410.7,435.2,2188.5,2541.7,224.9,83.6,11.9
0.259562,451.5,25.4,2669.3,331.9,2876.2,476.5,436.3,2188.8,2540.2,226,83.7,13.1
0.261562,451.4,25.5,2725.3,303.0,2796.3,629.5,437.4,2189.1,2539,227,83.7,14.4
0.263562,452.0,26.0,2736.4,242.6,2767.7,836.7,438.6,2189.2,2538.1,228.1,83.6,15.8
0.265562,452.8,27.2,2738.1,225.8,2742.1,1026.1,439.9,2189.3,2537.4,229.2,83.4,16.9
0.267562,453.4,28.7,2661.1,1155.9,2746.7,240.8,441.2,2189.3,2537.1,230.3,83.1,17.4
0.269562,453.4,30.0,2484.2,1155.2,2770.7,260.9,442.6,2189.2,2537,231.5,82.8,17
0.271562,453.0,30.9,2294.4,1031.3,2793.8,256.5,444.1,2189,2537.1,232.6,82.4,15.9
0.273562,452.3,32.1,2182.3,912.2,2797.7,257.3,445.6,2188.7,2537.6,233.8,82,14.6
0.275562,452.0,35.4,2129.1,878.3,2780.6,289.2,447.2,2188.3,2538.3,235,81.5,13.5
0.277562,452.0,42.5,2108.1,960.6,2737.9,352.7,448.8,2187.8,2539.2,236.3,81,13
0.279562,451.7,54.0,2095.9,1162.7,2666.8,418.9,450.5,2187.3,2540.5,237.5,80.6,13.3
0.281562,450.4,70.2,2061.5,1453.9,2588.4,443.3,452.2,2186.6,2541.9,238.8,80.2,14.2
0.283562,447.8,89.0,1987.5,1673.1,2542.6,437.8,454,2185.9,2543.7,240.1,79.8,15.2
0.285562,444.9,109.7,1924.9,1703.8,2531.0,441.8,455.9,2185,2545.6,241.4,79.4,16.2
0.287562,444.1,130.8,1939.3,1596.2,2529.0,463.9,457.8,2184.1,2547.9,242.8,79,16.9
0.289562,446.1,149.3,1969.1,1468.3,2505.1,480.6,459.7,2183.1,2550.3,244.1,78.6,17.2
0.291562,450.2,160.0,1994.2,1400.7,2464.4,482.9,461.7,2182,2553,245.4,78.2,17.3
0.293562,455.8,160.3,2050.2,1291.0,2439.9,505.3,463.7,2180.8,2556,246.8,77.7,17.3
0.295562,463.2,150.8,2119.4,1065.0,2440.1,586.8,465.8,2179.5,2559.2,248.2,77.3,17.2
0.297562,471.6,133.3,2118.4,822.5,2480.6,671.9,467.9,2178.1,2562.6,249.5,76.8,16.9
0.299562,479.7,112.9,2072.5,707.8,2511.5,653.3,470.1,2176.6,2566.2,250.9,76.5,16.3
0.301562,486.0,97.0,2028.4,653.1,2516.3,601.8,472.3,2175,2570.1,252.3,76.1,15.5
0.303562,489.6,89.8,2005.5,617.4,2513.3,575.9,474.6,2173.4,2574.1,253.6,75.9,14.6
0.305562,490.5,90.6,2007.7,596.2,2497.9,596.9,476.8,2171.6,2578.4,255,75.8,13.8
0.307562,487.7,98.3,2036.6,590.2,2451.2,675.5,479.2,2169.8,2582.9,256.4,75.8,13.4
0.309562,479.8,111.1,2103.6,563.4,2350.6,832.0,481.5,2167.8,2587.6,257.7,75.9,13.5
0.311562,468.0,124.0,2154.7,429.9,2253.6,1091.2,483.9,2165.8,2592.4,259.1,76,13.9
0.313562,456.7,129.9,2164.7,356.9,2205.5,1218.7,486.3,2163.7,2597.5,260.4,76.2,14.5
0.315562,449.5,128.4,2172.9,1255.6,2175.0,328.4,488.8,2161.5,2602.8,261.8,76.4,15.1
0.317562,447.5,124.6,2149.0,1288.4,2186.7,313.6,491.3,2159.2,2608.2,263.1,76.6,15.7
0.319562,448.0,122.5,2140.8,1334.2,2194.7,301.9,493.8,2156.9,2613.8,264.5,76.7,16.2
0.321562,449.0,122.3,2167.8,1356.4,2196.4,295.0,496.3,2154.4,2619.5,265.8,76.8,16.9
0.323562,450.1,122.3,2193.5,292.4,2228.6,1320.5,498.9,2151.9,2625.5,267.2,76.9,17.5
0.325562,451.6,121.3,2188.7,289.9,2297.5,1225.1,501.4,2149.2,2631.5,268.5,76.9,18
0.327562,454.0,119.6,2184.8,282.8,2342.6,1138.7,504,2146.5,2637.8,269.8,76.9,18.4
0.329562,456.8,119.8,2185.0,262.2,2361.6,1167.5,506.6,2143.8,2644.1,271.2,76.8,18.3
0.331562,458.7,125.8,2188.5,223.0,2368.5,1420.1,509.3,2140.9,2650.6,272.5,76.8,18.1
0.333562,458.8,139.8,2191.4,181.0,2385.3,1944.6,511.9,2138,2657.3,273.8,76.9,17.7
0.335562,457.6,162.4,2196.3,151.1,2494.1,2754.5,514.6,2134.9,2664,275.2,77,17.4
0.337562,454.8,184.3,2209.7,144.1,2660.9,3431.4,517.2,2131.8,2670.9,276.5,77.2,17.3
0.339562,448.0,193.5,2195.9,3611.2,2236.2,163.4,519.9,2128.7,2677.9,277.8,77.4,17.6
0.341562,439.3,189.2,1894.5,2417.0,2276.3,200.6,522.6,2125.4,2685,279.1,77.5,18.3
0.343562,434.9,184.7,1894.4,1881.1,2313.3,230.9,525.2,2122.1,2692.1,280.4,77.5,18.9
0.345562,438.2,189.4,1985.1,1798.3,2324.7,247.3,527.9,2118.7,2699.4,281.6,77.4,19.1
0.347562,452.0,200.7,2184.2,2108.6,2310.8,238.8,530.6,2115.2,2706.8,282.9,77.3,18.7
0.349562,476.2,203.0,2303.7,203.9,2592.8,2653.8,533.3,2111.7,2714.2,284.1,77.1,17.3
0.351562,504.3,183.7,2316.1,168.9,3103.5,2527.1,536,2108.1,2721.7,285.3,76.8,15.2
0.353562,527.0,152.2,2334.3,141.8,3229.1,2098.8,538.6,2104.4,2729.2,286.4,76.6,12.7
0.355562,543.1,121.1,2346.2,121.1,3192.8,1739.0,541.3,2100.7,2736.8,287.5,76.5,10.5
0.357562,552.0,98.1,2349.0,107.7,3145.8,1437.9,544,2096.9,2744.5,288.5,76.5,9
0.359562,556.1,82.8,2347.4,98.2,3148.2,1198.6,546.6,2093,2752.2,289.5,76.6,8.3
0.361562,558.0,74.1,2346.2,88.1,3205.2,995.8,549.2,2089.1,2759.9,290.4,76.8,8.2
0.363562,559.3,69.8,2346.7,76.4,3276.6,839.6,551.9,2085.1,2767.7,291.3,77.1,8.5
0.365562,561.1,66.1,2348.0,64.1,3331.6,727.6,554.5,2081.1,2775.4,292.1,77.5,8.9
0.367562,564.1,61.8,2350.0,54.6,3352.0,637.5,557,2077,2783.2,292.8,77.9,9.3
0.369562,569.0,57.7,2352.6,50.7,3340.5,572.1,559.6,2072.8,2791,293.5,78.3,9.8
0.371562,575.7,55.2,2354.1,54.3,3306.1,545.1,562.1,2068.6,2798.8,294.1,78.7,10.4
0.373562,583.5,54.1,2352.2,65.1,3262.6,543.7,564.6,2064.4,2806.6,294.6,79.1,11.1
0.375562,592.3,52.6,2345.1,84.2,3223.4,554.5,567.1,2060.1,2814.3,295,79.4,11.9
0.377562,600.9,49.3,2331.8,111.2,3201.6,572.2,569.6,2055.7,2822.1,295.3,79.6,12.6
0.379562,608.1,44.4,2313.2,141.3,3192.8,578.6,572,2051.3,2829.8,295.6,79.9,13.4
0.381562,613.1,39.5,2294.5,165.1,3185.8,557.1,574.4,2046.9,2837.5,295.8,80.1,14.4
0.383562,615.8,35.9,2281.1,178.8,3174.0,523.2,576.8,2042.4,2845.1,295.9,80.4,15.3
0.385562,616.8,33.6,2270.5,184.6,3154.8,490.1,579.1,2037.9,2852.7,295.9,80.6,16.1
0.387562,616.5,32.2,2261.2,181.8,3134.3,458.8,581.4,2033.3,2860.2,295.8,80.8,16.6
0.389562,615.9,31.7,2255.3,172.9,3117.8,425.5,583.6,2028.7,2867.7,295.7,80.9,16.8
0.391562,615.1,32.0,2253.6,162.4,3102.9,394.1,585.9,2024.1,2875.1,295.5,80.9,16.8
0.393562,614.3,33.3,2252.7,155.1,3085.0,373.8,588,2019.5,2882.4,295.2,80.8,16.6
0.395562,613.2,35.7,2248.4,153.3,3061.6,366.1,590.2,2014.8,2889.6,294.9,80.6,16.4
0.397562,612.2,39.4,2236.9,158.0,3034.2,370.2,592.2,2010.1,2896.8,294.5,80.4,16.4
0.399562,611.7,43.4,2216.5,165.8,3003.9,382.8,594.3,2005.3,2903.8,294,80.2,16.7
0.401562,611.9,46.5,2191.0,170.2,2972.8,400.7,596.3,2000.5,2910.8,293.5,79.9,17
0.403562,612.2,48.3,2170.0,168.8,2945.8,422.2,598.2,1995.8,2917.6,292.9,79.7,17.4
0.405562,612.1,50.1,2157.5,165.2,2929.0,446.3,600.1,1991,2924.4,292.3,79.5,17.7
0.407562,611.1,53.2,2153.4,162.7,2936.2,470.6,602,1986.1,2931,291.6,79.3,17.7
0.409562,609.2,58.6,2150.8,162.0,2969.1,494.4,603.7,1981.3,2937.5,290.9,79.1,17.3
0.411562,607.4,67.9,2141.5,161.9,3010.4,502.5,605.5,1976.4,2943.9,290.2,78.8,16.6
0.413562,606.6,82.8,2121.2,158.9,3039.6,474.0,607.2,1971.6,2950.1,289.4,78.5,15.8
0.415562,607.3,105.1,2089.7,148.5,3050.2,412.6,608.8,1966.7,2956.2,288.6,78.2,15
0.417562,608.7,129.5,2054.6,130.6,3044.7,343.9,610.3,1961.8,2962.2,287.7,78,14.4
0.419562,608.1,145.1,2022.6,109.1,3031.7,284.0,611.9,1956.9,2968,286.9,77.9,14
0.421562,603.5,142.9,1996.4,88.3,3019.7,236.7,613.3,1952,2973.7,286,77.9,13.6
0.423562,596.5,126.2,1977.5,72.5,3014.2,203.5,614.7,1947.1,2979.2,285.1,78.1,13.2
0.425562,589.0,104.0,1962.9,62.6,3014.6,181.9,616,1942.2,2984.5,284.2,78.3,13
0.427562,582.3,84.4,1950.1,59.2,3018.0,171.6,617.3,1937.4,2989.7,283.3,78.6,12.8
0.429562,575.9,69.7,1936.0,60.8,3021.2,170.6,618.5,1932.5,2994.7,282.3,78.8,12.7
0.431562,568.9,59.8,1919.0,66.0,3023.5,178.1,619.6,1927.6,2999.5,281.4,79,12.8
0.433562,560.9,53.8,1900.8,73.8,3026.5,194.8,620.7,1922.7,3004.2,280.4,79.1,13
0.435562,551.2,50.5,1881.9,85.6,3034.7,225.8,621.7,1917.9,3008.7,279.4,79.1,13.1
0.437562,541.2,50.0,1863.6,106.0,3055.1,270.3,622.6,1913,3013,278.4,79.1,13
0.439562,533.8,52.7,1846.5,142.6,3087.3,312.1,623.5,1908.2,3017.1,277.4,79.1,12.8
0.441562,531.6,57.1,1831.7,199.7,3109.6,333.6,624.3,1903.4,3021,276.3,79,12.3
0.443562,533.2,60.1,1820.9,261.7,3112.1,338.9,625,1898.6,3024.8,275.2,79,11.8
0.445562,534.9,59.7,1810.8,313.1,3106.5,327.8,625.7,1893.8,3028.3,274.1,79,11.5
0.447562,534.8,55.6,1797.7,348.9,3102.1,298.6,626.3,1889,3031.6,273,79,11.7
0.449562,533.4,49.2,1780.0,380.5,3099.1,262.1,626.8,1884.3,3034.8,271.8,79.1,12.5
0.451562,532.3,42.2,1758.4,416.8,3093.7,231.8,627.3,1879.6,3037.7,270.6,79.2,13.9
0.453562,532.1,36.3,1737.8,451.6,3085.3,213.9,627.7,1874.9,3040.5,269.3,79.3,15.4
0.455562,532.1,31.2,1726.4,464.5,3076.7,205.3,628,1870.3,3043,268,79.5,16.8
0.457562,531.6,27.2,1731.3,431.3,3072.4,200.5,628.3,1865.7,3045.3,266.6,79.6,17.7
0.459562,530.1,24.1,1743.8,367.4,3073.1,194.7,628.5,1861.1,3047.4,265.2,79.8,18.2
0.461562,527.9,22.2,1753.4,314.0,3077.7,193.1,628.6,1856.6,3049.3,263.8,79.9,18.3
0.463562,525.6,21.3,1759.0,292.4,3086.2,202.5,628.6,1852.1,3051,262.3,80,18.2
0.465562,523.9,21.2,1761.1,299.2,3095.4,222.2,628.6,1847.6,3052.5,260.7,80,17.9
0.467562,522.8,21.7,1757.5,322.5,3096.7,241.5,628.5,1843.2,3053.8,259.1,80.1,17.5
0.469562,521.4,22.2,1748.5,341.9,3088.8,251.4,628.3,1838.8,3054.9,257.4,80.1,16.9
