time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025177,1048.3,612.8,1684.8,286.8,2835.6,339.9,782.5,1626.7,2729.6,0,52.2,-200
0.027177,1044.3,700.6,1689.0,299.2,2804.5,336.8,782.3,1627,2729.7,0,54,-200
0.029177,971.9,931.8,1673.2,314.3,2763.3,357.8,782,1627.4,2729.9,0,56.1,-200
0.031177,751.9,1223.5,1653.5,298.9,2713.4,373.3,781.7,1628.1,2730.2,172.7,58.3,-200
0.033177,547.5,1187.7,1651.4,262.2,2674.2,360.3,781.2,1628.9,2730.6,172.4,60.6,-200
0.035177,494.3,1001.7,1658.6,219.7,2653.2,366.6,780.6,1630,2731.1,172.1,62.6,-200
0.037177,477.9,886.4,1668.5,180.8,2637.2,423.5,779.8,1631.2,2731.7,171.8,64.3,-200
0.039177,452.4,887.0,1677.7,156.2,2615.6,556.5,779,1632.6,2732.4,171.5,65.8,-203.3
0.041177,402.5,981.5,1684.0,147.5,2575.9,775.1,778.1,1634.3,2733.1,171.2,67,-209.8
0.043177,325.3,1110.1,1688.4,150.1,2513.6,1039.0,777,1636,2734,171,67.8,-214.8
0.045177,311.5,1132.9,1692.3,160.6,2465.8,1223.3,775.9,1638,2734.9,170.7,68.5,-213.1
0.047177,413.7,998.3,1698.4,186.6,2442.6,1360.2,774.6,1640.2,2735.9,170.5,69,-200
0.049177,527.9,848.6,1714.8,234.6,2415.1,1667.2,773.2,1642.5,2737.1,170.2,69.4,-168.9
0.051177,626.1,750.0,1744.3,257.4,2319.6,2510.1,771.8,1645,2738.2,170,69.7,-123
0.053177,715.7,695.1,1303.5,6326.7,1760.5,206.9,770.2,1647.8,2739.5,169.8,70.1,-72.2
0.055177,800.1,642.2,1759.6,151.0,3371.3,752.3,768.5,1650.6,2740.9,169.7,70.5,-26.3
0.057177,855.0,573.9,1759.3,123.6,3231.0,615.0,766.7,1653.7,2742.3,169.6,71,4.9
0.059177,894.0,520.4,1765.1,117.7,3106.0,500.5,764.8,1656.9,2743.8,169.5,71.5,18.2
0.061177,930.2,480.9,1775.4,126.4,3014.4,446.8,762.9,1660.3,2745.5,169.4,71.9,20
0.063177,964.3,470.3,1788.8,149.1,2942.8,470.1,760.8,1663.9,2747.1,169.4,72.4,15.4
0.065177,988.9,490.3,1802.4,173.7,2888.1,542.4,758.6,1667.7,2748.9,169.4,72.9,9.2
0.067177,997.4,521.7,1813.9,183.7,2845.5,587.9,756.3,1671.6,2750.8,169.5,73.3,6.5
0.069177,988.4,547.5,1822.0,175.6,2812.3,547.2,753.9,1675.6,2752.7,169.6,73.7,7.5
0.071177,968.5,566.8,1829.2,159.8,2788.7,472.5,751.4,1679.9,2754.7,169.7,74.2,8.9
0.073177,945.2,573.0,1837.6,141.1,2773.6,424.7,748.9,1684.3,2756.7,169.9,74.6,10.4
0.075177,927.8,560.4,1847.1,121.7,2768.1,421.2,746.2,1688.8,2758.9,170.1,75,11.5
0.077177,914.8,540.9,1857.0,104.6,2774.3,463.6,743.4,1693.5,2761.1,170.3,75.5,12
0.079177,907.7,518.9,1866.2,93.3,2793.5,547.6,740.6,1698.4,2763.4,170.5,75.9,11.7
0.081177,914.2,491.3,1875.4,88.1,2822.0,634.1,737.6,1703.4,2765.8,170.8,76.3,10.6
0.083177,928.8,458.8,1885.7,88.3,2848.7,684.1,734.6,1708.6,2768.2,171.1,76.6,9.3
0.085177,936.6,437.9,1895.4,93.9,2863.2,705.3,731.5,1713.9,2770.7,171.4,76.9,8.1
0.087177,933.6,444.0,1903.3,104.4,2872.8,745.9,728.3,1719.3,2773.2,171.7,77.1,7.3
0.089177,925.4,476.8,1909.5,117.2,2883.1,824.7,725.1,1724.9,2775.9,172,77.3,6.9
0.091177,924.8,516.3,1915.6,125.7,2890.9,887.9,721.7,1730.6,2778.5,172.4,77.4,6.8
0.093177,940.1,543.0,1921.6,126.2,2891.4,845.1,718.3,1736.4,2781.3,172.7,77.6,6.8
0.095177,962.5,551.3,1926.0,121.2,2889.7,719.1,714.8,1742.4,2784.1,173.1,77.7,7.1
0.097177,981.7,548.0,1930.2,114.1,2893.8,587.1,711.2,1748.5,2787,173.4,77.9,7.7
0.099177,992.7,534.3,1936.2,107.2,2903.8,478.9,707.5,1754.7,2789.9,173.8,78.1,8.9
0.101177,994.9,512.3,1944.4,100.7,2916.0,401.0,703.8,1761,2792.8,174.2,78.2,10.5
0.103177,987.8,502.6,1951.2,95.4,2929.8,363.3,700,1767.4,2795.9,174.6,78.4,12.3
0.105177,972.4,529.1,1951.4,93.3,2944.1,373.5,696.1,1774,2798.9,174.9,78.5,13.9
0.107177,946.3,584.6,1945.9,92.6,2957.6,413.7,692.2,1780.6,2802.1,175.3,78.6,14.8
0.109177,908.6,636.0,1938.5,89.1,2966.5,442.7,688.2,1787.4,2805.2,175.7,78.7,14.9
0.111177,862.4,662.5,1931.8,81.4,2971.3,424.7,684.2,1794.2,2808.4,176.1,78.7,14.5
0.113177,804.2,675.2,1926.2,72.3,2977.1,371.8,680,1801.2,2811.7,176.5,78.6,13.8
0.115177,736.0,686.0,1922.2,65.9,2981.9,325.4,675.9,1808.2,2815,176.9,78.5,13
0.117177,654.2,693.9,1920.3,63.1,2980.1,302.6,671.7,1815.3,2818.3,177.3,78.2,12.2
0.119177,551.5,670.3,1919.3,64.7,2967.3,307.3,667.4,1822.5,2821.7,177.8,77.9,11.4
0.121177,451.1,545.4,1916.9,71.0,2942.0,334.5,663.1,1829.8,2825.1,178.2,77.6,10.5
0.123177,395.0,371.9,1910.1,81.0,2909.1,363.6,658.7,1837.2,2828.5,178.7,77.4,9.5
0.125177,366.9,232.7,1898.9,91.7,2892.1,362.9,654.3,1844.6,2832,179.1,77.4,8.7
0.127177,353.8,145.7,1880.1,104.8,2904.1,330.7,649.8,1852.1,2835.5,179.6,77.5,8.3
0.129177,352.3,107.0,1844.8,115.2,2928.0,275.9,645.3,1859.6,2839,180.1,77.7,8.1
0.131177,358.4,94.0,1810.0,103.8,2939.4,216.8,640.8,1867.2,2842.5,180.6,77.9,8.1
0.133177,367.1,90.9,1801.3,87.2,2933.5,191.2,636.2,1874.9,2846.1,181.1,78,8.3
0.135177,371.9,89.9,1803.6,88.3,2925.5,209.2,631.6,1882.6,2849.7,181.7,78.1,8.8
0.137177,372.1,89.6,1801.8,111.0,2921.8,255.2,627,1890.3,2853.3,182.2,78.2,9.9
0.139177,370.5,89.0,1791.8,152.7,2915.3,290.9,622.3,1898.1,2856.9,182.8,78.1,11.7
0.141177,370.3,88.5,1779.7,191.7,2903.9,284.4,617.6,1905.9,2860.5,183.3,78.1,14.2
0.143177,371.8,87.8,1777.6,189.8,2894.1,250.8,612.9,1913.8,2864.2,183.9,78,17
0.145177,372.2,85.0,1781.7,151.6,2889.0,216.5,608.2,1921.7,2867.8,184.5,77.8,19.4
0.147177,371.4,80.9,1781.3,113.8,2886.2,190.5,603.4,1929.5,2871.5,185.1,77.7,20.9
0.149177,371.4,78.9,1775.7,89.9,2885.5,175.9,598.6,1937.5,2875.1,185.8,77.5,21.3
0.151177,374.0,81.9,1766.9,75.8,2885.0,172.0,593.9,1945.4,2878.8,186.4,77.4,20.8
0.153177,379.4,89.9,1758.2,66.0,2881.4,173.4,589.1,1953.3,2882.5,187,77.3,20
0.155177,385.3,100.2,1753.8,59.2,2873.0,174.3,584.3,1961.2,2886.1,187.7,77.2,19.3
0.157177,390.2,110.1,1752.5,54.6,2862.1,170.6,579.4,1969.2,2889.8,188.3,77.2,19.1
0.159177,392.5,115.3,1750.4,51.6,2853.5,162.1,574.6,1977.1,2893.4,189,77.3,19.5
0.161177,392.3,113.2,1745.2,49.2,2848.7,149.1,569.8,1985,2897,189.6,77.4,20.4
0.163177,391.6,106.3,1737.4,46.0,2846.4,129.9,565,1992.9,2900.7,190.3,77.5,21.4
0.165177,392.4,100.0,1730.3,41.9,2846.9,109.1,560.2,2000.8,2904.3,191,77.6,22.3
0.167177,394.9,96.2,1725.6,38.0,2849.8,92.1,555.4,2008.6,2907.9,191.6,77.7,22.9
0.169177,397.8,94.4,1723.4,35.8,2853.0,83.2,550.6,2016.5,2911.4,192.3,77.8,23.1
0.171177,399.7,93.6,1723.3,36.1,2854.7,82.8,545.8,2024.2,2915,193,77.9,23.1
0.173177,400.9,94.0,1725.0,39.5,2855.0,91.4,541,2032,2918.5,193.7,77.9,22.9
0.175177,401.6,95.9,1727.8,47.0,2854.7,111.5,536.2,2039.7,2922,194.4,77.9,22.5
0.177177,400.6,98.4,1729.6,61.1,2857.2,150.5,531.5,2047.4,2925.5,195.1,78,21.7
0.179177,394.6,96.9,1726.6,85.5,2881.3,209.5,526.8,2055,2929,195.7,78,20.4
0.181177,387.2,90.3,1721.4,104.1,2920.4,244.8,522.1,2062.5,2932.4,196.4,78.1,18.7
0.183177,385.3,101.9,1733.1,89.5,2922.6,266.9,517.4,2070.1,2935.8,197.1,78.3,16.8
0.185177,389.3,164.5,1761.1,70.9,2898.0,272.7,512.8,2077.5,2939.1,197.7,78.6,14.8
0.187177,397.4,324.1,1792.2,62.2,2874.4,257.7,508.1,2084.9,2942.4,198.4,79,12.9
0.189177,405.1,657.0,1821.0,58.2,2854.3,247.7,503.5,2092.2,2945.7,199,79.5,11
0.191177,605.1,1233.2,1845.4,55.8,2832.6,258.8,499,2099.4,2948.9,199.7,80.1,8.8
0.193177,772.6,1146.4,1867.2,56.4,2809.3,302.4,494.5,2106.5,2952.1,200.3,80.6,6.8
0.195177,782.4,1087.1,1887.7,62.2,2793.3,377.2,490,2113.6,2955.2,200.9,81,5
0.197177,748.2,1036.3,1909.8,72.9,2790.6,480.7,485.6,2120.6,2958.3,201.5,81.4,3.8
0.199177,713.0,981.2,1932.0,86.3,2798.1,613.2,481.2,2127.4,2961.3,202.1,81.6,3.1
0.201177,682.2,950.4,1950.8,101.2,2796.1,789.3,476.8,2134.2,2964.3,202.7,81.8,2.8
0.203177,650.8,935.1,1966.0,116.8,2752.4,1002.3,472.5,2140.9,2967.2,203.2,81.9,2.8
0.205177,626.2,916.1,1979.1,127.9,2676.9,1121.2,468.3,2147.5,2970.1,203.7,81.9,3.2
0.207177,608.3,878.7,1993.3,131.3,2628.1,1122.7,464.1,2154,2972.9,204.2,81.9,4
0.209177,596.7,816.8,2008.9,126.6,2614.4,1079.5,459.9,2160.3,2975.6,204.7,81.9,5.5
0.211177,592.8,742.8,2024.3,115.7,2623.2,1015.5,455.9,2166.6,2978.3,205.2,81.8,7.6
0.213177,595.9,667.3,2038.0,103.0,2644.7,928.3,451.8,2172.7,2981,205.6,81.8,10
0.215177,601.1,605.0,2048.4,94.1,2663.2,836.1,447.8,2178.7,2983.5,206,81.7,12.1
0.217177,604.3,559.1,2056.9,90.2,2673.7,749.9,443.9,2184.6,2986,206.4,81.6,13.6
0.219177,604.0,528.1,2064.5,91.7,2675.9,674.8,440.1,2190.4,2988.4,206.8,81.5,14.2
0.221177,600.6,507.3,2071.8,97.9,2675.1,608.7,436.3,2196,2990.8,207.2,81.3,14.3
0.223177,594.6,494.4,2080.8,108.7,2678.6,548.6,432.6,2201.5,2993.1,207.5,81.2,14.2
0.225177,586.6,485.8,2092.8,123.5,2686.3,501.8,428.9,2206.9,2995.3,207.8,81,13.9
0.227177,576.9,470.5,2110.3,143.3,2694.3,469.5,425.4,2212.1,2997.4,208.1,80.9,13.7
0.229177,569.2,440.2,2136.5,165.6,2703.3,456.5,421.9,2217.2,2999.4,208.4,80.9,13.5
0.231177,565.2,392.5,2172.2,184.3,2714.0,472.9,418.4,2222.1,3001.4,208.7,80.9,13.3
0.233177,561.4,335.4,2214.0,195.3,2723.2,532.3,415.1,2226.9,3003.3,208.9,80.9,13.1
0.235177,555.8,291.1,2252.2,194.0,2735.9,621.4,411.8,2231.6,3005.1,209.1,81,12.9
0.237177,548.9,260.9,2282.9,179.7,2774.2,697.6,408.6,2236,3006.8,209.3,81,12.6
0.239177,541.7,236.5,2303.9,162.4,2839.8,702.1,405.5,2240.4,3008.5,209.5,81.1,12.4
0.241177,535.0,212.7,2319.7,151.9,2898.3,648.0,402.4,2244.6,3010,209.6,81.1,12.1
0.243177,529.0,191.3,2335.0,151.4,2932.7,597.9,399.4,2248.6,3011.5,209.7,81.1,11.8
0.245177,523.4,177.3,2351.1,162.1,2943.1,592.8,396.6,2252.4,3012.9,209.8,81,11.6
0.247177,515.8,169.1,2370.8,186.8,2932.2,655.4,393.8,2256.1,3014.2,209.9,80.9,11.5
0.249177,504.5,165.1,2399.5,225.2,2890.5,830.2,391.1,2259.7,3015.4,209.9,80.7,11.6
0.251177,489.4,167.0,2442.4,250.0,2801.8,1155.9,388.4,2263,3016.5,210,80.5,11.8
0.253177,471.0,177.8,2481.4,230.9,2700.6,1596.0,385.9,2266.2,3017.5,209.9,80.3,12.1
0.255177,451.2,194.9,2504.0,204.1,2683.1,2029.7,383.4,2269.2,3018.4,209.9,80.2,12.5
0.257177,429.9,213.7,2521.2,179.2,2825.3,2461.1,381.1,2272.1,3019.2,209.8,80,12.9
0.259177,408.6,228.9,2534.7,152.1,3122.5,2599.0,378.8,2274.8,3020,209.7,79.9,13.6
0.261177,388.4,234.9,2542.7,131.4,3295.9,2491.7,376.6,2277.3,3020.6,209.6,79.8,14.5
0.263177,368.7,228.2,2545.0,129.6,3306.5,2540.0,374.6,2279.6,3021.2,209.4,79.7,15.4
0.265177,351.5,212.8,2540.8,151.4,3168.1,2804.0,372.6,2281.7,3021.6,209.2,79.6,16.2
0.267177,336.6,197.3,2527.6,192.7,2914.7,2980.3,370.7,2283.7,3022,209,79.6,16.8
0.269177,324.1,187.9,2505.3,238.1,2869.3,2997.2,368.9,2285.5,3022.2,208.7,79.5,17.2
0.271177,314.0,187.0,2485.7,269.4,3191.8,3083.6,367.2,2287.1,3022.4,208.4,79.4,17.5
0.273177,305.7,194.0,2487.6,284.0,3615.4,2564.4,365.5,2288.5,3022.4,208.1,79.2,17.7
0.275177,299.8,206.3,2520.5,272.7,3798.9,2026.8,364,2289.8,3022.4,207.7,79,17.7
0.277177,296.5,225.1,2569.0,223.8,3922.6,1617.9,362.6,2290.9,3022.2,207.3,78.8,17.8
0.279177,297.3,253.0,2606.9,164.3,3916.8,354.8,361.3,2291.7,3022,206.9,78.6,17.7
0.281177,303.3,286.6,2628.3,124.8,3877.1,362.5,360,2292.5,3021.6,206.5,78.3,17.6
0.283177,310.3,313.4,2638.1,110.6,3865.2,356.0,358.9,2293,3021.2,206.1,78,17.4
0.285177,305.6,316.7,2638.8,124.0,3898.6,349.2,357.9,2293.3,3020.6,205.6,77.7,17.2
0.287177,289.4,287.4,2630.2,177.1,3951.0,278.1,356.9,2293.5,3019.9,205.2,77.4,17.1
0.289177,279.3,241.9,2613.1,289.1,3976.5,203.2,356.1,2293.5,3019.2,204.8,77.1,17.1
0.291177,279.2,213.3,1985.3,3093.8,2581.3,441.0,355.4,2293.2,3018.3,204.3,76.9,17.2
0.293177,285.0,213.9,2053.4,2620.9,2501.2,550.9,354.7,2292.9,3017.4,203.9,76.6,17.4
0.295177,292.7,231.7,2117.7,3301.8,2441.5,535.9,354.2,2292.3,3016.3,203.5,76.4,17.5
0.297177,299.5,243.8,2136.7,4078.8,2461.1,501.1,353.7,2291.5,3015.1,203.2,76.2,17.6
0.299177,302.9,235.3,2110.4,3626.2,2516.7,477.9,353.4,2290.6,3013.9,202.8,76,17.5
0.301177,301.9,205.9,2102.4,2576.2,2569.0,474.2,353.1,2289.5,3012.5,202.5,75.8,17.4
0.303177,298.2,171.5,2125.0,1854.3,2612.9,490.3,352.9,2288.2,3011,202.2,75.7,17.3
0.305177,294.1,148.3,2169.3,1590.2,2637.8,500.6,352.9,2286.8,3009.5,202,75.6,17.3
0.307177,290.8,134.6,2251.5,1669.9,2634.9,486.8,352.9,2285.1,3007.8,201.8,75.6,17.4
0.309177,288.3,125.9,2322.8,1982.1,2627.1,426.0,353,2283.3,3006,201.7,75.5,17.7
0.311177,286.1,120.3,2274.4,2253.0,2640.1,350.4,353.3,2281.3,3004.2,201.6,75.4,18.2
0.313177,283.7,119.8,2119.6,2408.8,2663.7,273.0,353.6,2279.2,3002.2,201.6,75.4,18.7
0.315177,282.1,126.2,1936.6,2764.9,2680.7,201.8,354,2276.8,3000.2,201.6,75.4,19.1
0.317177,282.4,138.0,1636.1,3638.7,2689.9,147.1,354.5,2274.3,2998,201.6,75.3,19.2
0.319177,284.5,147.4,946.9,5007.6,2693.0,120.4,355.1,2271.7,2995.7,201.7,75.4,19
0.321177,286.6,148.5,449.4,5644.6,2690.5,124.3,355.8,2268.9,2993.4,201.9,75.5,18.6
0.323177,289.7,147.8,550.7,6041.2,2681.2,154.3,356.5,2265.9,2990.9,202.1,75.6,18.1
0.325177,295.2,152.5,2662.2,194.0,3884.5,135.8,357.4,2262.7,2988.4,202.4,75.8,17.6
0.327177,304.6,163.4,2634.6,219.9,3863.5,126.9,358.3,2259.4,2985.8,202.6,76,17.2
0.329177,318.9,177.5,2614.9,214.7,3850.5,118.1,359.4,2255.9,2983.1,203,76.3,17.1
0.331177,334.8,185.3,2614.4,190.7,3850.3,115.0,360.5,2252.3,2980.2,203.3,76.6,17
0.333177,342.6,181.5,2620.1,169.9,3862.5,129.7,361.7,2248.5,2977.3,203.7,76.9,17
0.335177,340.3,171.4,2619.1,160.9,3880.1,165.6,363,2244.6,2974.3,204,77.3,17
0.337177,335.7,157.7,2615.1,155.2,3887.9,218.2,364.4,2240.5,2971.3,204.4,77.6,17
0.339177,333.3,144.5,2614.4,143.6,3866.4,261.0,365.9,2236.3,2968.1,204.8,78,16.9
0.341177,333.5,133.5,2620.3,122.8,3827.6,261.5,367.4,2231.9,2964.8,205.2,78.4,16.7
0.343177,335.1,123.4,2633.1,98.6,3798.6,242.3,369,2227.4,2961.5,205.7,78.8,16.6
0.345177,337.4,114.0,2647.8,81.3,3787.9,239.9,370.7,2222.7,2958.1,206,79.2,16.5
0.347177,340.7,103.3,2661.8,72.6,3794.4,265.9,372.5,2218,2954.6,206.4,79.6,16.4
0.349177,345.5,90.6,2673.8,71.1,3821.7,316.9,374.3,2213,2951,206.8,80,16.5
0.351177,352.2,77.9,1966.1,4626.2,2682.5,74.1,376.3,2208,2947.3,207.2,80.4,16.6
0.353177,360.4,67.5,2221.2,3324.0,2686.6,82.0,378.3,2202.8,2943.6,207.5,80.8,16.7
0.355177,368.6,60.2,2347.2,2793.8,2686.0,95.2,380.3,2197.6,2939.8,207.8,81.2,16.7
0.357177,376.6,54.5,2415.0,2371.2,2683.8,113.7,382.5,2192.1,2935.9,208.1,81.6,16.7
0.359177,384.5,49.5,2415.8,1956.0,2683.3,134.3,384.7,2186.6,2931.9,208.3,81.9,16.4
0.361177,392.2,44.9,2374.9,1568.6,2685.8,153.1,386.9,2181,2927.9,208.6,82.3,16.1
0.363177,399.8,40.8,2335.1,1235.2,2689.6,171.3,389.3,2175.2,2923.8,208.8,82.6,15.7
0.365177,406.7,38.5,2328.1,1008.8,2692.5,195.2,391.7,2169.4,2919.6,208.9,82.9,15.3
0.367177,413.0,38.2,2351.0,860.6,2695.4,232.9,394.1,2163.4,2915.4,209.1,83.2,15
0.369177,418.6,39.7,2386.2,750.9,2700.3,284.1,396.7,2157.4,2911.1,209.2,83.4,14.8
0.371177,423.5,42.7,2417.2,645.8,2707.3,346.0,399.2,2151.2,2906.7,209.3,83.6,14.6
0.373177,428.0,46.5,2428.6,529.4,2718.5,413.4,401.9,2145,2902.3,209.3,83.7,14.5
0.375177,432.1,50.4,2418.3,435.0,2728.5,459.2,404.5,2138.7,2897.8,209.4,83.7,14.4
0.377177,436.1,54.1,2400.3,367.9,2730.0,485.2,407.3,2132.3,2893.2,209.4,83.7,14.3
0.379177,440.1,57.9,2380.3,317.3,2728.4,500.0,410.1,2125.8,2888.7,209.3,83.7,14.3
0.381177,444.0,61.9,2356.4,274.2,2730.1,495.3,412.9,2119.2,2884,209.3,83.6,14.4
0.383177,447.7,65.6,2326.5,233.9,2732.1,452.2,415.8,2112.6,2879.3,209.2,83.5,14.6
0.385177,451.1,68.0,2299.3,195.5,2732.3,388.5,418.7,2105.9,2874.6,209.1,83.5,14.7
0.387177,454.6,70.1,2281.5,158.7,2734.4,336.8,421.7,2099.1,2869.8,209,83.4,14.7
0.389177,458.5,74.0,2272.9,129.4,2739.3,310.7,424.7,2092.3,2864.9,208.8,83.3,14.6
0.391177,463.2,82.4,2268.6,108.7,2747.3,301.8,427.7,2085.4,2860.1,208.6,83.3,14.5
0.393177,469.5,100.3,2262.8,93.9,2755.7,285.8,430.8,2078.5,2855.1,208.5,83.2,14.4
0.395177,477.4,128.3,2249.1,87.2,2748.9,255.1,433.9,2071.5,2850.2,208.3,83.1,14.2
0.397177,484.8,157.3,2220.4,94.8,2722.3,235.0,437.1,2064.5,2845.2,208,83,14
0.399177,488.1,173.2,2173.4,114.5,2691.1,224.2,440.2,2057.4,2840.1,207.8,82.9,13.7
0.401177,488.5,174.8,2113.0,128.6,2672.8,204.5,443.4,2050.3,2835.1,207.5,82.7,13.3
0.403177,488.3,169.8,2049.1,128.3,2669.7,177.1,446.7,2043.2,2830,207.3,82.4,12.9
0.405177,487.9,165.4,1991.5,121.1,2671.8,152.8,449.9,2036,2824.9,207,82.1,12.5
0.407177,486.7,161.8,1935.9,111.4,2672.1,133.6,453.2,2028.8,2819.7,206.8,81.8,12.3
0.409177,484.7,157.2,1883.8,101.0,2670.0,121.1,456.5,2021.6,2814.6,206.5,81.4,12.3
0.411177,483.1,154.2,1836.6,94.6,2666.0,116.5,459.8,2014.4,2809.4,206.3,81,12.4
0.413177,483.8,157.9,1789.9,94.8,2661.2,118.7,463.1,2007.2,2804.2,206,80.5,12.6
0.415177,487.2,168.9,1745.1,98.6,2658.3,123.6,466.5,1999.9,2798.9,205.8,79.9,12.7
0.417177,491.7,182.6,1700.9,100.6,2659.0,129.6,469.8,1992.7,2793.7,205.6,79.4,12.7
0.419177,495.2,192.1,1660.5,98.3,2663.0,140.2,473.2,1985.5,2788.4,205.5,78.8,12.4
0.421177,496.4,195.7,1627.3,93.8,2667.8,161.3,476.5,1978.2,2783.2,205.3,78.3,11.9
0.423177,494.6,194.6,1602.1,92.1,2666.2,203.8,479.9,1971,2777.9,205.2,77.8,11.4
0.425177,489.7,186.9,1585.8,97.1,2646.8,271.1,483.3,1963.8,2772.6,205.2,77.4,11
0.427177,482.0,170.6,1573.1,106.6,2604.4,356.1,486.6,1956.6,2767.3,205.1,77.2,11.1
0.429177,473.6,150.4,1561.8,113.3,2555.8,429.0,490,1949.4,2762.1,205.2,77,11.6
0.431177,466.1,132.2,1553.2,110.5,2537.3,458.6,493.4,1942.3,2756.8,205.2,76.9,12.6
0.433177,459.7,117.1,1547.9,99.6,2562.2,429.0,496.7,1935.2,2751.5,205.4,76.9,13.7
0.435177,454.1,106.7,1545.0,88.8,2595.9,364.0,500.1,1928.1,2746.3,205.6,76.8,14.8
0.437177,449.7,102.8,1544.2,82.6,2615.8,305.4,503.4,1921.1,2741,205.8,76.8,15.5
0.439177,448.0,108.1,1545.4,82.4,2620.1,271.7,506.8,1914.1,2735.7,206.1,76.7,16
0.441177,451.0,122.8,1547.7,87.7,2611.4,262.4,510.1,1907.1,2730.5,206.4,76.6,16.4
0.443177,459.6,143.5,1550.1,96.9,2589.9,273.7,513.4,1900.2,2725.3,206.8,76.6,16.7
0.445177,472.1,161.3,1551.9,106.8,2560.5,293.5,516.6,1893.4,2720.1,207.2,76.7,16.7
0.447177,486.7,174.1,1554.6,114.0,2534.6,298.7,519.9,1886.6,2714.9,207.6,76.9,16.5
0.449177,501.7,183.0,1559.7,115.4,2529.1,274.9,523.1,1879.9,2709.7,208.1,77.2,16
0.451177,515.0,189.2,1565.9,112.8,2541.3,235.6,526.3,1873.2,2704.6,208.6,77.6,15.1
0.453177,527.2,196.1,1574.0,110.3,2555.6,199.4,529.5,1866.6,2699.5,209.2,78,14.1
0.455177,540.3,210.6,1587.2,110.4,2562.3,180.9,532.7,1860.1,2694.4,209.7,78.6,13.1
0.457177,556.6,232.3,1606.8,112.1,2560.9,180.9,535.8,1853.6,2689.4,210.3,79.2,12.2
0.459177,573.6,246.3,1628.8,114.2,2552.4,196.1,538.9,1847.3,2684.3,210.8,79.9,11.4
0.461177,589.2,241.5,1652.2,117.1,2541.5,213.8,542,1841,2679.3,211.4,80.6,10.6
0.463177,603.9,219.3,1682.6,119.7,2537.2,216.7,545,1834.8,2674.4,211.9,81.4,9.9
0.465177,615.8,187.9,1717.9,116.6,2542.7,203.4,548,1828.7,2669.5,212.5,82.1,9.4
0.467177,624.4,154.4,1751.1,106.2,2550.4,188.2,550.9,1822.7,2664.6,213,82.8,9.3
0.469177,630.7,127.3,1776.7,94.3,2554.8,179.9,553.8,1816.8,2659.8,213.5,83.4,9.5
0.471177,635.9,109.1,1797.4,87.1,2554.8,181.5,556.7,1811,2655,214,83.9,10.1
0.473177,640.2,96.8,1820.0,86.3,2549.6,194.9,559.5,1805.2,2650.3,214.5,84.4,10.9
0.475177,643.6,88.8,1846.6,88.8,2542.0,215.2,562.3,1799.6,2645.6,214.9,84.8,11.8
0.477177,646.7,82.4,1876.3,88.8,2540.0,233.0,565,1794.1,2641,215.3,85.1,12.7
0.479177,649.3,77.1,1901.9,83.5,2547.6,240.6,567.7,1788.8,2636.4,215.7,85.4,13.6
0.481177,650.9,72.4,1919.1,75.6,2558.2,242.1,570.3,1783.5,2631.8,216,85.5,14.6
0.483177,651.4,67.6,1928.4,68.2,2564.9,244.7,572.9,1778.3,2627.4,216.3,85.7,15.6
0.485177,650.9,62.7,1931.3,63.0,2566.5,247.5,575.4,1773.3,2623,216.6,85.7,16.5
0.487177,650.3,57.9,1930.7,59.3,2566.0,246.4,577.9,1768.4,2618.6,216.9,85.7,17.1
0.489177,650.4,54.2,1930.1,56.5,2565.0,242.5,580.3,1763.6,2614.3,217.1,85.7,17.3
0.491177,651.4,52.2,1932.6,53.9,2561.9,243.5,582.6,1758.9,2610.1,217.3,85.7,17.3
0.493177,652.6,51.5,1938.8,50.1,2556.2,250.8,584.9,1754.4,2605.9,217.5,85.6,17
0.495177,653.5,51.7,1945.2,45.0,2556.3,252.0,587.1,1750,2601.8,217.7,85.6,16.9
0.497177,653.9,52.9,1950.1,39.8,2566.9,240.1,589.3,1745.7,2597.8,217.9,85.6,16.9
0.499177,653.5,54.1,1953.0,36.2,2578.3,226.5,591.4,1741.6,2593.8,218,85.6,17.2
0.501177,651.9,54.1,1954.1,34.7,2580.5,225.9,593.4,1737.6,2590,218.2,85.6,17.7
0.503177,649.5,52.5,1954.1,34.8,2573.9,237.9,595.4,1733.8,2586.1,218.3,85.5,18.3
0.505177,647.2,51.0,1953.9,35.2,2569.8,245.6,597.3,1730.1,2582.4,218.5,85.5,18.7
0.507177,645.9,51.1,1954.4,35.4,2574.8,242.3,599.2,1726.5,2578.8,218.6,85.4,18.9
0.509177,645.6,53.1,1955.9,36.0,2583.7,237.6,600.9,1723.1,2575.2,218.7,85.2,18.7
0.511177,646.0,56.6,1957.9,37.0,2591.8,239.5,602.6,1719.8,2571.7,218.9,85,18.4
0.513177,646.1,60.5,1959.9,38.1,2600.9,246.8,604.3,1716.7,2568.2,219,84.8,17.9
0.515177,645.0,63.7,1961.0,38.7,2613.3,253.2,605.8,1713.7,2564.9,219.2,84.4,17.2
0.517177,642.4,65.7,1960.2,38.9,2628.6,254.9,607.3,1710.9,2561.6,219.4,84,16.2
0.519177,637.9,67.2,1956.7,38.9,2644.0,250.9,608.7,1708.2,2558.5,219.5,83.5,14.8
0.521177,631.7,69.9,1950.7,38.8,2659.8,241.7,610.1,1705.7,2555.4,219.7,82.9,13
