time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025646,270.5,159.9,1721.0,471.5,3169.0,454.3,431.8,2287.7,3241.3,172.7,64.6,-186.6
0.027646,291.6,180.6,1722.5,482.3,3185.2,505.6,431.8,2287.9,3241.1,172.5,67.1,-146.2
0.029646,317.7,195.9,1734.5,491.8,3209.8,526.3,431.9,2288.2,3240.9,172.2,69.1,-95.8
0.031646,331.7,208.9,1789.7,442.3,3229.9,521.2,432.1,2288.6,3240.6,171.9,70.7,-45.2
0.033646,337.3,212.8,1848.3,344.8,3178.1,577.4,432.3,2289.1,3240.2,171.7,72.1,-4.6
0.035646,345.1,191.8,1861.2,289.2,2987.4,556.8,432.5,2289.7,3239.7,171.4,73.1,17.5
0.037646,336.1,166.8,1869.6,230.7,2866.5,328.8,432.8,2290.4,3239,171.2,73.9,24.8
0.039646,321.9,135.5,1891.5,210.1,2844.6,205.4,433.1,2291.3,3238.3,170.9,74.6,22.9
0.041646,315.0,106.7,1926.7,231.0,2851.0,151.7,433.4,2292.2,3237.6,170.7,75.1,17.1
0.043646,314.4,91.5,1983.5,290.2,2868.6,127.9,433.8,2293.3,3236.7,170.5,75.6,12.4
0.045646,317.9,90.1,2069.4,370.9,2890.7,118.0,434.2,2294.4,3235.7,170.3,75.9,12.8
0.047646,325.9,97.1,2191.3,451.6,2915.1,115.8,434.7,2295.7,3234.6,170.1,76.2,14.8
0.049646,337.8,100.7,2323.4,528.4,2935.7,123.0,435.2,2297.1,3233.5,169.9,76.5,17.1
0.051646,346.4,95.7,2447.0,654.8,2944.3,142.6,435.8,2298.6,3232.2,169.8,76.7,19.4
0.053646,348.8,92.6,2547.7,908.7,2928.6,157.2,436.4,2300.2,3230.9,169.6,76.9,21.2
0.055646,348.1,95.1,2601.2,1330.5,2900.5,136.1,437,2301.9,3229.5,169.5,77.1,22.4
0.057646,347.3,100.5,2597.8,1898.6,2879.6,100.5,437.7,2303.6,3227.9,169.4,77.2,23.1
0.059646,348.5,104.1,2556.2,2320.3,2872.8,75.4,438.4,2305.5,3226.3,169.2,77.3,23.3
0.061646,351.6,103.3,2522.7,2318.4,2876.5,63.0,439.2,2307.5,3224.6,169.1,77.5,23.4
0.063646,355.0,100.1,2510.9,2127.4,2882.4,59.3,439.9,2309.6,3222.8,169,77.6,23.5
0.065646,357.3,99.6,2530.9,2043.6,2885.5,63.0,440.8,2311.8,3221,168.9,77.7,23.6
0.067646,359.3,103.6,2634.9,2105.4,2885.9,75.3,441.6,2314.1,3219,168.8,77.8,23.6
0.069646,362.7,108.0,2777.5,2175.8,2886.1,91.4,442.6,2316.4,3216.9,168.7,77.9,23.6
0.071646,366.1,109.2,2790.6,2490.5,2888.8,100.0,443.5,2318.9,3214.8,168.6,78,23.6
0.073646,366.4,109.9,2761.6,3339.2,2893.5,100.4,444.5,2321.4,3212.6,168.5,78.1,23.4
0.075646,365.1,112.0,2896.8,100.8,2936.3,5998.8,445.5,2324,3210.3,168.3,78.1,23.3
0.077646,364.8,114.3,2895.8,107.7,4416.0,215.7,446.5,2326.7,3207.9,168.2,78.1,23
0.079646,366.1,115.6,2891.5,122.8,4399.8,217.6,447.6,2329.5,3205.4,168,78.1,22.7
0.081646,368.2,116.9,2889.2,142.2,4385.9,214.1,448.8,2332.4,3202.8,167.8,78,22.3
0.083646,370.1,119.1,2892.1,156.4,4365.6,200.3,449.9,2335.3,3200.1,167.6,77.9,22
0.085646,371.9,117.4,2892.6,151.5,4340.9,172.6,451.1,2338.3,3197.4,167.4,77.7,21.8
0.087646,376.0,103.1,1929.3,2822.5,2880.3,129.2,452.3,2341.4,3194.6,167.1,77.5,21.7
0.089646,380.9,88.0,2136.0,1461.2,2870.0,116.1,453.6,2344.6,3191.7,166.9,77.2,21.6
0.091646,384.9,88.1,2225.7,889.1,2868.3,116.9,454.9,2347.8,3188.7,166.6,76.9,21.5
0.093646,389.0,99.0,2280.0,634.1,2870.2,128.8,456.2,2351.1,3185.6,166.2,76.6,21.4
0.095646,394.2,110.8,2322.4,509.8,2873.5,150.6,457.6,2354.4,3182.4,165.9,76.2,21.3
0.097646,400.9,120.9,2371.4,437.8,2881.1,185.8,459,2357.8,3179.2,165.5,75.7,21.4
0.099646,409.0,128.0,2425.0,392.8,2898.2,226.5,460.4,2361.2,3175.9,165.1,75.3,21.6
0.101646,417.4,132.5,2473.8,375.8,2923.5,263.5,461.9,2364.7,3172.5,164.7,74.8,21.6
0.103646,424.4,139.0,2520.4,411.2,2948.5,302.5,463.4,2368.3,3169,164.3,74.3,21.4
0.105646,430.5,152.8,2576.2,515.1,2958.4,345.0,464.9,2371.8,3165.5,163.9,73.7,20.9
0.107646,435.7,177.8,2660.1,742.1,2930.8,370.1,466.4,2375.5,3161.9,163.5,73.2,19.9
0.109646,433.0,213.8,2715.4,1120.8,2895.3,329.0,468,2379.1,3158.2,163.1,72.7,18.7
0.111646,415.9,262.8,2724.3,1406.9,2872.5,342.3,469.6,2382.8,3154.4,162.7,72.1,17.5
0.113646,382.3,325.3,2784.1,1374.0,2836.0,460.2,471.2,2386.5,3150.6,162.3,71.6,16.3
0.115646,338.0,361.7,2719.6,717.5,2958.8,1015.5,472.9,2390.3,3146.7,161.9,71,16.3
0.117646,320.1,314.2,2592.3,820.7,3100.7,856.2,474.6,2394.1,3142.7,161.6,70.3,21
0.119646,324.7,254.1,2485.3,1044.2,3114.9,741.8,476.3,2397.9,3138.6,161.3,69.6,26.6
0.121646,314.7,221.6,2329.6,1118.7,3107.6,661.0,478,2401.7,3134.5,161.1,68.8,28.1
0.123646,282.1,195.0,2279.8,1023.7,3102.8,657.2,479.8,2405.5,3130.3,160.8,67.8,20.5
0.125646,252.8,149.2,2318.9,975.3,3103.9,729.2,481.6,2409.4,3126,160.7,66.8,-2
0.127646,241.3,118.4,2394.0,951.5,3134.2,853.0,483.4,2413.2,3121.7,160.6,65.6,-43.2
0.129646,246.6,114.6,2404.0,979.0,3152.0,954.2,485.2,2417,3117.3,160.6,64.2,-94.4
0.131646,268.8,116.1,2289.6,944.0,3089.7,887.7,487.1,2420.9,3112.8,160.6,62.7,-145.5
0.133646,295.5,101.1,2220.7,822.7,3071.3,717.9,489,2424.7,3108.3,160.7,61.1,-186.5
0.135646,313.4,82.9,2176.7,825.7,3065.1,597.7,490.9,2428.6,3103.7,0,59.5,-208.6
0.137646,324.9,69.2,2091.4,976.3,3054.7,499.8,492.8,2432.4,3099,0,57.9,-215.6
0.139646,331.4,63.2,1880.2,1183.3,2715.4,4370.6,494.7,2436.2,3094.3,0,56.5,-213.2
0.141646,333.0,68.8,1681.7,1023.5,3064.7,456.1,496.7,2440,3089.6,0,55.3,-206.7
0.143646,329.0,95.7,1660.5,883.1,2967.1,426.3,498.6,2443.7,3084.7,0,54.7,-201
0.145646,317.0,183.1,1728.4,839.8,2940.5,304.9,500.6,2447.5,3079.8,0,54.5,-200
0.147646,262.4,437.9,1743.5,876.2,2940.9,262.4,502.6,2451.2,3074.9,0,54.9,-200
0.149646,1662.7,960.6,2946.4,253.1,3509.3,549.4,504.7,2454.9,3069.9,0,55.6,-200
0.151646,1531.8,950.7,2957.3,248.0,3527.6,658.3,506.7,2458.5,3064.8,0,56.5,-200
0.153646,1427.6,829.3,2971.4,248.9,3530.3,808.1,508.7,2462.1,3059.7,0,57.2,-200
0.155646,1368.3,704.8,2982.3,274.5,3437.5,918.7,510.8,2465.6,3054.5,0,57.8,-200
0.157646,1339.2,593.2,2970.2,372.8,3285.8,665.9,512.9,2469.1,3049.3,0,58.3,-200
0.159646,1331.7,503.3,2887.2,482.1,3273.5,387.1,515,2472.6,3044.1,0,58.7,-200
0.161646,1321.6,432.9,2792.7,586.8,3279.9,305.7,517.1,2475.9,3038.8,0,58.9,-200
0.163646,1304.2,377.6,2676.1,696.3,3263.1,311.4,519.2,2479.3,3033.4,0,58.9,-200
0.165646,1282.5,351.4,2607.9,725.3,3222.9,339.7,521.3,2482.5,3028,0,59,-200
0.167646,1246.9,352.6,2613.2,764.6,3176.1,377.5,523.5,2485.7,3022.5,0,58.9,-200
0.169646,1199.6,357.6,2680.5,815.1,3145.3,452.7,525.6,2488.8,3017,0,58.9,-200
0.171646,1156.6,341.8,2793.9,781.8,3156.4,623.0,527.8,2491.9,3011.5,0,58.7,-200
0.173646,1133.7,323.6,2832.0,681.1,3304.9,694.2,529.9,2494.8,3005.9,0,58.5,-200
0.175646,1130.2,345.2,2798.5,772.2,3342.3,454.7,532.1,2497.7,3000.3,0,58.1,-200
0.177646,1131.4,450.0,2681.4,1021.6,3316.1,286.3,534.3,2500.5,2994.7,0,57.7,-200
0.179646,1087.6,724.9,2421.2,1292.6,3298.1,193.1,536.4,2503.2,2989,0,57.1,-200
0.181646,757.3,795.8,2046.6,1082.0,3291.9,153.0,538.6,2505.8,2983.2,0,56.5,-200
0.183646,684.1,481.6,1991.1,735.9,2943.1,3147.3,540.8,2508.3,2977.5,0,55.8,-200
0.185646,684.0,378.2,1979.4,712.0,2645.0,2010.7,543,2510.7,2971.7,0,55.2,-200
0.187646,695.5,387.4,1845.9,817.9,2511.8,1105.5,545.2,2513,2965.9,0,54.8,-200
0.189646,701.9,541.9,1699.9,755.1,2497.5,785.2,547.4,2515.2,2960,0,54.9,-200
0.191646,711.8,1047.8,1654.9,884.4,2416.9,749.3,549.6,2517.2,2954.1,0,55.7,-200
0.193646,825.5,1457.0,1877.2,1400.7,2252.4,792.9,551.8,2519.2,2948.2,0,57,-200
0.195646,828.8,776.5,2059.8,445.1,2695.9,1068.3,554,2521.1,2942.3,0,58.4,-200
0.197646,809.7,505.8,2061.3,282.9,2737.8,627.3,556.2,2522.8,2936.3,0,59.5,-200
0.199646,788.8,399.3,2068.5,229.4,2730.8,509.4,558.4,2524.4,2930.3,0,60.4,-200
0.201646,764.5,352.9,2077.3,215.8,2732.4,496.5,560.6,2525.9,2924.3,0,60.9,-200
0.203646,738.2,352.1,2097.4,227.4,2778.6,585.8,562.8,2527.2,2918.3,0,61.2,-200
0.205646,714.9,410.7,2143.6,251.9,3015.8,619.3,564.9,2528.4,2912.2,0,61.3,-200.9
0.207646,695.6,534.7,2224.1,275.0,3090.7,328.8,567.1,2529.5,2906.1,0,61.3,-206.4
0.209646,688.3,679.4,2315.7,279.6,3115.4,239.9,569.3,2530.4,2900,0,61.2,-212.6
0.211646,704.5,769.8,2383.6,276.3,3129.2,211.9,571.5,2531.2,2893.9,0,61.2,-214.8
0.213646,745.5,815.8,2428.1,289.3,3139.1,210.4,573.6,2531.8,2887.8,0,61.6,-208.2
0.215646,770.9,854.6,2452.2,334.2,3146.7,231.6,575.8,2532.3,2881.7,194.6,63,-187.1
0.217646,571.3,729.2,2436.4,475.4,3143.2,298.2,577.9,2532.7,2875.6,195.2,65.1,-148.1
0.219646,428.5,334.3,2367.6,720.9,3116.3,374.4,580.1,2532.8,2869.4,195.8,67.3,-99.4
0.221646,387.7,197.7,2345.5,1015.0,3050.2,404.5,582.2,2532.9,2863.3,196.3,69.5,-50.6
0.223646,364.8,151.1,2383.8,1478.4,2949.5,329.8,584.3,2532.8,2857.1,196.8,71.4,-11.2
0.225646,348.8,133.9,2408.3,1836.6,2902.3,219.6,586.4,2532.5,2850.9,197.3,73,10.5
0.227646,336.6,128.6,2501.4,1977.7,2884.1,150.9,588.5,2532,2844.8,197.8,74.2,18
0.229646,330.5,131.1,2674.4,1918.9,2875.7,117.2,590.6,2531.4,2838.6,198.2,75.2,16.8
0.231646,332.7,138.0,2821.5,1690.9,2871.4,103.1,592.7,2530.6,2832.4,198.7,75.9,11.9
0.233646,341.0,144.4,2855.1,1481.4,2871.9,99.5,594.8,2529.7,2826.3,199.1,76.4,7.9
0.235646,348.6,148.5,2788.4,1379.7,2878.0,101.2,596.8,2528.5,2820.1,199.6,76.7,8.7
0.237646,351.8,150.3,2675.7,1312.6,2886.8,106.9,598.9,2527.3,2813.9,200,77,10.9
0.239646,350.1,148.1,2603.3,1243.8,2890.9,122.4,600.9,2525.8,2807.8,200.4,77.2,13.4
0.241646,346.6,142.9,2604.7,1190.4,2885.8,152.2,602.9,2524.1,2801.6,200.9,77.3,15.8
0.243646,345.2,137.6,2654.2,1160.6,2872.9,187.6,604.9,2522.3,2795.5,201.4,77.4,17.8
0.245646,348.4,134.1,2719.5,1142.9,2857.3,215.4,606.9,2520.3,2789.3,201.8,77.5,19.2
0.247646,356.8,129.8,2796.1,1136.6,2839.8,228.7,608.8,2518.1,2783.2,202.4,77.6,20.2
0.249646,366.3,123.2,2824.5,210.3,2883.4,1208.3,610.8,2515.7,2777.1,202.9,77.7,20.8
0.251646,371.4,120.4,2819.0,164.4,2991.2,1452.5,612.7,2513.2,2771,203.4,77.8,21.2
0.253646,369.9,127.1,2823.2,121.2,3133.9,1935.9,614.6,2510.5,2764.9,204,77.9,21.4
0.255646,361.4,137.7,2831.4,95.4,3274.3,2649.4,616.5,2507.5,2758.8,204.6,78,21.3
0.257646,348.6,141.8,2840.0,82.1,3263.9,3354.9,618.4,2504.4,2752.8,205.3,78.2,20.9
0.259646,339.1,136.8,2846.6,78.4,3017.5,3245.7,620.2,2501.1,2746.8,205.9,78.4,20.1
0.261646,335.9,131.0,2820.2,2572.2,2852.0,81.9,622.1,2497.6,2740.8,206.6,78.6,19.3
0.263646,338.6,128.4,2743.6,1990.3,2858.8,90.8,623.9,2493.9,2734.8,207.3,78.8,18.6
0.265646,345.3,127.9,2710.3,1630.2,2868.2,101.4,625.7,2490.1,2728.8,208,79,18.3
0.267646,353.7,126.8,2672.8,1408.2,2879.6,109.7,627.4,2486,2722.9,208.8,79.2,18.3
0.269646,359.9,125.1,2630.4,1278.1,2887.9,115.3,629.2,2481.8,2717,209.6,79.4,18.5
0.271646,362.1,124.5,2610.9,1206.5,2887.9,127.0,630.9,2477.3,2711.1,210.3,79.5,18.6
0.273646,360.8,125.7,2636.2,1209.4,2875.2,152.8,632.6,2472.7,2705.2,211.1,79.7,18.6
0.275646,358.2,127.4,2693.6,1294.3,2847.8,183.3,634.3,2467.9,2699.4,211.9,79.8,18.4
0.277646,356.4,127.3,2748.4,1452.3,2811.5,195.5,636,2462.9,2693.6,212.7,80,18
0.279646,356.2,124.0,2731.4,1572.0,2790.5,183.0,637.6,2457.7,2687.9,213.4,80.1,17.4
0.281646,357.7,117.6,2625.0,1506.0,2793.8,162.2,639.2,2452.3,2682.2,214.2,80.4,16.8
0.283646,361.5,110.0,2496.2,1289.4,2811.4,136.4,640.8,2446.7,2676.5,215,80.6,16.3
0.285646,367.9,103.1,2408.3,1073.0,2828.5,109.8,642.4,2440.9,2670.8,215.7,80.9,15.9
0.287646,377.0,96.1,2362.1,898.0,2841.9,89.4,643.9,2434.9,2665.2,216.4,81.2,15.7
0.289646,387.9,88.8,2350.8,761.0,2851.7,79.8,645.4,2428.8,2659.7,217.1,81.5,15.6
0.291646,399.6,81.1,2364.6,640.9,2858.8,80.4,646.9,2422.4,2654.2,217.8,81.8,15.5
0.293646,410.0,73.3,2396.6,545.3,2861.9,92.2,648.4,2415.9,2648.7,218.4,82.2,15.4
0.295646,417.9,65.8,2433.6,483.8,2860.4,114.9,649.8,2409.2,2643.2,219,82.6,15.1
0.297646,424.9,57.8,2466.3,440.3,2855.3,146.6,651.2,2402.3,2637.9,219.6,83,14.9
0.299646,431.7,50.0,2484.8,401.9,2851.2,176.9,652.6,2395.2,2632.5,220.1,83.5,14.6
0.301646,438.8,42.8,2488.2,358.8,2852.2,198.0,654,2387.9,2627.2,220.6,84,14.3
0.303646,445.9,36.6,2483.3,313.7,2859.3,211.6,655.3,2380.5,2622,221.1,84.5,13.9
0.305646,452.1,32.0,2476.9,277.5,2869.9,222.5,656.6,2372.8,2616.8,221.5,85,13.4
0.307646,458.1,28.9,2468.5,249.1,2883.5,229.3,657.9,2365,2611.7,222,85.5,12.9
0.309646,463.7,27.7,2456.4,227.6,2898.1,226.4,659.2,2357,2606.6,222.3,85.9,12.2
0.311646,469.1,28.5,2440.8,210.5,2912.9,216.8,660.4,2348.9,2601.5,222.7,86.3,11.6
0.313646,474.5,31.5,2421.1,195.8,2927.6,205.9,661.6,2340.5,2596.6,223,86.4,11
0.315646,479.8,36.6,2398.0,181.8,2939.7,197.9,662.8,2332,2591.6,223.4,86.5,10.4
0.317646,486.0,45.5,2372.1,166.4,2946.9,196.4,663.9,2323.3,2586.8,223.7,86.3,9.8
0.319646,494.2,59.8,2348.4,153.6,2944.5,204.7,665,2314.5,2582,223.9,86,9.1
0.321646,507.1,81.8,2326.5,147.0,2930.5,218.7,666.1,2305.5,2577.2,224.2,85.7,8.6
0.323646,527.4,110.0,2302.5,145.5,2907.8,226.8,667.2,2296.3,2572.6,224.5,85.2,8.3
0.325646,554.2,133.1,2274.9,143.5,2885.1,221.4,668.2,2287,2568,224.8,84.8,8.4
0.327646,584.6,141.8,2243.1,135.3,2866.1,205.2,669.2,2277.5,2563.4,225,84.5,9
0.329646,611.9,136.6,2213.9,121.6,2851.6,187.9,670.2,2267.9,2558.9,225.3,84.4,9.8
0.331646,635.2,126.0,2190.9,107.6,2838.1,176.8,671.1,2258.1,2554.5,225.5,84.4,10.6
0.333646,655.0,114.3,2172.9,96.8,2824.7,172.7,672.1,2248.1,2550.2,225.8,84.5,11.2
0.335646,670.3,103.2,2157.6,90.7,2813.5,174.4,673,2238,2545.9,226.1,84.6,11.3
0.337646,682.1,92.5,2140.3,89.2,2804.1,183.9,673.8,2227.8,2541.7,226.3,84.8,10.9
0.339646,690.0,83.3,2119.1,92.1,2793.8,203.6,674.7,2217.4,2537.5,226.6,84.9,10.2
0.341646,694.9,75.6,2093.2,96.2,2777.2,232.5,675.5,2206.9,2533.4,226.9,85,9.5
0.343646,697.8,70.1,2064.9,97.1,2750.7,265.6,676.3,2196.2,2529.4,227.2,85.1,9.2
0.345646,699.3,67.0,2039.9,92.9,2717.9,294.9,677,2185.5,2525.5,227.5,85.1,9.4
0.347646,700.5,66.5,2019.8,83.9,2682.8,316.1,677.7,2174.6,2521.7,227.8,85,10.1
0.349646,702.5,68.9,2007.5,73.4,2654.7,322.1,678.4,2163.5,2517.9,228.1,84.9,11.2
0.351646,705.6,73.3,2000.9,65.3,2635.9,319.5,679.1,2152.4,2514.2,228.5,84.7,12.2
0.353646,709.2,78.6,1996.8,62.1,2624.8,325.2,679.7,2141.1,2510.5,228.8,84.4,12.9
0.355646,712.4,83.3,1992.9,64.4,2620.2,351.1,680.4,2129.7,2507,229.1,84.1,12.8
0.357646,715.6,87.0,1986.5,73.5,2620.2,408.4,680.9,2118.2,2503.5,229.5,83.6,11.9
0.359646,718.9,88.0,1974.9,91.2,2621.4,512.7,681.5,2106.7,2500.1,229.8,83.1,10.6
0.361646,722.0,85.9,1954.2,117.4,2593.6,715.4,682,2095,2496.8,230.1,82.6,9.4
0.363646,725.1,82.8,1923.8,141.3,2446.9,797.3,682.5,2083.2,2493.6,230.5,82,8.7
0.365646,728.2,81.4,1894.7,148.9,2371.6,704.9,683,2071.3,2490.4,230.8,81.6,8.9
0.367646,731.1,82.6,1874.6,146.0,2326.8,642.5,683.5,2059.3,2487.4,231.1,81.2,10
0.369646,733.0,85.4,1864.6,141.5,2284.6,610.3,683.9,2047.2,2484.4,231.4,81,11.6
0.371646,733.5,87.4,1860.2,135.8,2247.6,592.5,684.3,2035.1,2481.5,231.6,80.9,13.3
0.373646,733.9,87.6,1858.7,123.6,2235.7,591.1,684.7,2022.9,2478.7,231.9,80.9,14.7
0.375646,735.3,87.2,1859.2,104.6,2266.0,608.8,685,2010.6,2475.9,232.1,81,15.3
0.377646,737.9,87.8,1860.7,84.4,2335.0,621.4,685.4,1998.2,2473.3,232.3,81.2,15.3
0.379646,740.3,88.9,1862.2,71.1,2396.8,609.6,685.6,1985.8,2470.7,232.5,81.3,15
0.381646,740.6,88.5,1863.7,66.7,2413.2,635.0,685.9,1973.3,2468.3,232.6,81.4,14.7
0.383646,739.3,87.3,1865.7,68.3,2392.4,719.3,686.2,1960.8,2465.9,232.7,81.5,14.5
0.385646,738.2,87.2,1867.8,71.5,2367.1,807.5,686.4,1948.2,2463.6,232.8,81.4,14.7
0.387646,738.2,88.5,1869.6,74.6,2365.8,878.2,686.6,1935.5,2461.4,232.8,81.3,15.2
0.389646,739.2,90.9,1871.0,78.4,2387.1,933.0,686.8,1922.9,2459.2,232.7,81,15.9
0.391646,740.8,94.1,1872.9,83.5,2405.5,993.9,686.9,1910.1,2457.2,232.7,80.8,16.5
0.393646,742.0,98.1,1875.2,88.8,2402.2,1080.0,687,1897.4,2455.3,232.5,80.4,17.1
0.395646,742.2,102.5,1877.1,91.6,2382.6,1180.4,687.1,1884.6,2453.4,232.4,80,17.4
0.397646,742.0,108.1,1878.8,92.2,2363.9,1301.8,687.2,1871.8,2451.6,232.2,79.6,17.7
0.399646,742.7,115.0,1881.4,92.7,2343.9,1463.9,687.3,1859,2450,231.9,79.1,17.9
0.401646,745.0,123.6,1885.2,95.2,2289.6,1644.5,687.3,1846.2,2448.4,231.6,78.6,17.9
0.403646,748.2,133.5,1887.8,99.6,2166.4,1731.3,687.3,1833.4,2446.9,231.2,78.1,17.6
0.405646,749.7,143.4,1884.8,104.1,2025.6,1682.8,687.3,1820.5,2445.5,230.9,77.6,16.7
0.407646,747.9,152.2,1873.4,107.8,1910.2,1563.4,687.2,1807.7,2444.2,230.4,77.1,15.2
0.409646,742.0,155.4,1825.6,1437.9,1856.5,109.5,687.2,1794.9,2442.9,230,76.7,13.4
0.411646,734.1,150.2,1763.3,1344.4,1838.3,109.2,687.1,1782.1,2441.8,229.5,76.3,11.4
0.413646,727.4,139.4,1735.6,1302.2,1820.2,110.3,687,1769.3,2440.8,228.9,75.9,9.6
0.415646,723.8,128.2,1767.5,1307.6,1801.7,117.7,686.9,1756.5,2439.8,228.4,75.6,8.2
0.417646,723.4,118.5,1780.1,134.2,1875.8,1314.9,686.8,1743.7,2439,227.8,75.3,6.9
0.419646,727.4,112.2,1757.8,157.1,2014.1,1237.1,686.6,1731,2438.2,227.2,75,5.8
0.421646,737.1,109.9,1735.5,179.2,2109.6,1086.6,686.4,1718.3,2437.6,226.6,74.8,4.7
0.423646,750.6,110.2,1714.2,188.5,2143.6,937.4,686.2,1705.7,2437,226,74.6,3.8
0.425646,762.7,111.3,1695.8,184.4,2136.1,820.6,686,1693.1,2436.5,225.4,74.2,3.8
0.427646,770.3,113.0,1677.0,175.3,2117.2,723.7,685.8,1680.6,2436.1,0,73.8,8.4
0.429646,770.4,116.2,1656.1,162.5,2121.4,660.8,685.5,1668.1,2435.8,0,73.2,13.9
0.431646,762.8,121.1,1633.5,143.0,2170.7,639.7,685.2,1655.6,2435.6,0,72.5,15.5
0.433646,749.4,125.7,1611.9,121.1,2262.8,642.7,684.9,1643.3,2435.5,0,71.5,8.4
0.435646,734.5,129.1,1596.1,104.7,2367.2,639.7,684.6,1631,2435.5,0,70.4,-12.8
0.437646,719.7,137.2,1588.2,97.2,2458.2,609.0,684.3,1618.8,2435.6,0,69.2,-51.7
0.439646,705.2,155.6,1588.3,102.1,2492.0,563.1,684,1606.7,2435.7,0,67.8,-100.1
0.441646,690.3,175.8,1589.5,123.7,2450.4,559.0,683.6,1594.6,2436,0,66.4,-148.5
0.443646,679.6,173.3,1580.8,171.6,2335.8,576.0,683.2,1582.6,2436.3,0,64.9,-187.2
0.445646,678.9,153.8,1553.3,250.9,2223.2,526.9,682.8,1570.8,2436.8,0,63.5,-208.1
0.447646,683.3,139.8,1501.5,334.7,2166.3,449.0,682.4,1559,2437.3,0,62.2,-214.7
0.449646,686.3,134.6,1459.2,324.6,2162.4,393.6,682,1547.4,2437.9,0,61,-212.5
0.451646,691.1,141.9,1446.7,265.5,2157.7,365.5,681.6,1535.8,2438.6,0,59.9,-206.3
0.453646,706.9,173.2,1437.4,248.5,2127.0,368.5,681.1,1524.4,2439.4,0,59,-200.9
0.455646,736.3,224.0,1424.7,283.8,2091.4,413.3,680.7,1513,2440.3,0,58.3,-200
0.457646,774.7,276.3,1421.6,342.8,2079.7,505.8,680.2,1501.8,2441.3,0,57.8,-200
0.459646,800.0,293.1,1429.6,358.5,2107.5,598.4,679.7,1490.8,2442.3,0,57.5,-200
0.461646,799.7,276.2,1429.5,318.6,2152.0,629.1,679.2,1479.8,2443.5,0,57.2,-200
0.463646,784.8,251.4,1421.5,273.5,2186.2,619.2,678.7,1469,2444.7,0,56.9,-200
0.465646,765.8,234.6,1413.0,251.4,2206.1,594.4,678.2,1458.3,2446,0,56.5,-200
0.467646,745.1,225.8,1405.6,257.2,2221.7,537.0,677.6,1447.8,2447.4,0,56,-200
0.469646,730.9,224.4,1399.8,303.3,2235.7,445.7,677.1,1437.4,2448.9,0,55.5,-200
0.471646,735.1,236.0,1395.9,434.1,2234.6,372.1,676.5,1427.2,2450.5,0,55.1,-200
0.473646,761.8,250.3,1383.2,749.4,2198.7,342.5,675.9,1417.2,2452.2,0,54.9,-200
0.475646,787.8,236.4,1288.2,1248.7,2139.1,293.4,675.4,1407.2,2453.9,0,54.9,-200
0.477646,790.7,203.8,1099.6,1572.7,2103.0,225.8,674.8,1397.5,2455.8,0,55,-200
0.479646,774.2,172.9,1013.4,1663.8,2089.5,198.4,674.2,1387.9,2457.7,0,55.1,-200
0.481646,751.2,141.9,1050.8,1714.1,2084.7,208.5,673.6,1378.5,2459.7,0,55.1,-200
0.483646,732.1,111.5,1177.9,1729.9,2084.8,256.0,672.9,1369.3,2461.7,0,55.1,-200
0.485646,721.8,90.6,1331.8,1648.4,2092.0,339.1,672.3,1360.2,2463.9,0,55,-200
0.487646,716.0,80.3,1442.9,1409.4,2108.9,436.0,671.7,1351.4,2466.1,0,54.7,-200
0.489646,711.6,76.9,1496.8,1178.6,2106.2,493.7,671,1342.7,2468.5,0,54.5,-200
0.491646,709.4,75.0,1576.9,1054.1,2058.8,538.6,670.4,1334.2,2470.8,0,54.1,-200
0.493646,711.0,73.4,1708.0,946.1,1981.1,622.0,669.7,1325.9,2473.3,0,53.7,-200
0.495646,716.6,72.4,1796.4,573.1,1972.7,981.5,669,1317.8,2475.9,0,53.3,-200
0.497646,725.6,71.1,1767.2,429.5,2090.8,1104.0,668.4,1309.9,2478.5,0,52.8,-200
0.499646,735.2,67.9,1761.4,366.9,2159.0,1175.5,667.7,1302.2,2481.2,0,52.2,-200
0.501646,741.6,63.3,1762.5,321.2,2200.0,1302.7,667,1294.7,2483.9,0,51.7,-200
0.503646,741.8,59.3,1756.3,272.6,2238.6,1445.9,666.3,1287.4,2486.8,0,51.2,-200
0.505646,736.0,57.6,1741.3,230.1,2286.1,1462.7,665.6,1280.3,2489.7,0,50.7,-200
0.507646,727.4,58.7,1727.8,199.6,2373.1,1370.4,664.9,1273.5,2492.7,0,50.1,-200
0.509646,722.3,65.0,1725.4,189.9,2532.8,1259.3,664.2,1266.8,2495.7,0,49.5,-200
0.511646,725.3,79.3,1734.5,212.8,2648.8,1037.3,663.4,1260.4,2498.8,0,48.8,-200
0.513646,738.4,104.9,1752.7,286.9,2586.3,1144.1,662.7,1254.2,2502,0,48,-200
0.515646,763.2,148.0,1775.6,431.2,2324.0,1209.5,662,1248.2,2505.2,0,47.2,-200
0.517646,808.1,223.5,1810.4,821.6,2028.3,863.1,661.2,1242.5,2508.5,0,46.5,-200
0.519646,874.2,298.5,1583.5,1304.4,2022.7,495.0,660.5,1236.9,2511.9,0,46.1,-200
0.521646,925.7,294.5,1441.7,1625.9,1998.9,400.0,659.7,1231.6,2515.4,0,45.9,-200
0.523646,935.6,259.0,1388.6,1918.7,1973.6,368.7,659,1226.6,2518.9,0,46,-200
