time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025448,1308.1,983.8,1826.9,1156.4,3455.3,536.1,638.5,1655.5,3013.4,0,44.2,-200
0.027448,1125.0,1125.9,1888.5,785.5,3479.1,604.7,638.5,1655.3,3013.3,0,43.8,-200
0.029448,956.0,1284.2,1906.5,662.1,3458.8,700.3,638.4,1654.9,3013.1,0,43.7,-200
0.031448,627.9,1411.9,1896.0,611.4,3402.3,767.1,638.3,1654.5,3012.8,0,43.9,-200
0.033448,467.0,904.6,1866.6,559.4,3331.2,821.0,638.1,1653.9,3012.4,0,44.2,-200
0.035448,459.5,706.8,1839.4,503.7,3244.8,897.8,637.9,1653.2,3012,0,44.6,-200
0.037448,472.0,632.9,1828.4,488.6,3144.4,952.7,637.7,1652.3,3011.5,0,44.8,-200
0.039448,496.2,637.1,1841.3,528.2,3086.7,911.4,637.5,1651.3,3010.9,0,45,-200
0.041448,527.3,665.7,1876.7,588.6,3065.1,828.8,637.2,1650.2,3010.2,0,45.1,-200
0.043448,560.0,682.9,1922.5,646.0,3065.4,773.7,636.9,1649,3009.4,0,45.2,-200
0.045448,592.4,724.0,1977.3,711.4,3102.4,730.6,636.5,1647.6,3008.6,0,45.1,-200
0.047448,648.2,872.9,2051.3,791.9,3169.7,654.8,636.2,1646.1,3007.7,0,44.9,-200
0.049448,800.6,1025.2,2111.8,855.4,3228.0,556.9,635.8,1644.5,3006.7,0,44.7,-200
0.051448,901.1,1089.0,2118.5,934.2,3266.9,492.7,635.3,1642.8,3005.7,0,44.4,-200
0.053448,896.4,1421.7,2045.3,1098.0,3292.5,503.4,634.8,1640.9,3004.5,0,44.1,-200
0.055448,489.9,1141.8,1841.3,1103.1,3293.3,611.2,634.3,1639,3003.3,0,43.7,-200
0.057448,523.5,783.2,1768.0,907.6,3182.8,846.2,633.8,1636.9,3002,0,43.2,-200
0.059448,518.8,712.4,1729.9,887.2,2958.2,827.5,633.2,1634.7,3000.7,0,42.5,-200
0.061448,468.6,808.6,1654.5,920.5,2802.6,700.2,632.6,1632.3,2999.2,0,42.1,-200
0.063448,402.8,910.1,1597.1,901.8,2731.0,611.1,632,1629.9,2997.7,0,42.1,-200
0.065448,403.7,905.4,1611.5,907.3,2732.1,615.3,631.3,1627.3,2996.1,0,42.4,-200
0.067448,466.1,798.0,1679.3,894.8,2784.7,666.0,630.6,1624.7,2994.5,0,42.8,-200
0.069448,528.2,620.9,1723.5,791.4,2844.2,694.8,629.9,1621.9,2992.8,0,43.2,-200
0.071448,575.2,464.6,1735.4,681.9,2896.3,676.1,629.1,1619,2991,0,43.2,-200
0.073448,613.4,356.2,1743.1,612.7,2945.8,593.2,628.3,1616,2989.1,0,43,-200
0.075448,638.6,304.2,1758.9,610.1,2975.2,500.5,627.5,1613,2987.2,0,42.9,-200
0.077448,646.9,312.5,1787.4,679.4,2977.6,467.9,626.6,1609.8,2985.2,0,42.9,-200
0.079448,633.0,381.6,1803.1,744.9,2958.0,517.2,625.8,1606.5,2983.1,0,43.5,-200
0.081448,613.6,453.6,1802.5,744.7,2962.0,634.7,624.8,1603.1,2981,0,45.3,-200
0.083448,624.6,336.1,1832.6,709.0,3114.1,818.1,623.9,1599.7,2978.8,0,48.1,-200
0.085448,621.7,173.2,1837.2,705.4,3435.7,671.1,622.9,1596.1,2976.6,0,51.2,-200
0.087448,605.6,106.5,1810.0,815.3,3509.9,355.5,621.9,1592.5,2974.3,0,53.9,-200
0.089448,589.5,80.5,1780.7,961.9,3526.2,252.8,620.8,1588.8,2971.9,0,56.2,-200
0.091448,575.2,64.6,1759.3,1118.2,3536.7,206.7,619.8,1585,2969.5,0,57.9,-200
0.093448,563.3,52.3,1781.1,1282.2,3543.5,180.1,618.7,1581.1,2967,0,59.1,-200
0.095448,554.4,42.6,1885.6,1344.5,3545.8,170.4,617.5,1577.2,2964.5,0,59.8,-200
0.097448,546.8,34.7,2009.2,1274.0,3544.1,181.8,616.4,1573.2,2961.9,0,60,-200
0.099448,539.9,29.6,2006.0,1553.3,2149.6,3269.5,615.2,1569.1,2959.2,0,59.7,-200
0.101448,537.2,31.5,1547.2,986.3,2831.9,1332.2,613.9,1564.9,2956.5,0,59.3,-200
0.103448,553.7,69.0,1399.6,636.9,2922.4,925.1,612.7,1560.7,2953.8,0,59.1,-200
0.105448,620.9,166.9,1263.5,551.9,2977.8,867.9,611.4,1556.4,2951,0,59.7,-200
0.107448,673.5,175.1,1205.3,523.8,3055.0,871.7,610.1,1552.1,2948.1,0,61.1,-200
0.109448,667.4,138.2,1197.8,534.9,3136.8,923.7,608.8,1547.7,2945.2,0,62.8,-200
0.111448,657.9,108.6,1230.9,637.8,3223.9,1072.1,607.4,1543.3,2942.3,0,64.3,-200
0.113448,651.8,85.5,1333.7,850.1,3243.3,1475.0,606,1538.9,2939.3,0,65.3,-200
0.115448,646.1,69.1,1549.1,1063.0,3081.3,2178.5,604.6,1534.4,2936.3,0,65.8,-200.9
0.117448,639.9,60.5,1751.9,1005.0,2612.2,2419.0,603.1,1529.8,2933.2,0,66,-206.3
0.119448,636.6,62.6,1725.8,885.5,2440.7,1606.2,601.7,1525.2,2930.1,0,65.7,-212.6
0.121448,642.3,80.1,1638.8,749.5,2471.7,1163.1,600.2,1520.6,2927,0,65.3,-214.8
0.123448,664.9,119.7,1573.6,721.4,2507.0,1039.1,598.6,1516,2923.8,0,65.5,-208.2
0.125448,703.6,177.1,1504.1,899.2,2515.9,1192.7,597.1,1511.3,2920.6,0,67.1,-187.1
0.127448,748.4,241.2,1283.5,1550.0,2346.2,1588.9,595.5,1506.7,2917.4,0,70,-148.1
0.129448,784.3,277.8,844.4,1327.1,2398.0,1599.5,593.9,1502,2914.1,0,73.1,-99.4
0.131448,639.6,484.8,904.3,349.7,2565.0,1193.4,592.3,1497.3,2910.8,0,75.9,-50.7
0.133448,574.5,275.5,953.9,205.6,2580.6,826.2,590.6,1492.6,2907.5,0,78.5,-11.5
0.135448,565.9,181.9,969.6,150.2,2560.9,658.4,588.9,1487.8,2904.1,186.6,80.6,9.6
0.137448,565.4,129.3,983.9,124.4,2536.5,589.7,587.2,1483.1,2900.7,186.5,82.4,16.2
0.139448,564.7,96.7,1000.3,109.9,2505.9,557.0,585.5,1478.4,2897.3,186.5,83.8,14
0.141448,563.3,74.5,1019.6,98.6,2469.2,522.6,583.7,1473.7,2893.9,186.5,84.9,7.9
0.143448,562.5,59.5,1039.6,88.8,2436.0,481.3,581.9,1469,2890.4,186.4,85.8,3
0.145448,563.5,51.0,1056.4,82.6,2417.7,452.1,580.1,1464.3,2886.9,186.4,86.3,3.2
0.147448,567.0,47.9,1069.7,81.7,2413.3,443.7,578.3,1459.7,2883.5,186.3,86.6,4.9
0.149448,572.5,49.1,1078.8,86.9,2415.8,442.5,576.5,1455,2880,186.3,86.7,7
0.151448,579.0,53.9,1085.3,98.3,2419.1,429.8,574.6,1450.4,2876.4,186.2,86.6,9.1
0.153448,586.3,62.4,1092.3,117.5,2422.0,413.7,572.7,1445.8,2872.9,186.1,86.3,11
0.155448,594.6,74.1,1103.7,143.9,2428.9,416.8,570.8,1441.3,2869.4,186,85.8,12.4
0.157448,604.4,88.6,1123.4,176.1,2447.0,451.9,568.9,1436.7,2865.8,185.9,85.3,13.6
0.159448,613.1,100.8,1147.8,199.5,2476.2,502.9,567,1432.3,2862.3,185.8,84.8,14.5
0.161448,618.6,108.3,1168.9,202.3,2509.6,541.2,565,1427.8,2858.7,185.6,84.3,15.3
0.163448,621.3,112.1,1183.6,188.5,2543.8,554.0,563,1423.4,2855.2,185.5,83.9,16.1
0.165448,622.4,114.1,1193.9,169.4,2577.2,540.5,561,1419.1,2851.6,185.3,83.5,16.8
0.167448,622.5,115.0,1203.2,151.3,2609.6,504.2,559,1414.8,2848,185.2,83.2,17.5
0.169448,622.2,115.3,1211.9,138.4,2633.1,464.6,557,1410.6,2844.5,185,82.9,18.1
0.171448,622.5,116.2,1219.8,131.7,2647.7,447.1,554.9,1406.4,2840.9,184.8,82.7,18.6
0.173448,623.7,118.5,1226.8,130.3,2657.9,466.5,552.9,1402.3,2837.3,184.5,82.4,18.9
0.175448,625.4,122.2,1233.8,132.4,2667.9,523.8,550.8,1398.3,2833.8,184.3,82.2,18.9
0.177448,626.1,126.4,1241.8,136.2,2678.7,617.1,548.7,1394.3,2830.2,184.1,82.1,18.6
0.179448,624.6,130.2,1250.3,140.9,2689.3,730.2,546.6,1390.5,2826.7,183.8,82,18.2
0.181448,620.7,134.8,1258.9,147.3,2708.4,851.6,544.5,1386.7,2823.2,183.5,81.9,17.6
