time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025104,422.7,88.1,2154.3,94.7,2691.5,298.5,349.9,1966.6,2692.9,114.3,77.7,5.4
0.027104,428.8,88.9,2145.1,93.3,2688.8,303.3,350,1966.3,2692.8,114,78.5,5.6
0.029104,433.6,94.9,2134.1,89.4,2677.5,298.3,350.1,1966,2692.6,113.8,79.2,5.7
0.031104,433.6,100.5,2127.0,81.4,2670.5,281.9,350.3,1965.4,2692.4,113.5,79.8,5.8
0.033104,428.7,98.3,2123.6,75.6,2667.9,274.8,350.5,1964.8,2692.2,113.3,80.3,5.9
0.035104,425.4,92.1,2119.2,77.9,2660.2,286.5,350.8,1964,2691.9,113,80.8,6.2
0.037104,427.4,89.8,2109.1,87.0,2642.5,294.6,351.2,1963,2691.6,112.7,81.2,6.9
0.039104,433.2,90.2,2095.5,91.4,2625.8,281.5,351.6,1961.9,2691.1,112.4,81.5,7.7
0.041104,435.8,84.3,2086.1,88.9,2617.3,274.8,352,1960.6,2690.7,112.1,81.8,8.7
0.043104,433.7,74.1,2082.8,88.4,2610.3,288.8,352.5,1959.2,2690.2,111.8,82.2,9.5
0.045104,431.9,67.6,2083.5,94.9,2590.2,306.2,353.1,1957.7,2689.6,111.5,82.5,10.1
0.047104,432.6,63.8,2085.9,104.7,2553.0,291.6,353.7,1956,2689,111.2,82.9,10.2
0.049104,433.0,57.4,2087.8,105.6,2527.6,261.3,354.3,1954.2,2688.3,110.9,83.2,10.1
0.051104,430.7,47.6,2088.7,102.9,2517.4,263.3,355,1952.2,2687.6,110.6,83.6,9.9
0.053104,428.7,42.4,2090.3,103.1,2525.5,323.2,355.8,1950.1,2686.8,110.3,83.9,9.7
0.055104,430.1,45.9,2093.2,100.9,2576.3,449.1,356.6,1947.8,2686,110,84.3,9.8
0.057104,434.3,53.8,2092.8,96.1,2665.9,571.8,357.4,1945.4,2685.1,109.7,84.6,10.2
0.059104,435.8,55.7,2092.0,95.1,2729.2,634.3,358.3,1942.9,2684.1,109.4,84.9,10.8
0.061104,433.0,50.7,2091.1,95.5,2766.7,714.7,359.2,1940.2,2683.2,109.1,85.1,11.4
0.063104,430.1,47.6,2085.4,93.4,2792.5,854.5,360.2,1937.4,2682.1,108.8,85.3,12
0.065104,429.7,51.8,2075.9,86.7,2808.3,961.6,361.3,1934.5,2681,108.6,85.4,12.3
0.067104,429.8,61.4,2069.3,80.0,2818.2,960.8,362.4,1931.4,2679.9,108.3,85.5,12.2
0.069104,426.2,65.3,2066.5,77.8,2825.6,916.7,363.5,1928.2,2678.7,108,85.5,12
0.071104,420.4,63.1,2060.0,80.0,2847.7,837.9,364.7,1924.8,2677.5,107.8,85.5,11.5
0.073104,416.9,67.1,2041.1,84.1,2843.7,604.8,365.9,1921.4,2676.2,107.5,85.4,11.1
0.075104,416.3,84.3,2017.0,82.5,2805.2,428.6,367.1,1917.8,2674.9,107.3,85.3,10.7
0.077104,413.6,108.2,2003.3,78.9,2791.1,364.9,368.4,1914.1,2673.5,107.1,85.1,10.3
0.079104,403.4,113.4,2002.3,78.6,2787.5,362.8,369.8,1910.2,2672.1,106.9,84.9,10
0.081104,391.9,99.1,2009.0,84.5,2769.8,375.6,371.2,1906.2,2670.6,106.7,84.6,9.7
0.083104,385.9,87.9,2021.8,106.4,2708.7,392.4,372.6,1902.1,2669.1,106.5,84.3,9.3
0.085104,386.7,88.2,2034.9,151.3,2614.0,383.5,374.1,1897.9,2667.5,106.3,84,9
0.087104,390.1,91.5,2038.9,205.5,2536.8,345.6,375.6,1893.6,2665.9,106.1,83.6,8.6
0.089104,387.4,86.7,2038.7,240.0,2508.5,328.2,377.2,1889.2,2664.3,106,83.2,8.3
0.091104,379.3,78.2,2045.4,261.8,2522.0,341.7,378.7,1884.6,2662.6,105.9,82.8,8
0.093104,372.4,75.4,2043.5,297.6,2557.5,334.8,380.4,1879.9,2660.8,105.7,82.5,7.6
0.095104,366.8,82.2,2007.0,364.5,2572.8,270.0,382,1875.2,2659.1,105.6,82.3,7.2
0.097104,353.7,93.8,1947.4,414.8,2574.0,199.6,383.7,1870.3,2657.2,105.5,82.2,6.6
0.099104,331.2,90.1,1904.2,428.0,2572.6,162.6,385.4,1865.3,2655.4,105.4,82.3,5.8
0.101104,314.1,73.0,1883.8,448.7,2574.7,145.6,387.2,1860.2,2653.5,105.3,82.5,5.1
0.103104,308.4,60.6,1880.6,506.8,2582.0,133.9,389,1855,2651.6,105.2,82.8,4.7
0.105104,309.9,55.1,1883.2,560.4,2590.0,122.2,390.8,1849.7,2649.6,105.2,83,4.9
0.107104,311.6,49.8,1886.3,544.4,2599.5,116.5,392.7,1844.4,2647.6,105.1,83.2,6.1
0.109104,308.5,42.8,1893.4,446.8,2613.3,124.7,394.6,1838.9,2645.5,105,83.4,7.9
0.111104,304.6,38.0,1897.8,317.8,2634.2,143.4,396.5,1833.3,2643.5,104.9,83.4,10.1
0.113104,304.2,38.3,1887.0,222.4,2654.3,154.8,398.4,1827.7,2641.4,104.9,83.4,12.2
0.115104,306.1,41.8,1866.7,173.0,2662.6,148.9,400.4,1821.9,2639.2,104.8,83.3,13.7
0.117104,306.4,43.7,1841.6,147.4,2663.6,136.2,402.4,1816.1,2637,104.8,83.2,14.7
0.119104,304.3,40.3,1814.7,137.6,2663.7,130.0,404.4,1810.2,2634.8,104.7,83,15.4
0.121104,304.7,36.8,1787.7,136.6,2666.4,132.0,406.4,1804.2,2632.6,104.6,82.9,15.8
0.123104,309.1,37.6,1766.1,133.1,2670.9,129.7,408.5,1798.2,2630.3,104.6,82.8,16.1
0.125104,313.3,40.0,1754.1,124.7,2672.8,121.2,410.5,1792.1,2628,104.5,82.7,16.3
0.127104,313.1,39.4,1750.9,119.3,2668.7,118.4,412.6,1785.9,2625.7,104.5,82.7,16.2
0.129104,310.7,36.7,1759.9,123.5,2654.5,133.4,414.7,1779.6,2623.3,104.4,82.7,15.8
0.131104,312.3,38.1,1774.6,132.0,2632.2,161.9,416.9,1773.3,2621,104.4,82.7,15.4
0.133104,317.4,44.8,1778.6,132.9,2614.9,180.7,419,1766.9,2618.6,104.3,82.8,14.9
0.135104,320.5,51.0,1771.3,128.6,2610.9,185.9,421.2,1760.5,2616.1,104.3,82.8,14.7
0.137104,316.6,49.7,1758.6,124.7,2617.0,187.3,423.4,1754,2613.7,104.2,82.9,14.5
0.139104,309.2,41.3,1744.3,124.5,2629.0,186.6,425.5,1747.5,2611.2,104.2,82.9,14.5
0.141104,305.0,34.8,1729.0,126.0,2641.4,173.9,427.7,1740.9,2608.7,104.2,82.9,14.5
0.143104,305.7,34.4,1713.8,119.9,2646.6,151.7,429.9,1734.2,2606.2,104.2,82.9,14.6
0.145104,308.2,37.2,1703.1,108.4,2644.9,140.1,432.1,1727.5,2603.7,104.2,82.8,14.5
0.147104,307.7,38.5,1697.6,102.6,2637.9,144.4,434.4,1720.8,2601.1,104.2,82.8,14.5
0.149104,304.8,37.0,1694.9,107.4,2624.2,160.9,436.6,1714.1,2598.5,104.2,82.7,14.4
0.151104,303.8,35.5,1688.3,117.2,2606.5,168.5,438.8,1707.3,2596,104.3,82.7,14.3
0.153104,305.8,36.0,1674.0,119.3,2599.7,151.7,441,1700.5,2593.4,104.3,82.6,14.2
0.155104,308.2,36.6,1657.5,112.8,2605.6,133.1,443.3,1693.6,2590.8,104.4,82.6,13.8
0.157104,310.0,35.0,1643.7,110.7,2613.2,130.8,445.5,1686.7,2588.1,104.4,82.7,13.3
0.159104,314.2,34.7,1636.9,127.1,2610.2,155.4,447.7,1679.9,2585.5,104.5,82.7,12.6
0.161104,322.1,38.3,1633.6,155.6,2584.5,197.1,450,1672.9,2582.8,104.6,82.8,11.7
0.163104,331.6,42.6,1625.2,168.9,2547.0,217.4,452.2,1666,2580.2,104.7,82.8,10.9
0.165104,338.1,42.8,1612.4,163.8,2517.8,215.0,454.4,1659.1,2577.5,104.8,82.8,10
0.167104,339.6,39.8,1602.0,163.7,2494.5,210.0,456.7,1652.1,2574.9,104.9,82.8,9.1
0.169104,341.1,40.5,1599.3,186.7,2479.7,194.9,458.9,1645.2,2572.2,105,82.7,8.2
0.171104,349.1,48.9,1604.2,220.6,2486.4,164.5,461.1,1638.3,2569.5,105.1,82.7,7.2
0.173104,365.5,60.4,1606.8,228.5,2502.6,134.1,463.3,1631.3,2566.8,105.2,82.6,6.2
0.175104,383.8,68.2,1602.5,209.2,2518.2,115.9,465.4,1624.4,2564.1,105.3,82.6,5.3
0.177104,401.2,81.0,1593.2,185.8,2532.5,109.7,467.6,1617.4,2561.4,105.4,82.7,4.3
0.179104,424.2,107.3,1583.3,170.1,2540.5,107.9,469.8,1610.5,2558.7,105.5,82.8,3.2
0.181104,460.1,127.2,1575.7,156.2,2543.1,103.2,471.9,1603.6,2556,105.6,83.1,2.1
0.183104,493.4,114.3,1570.7,140.2,2544.5,96.3,474,1596.7,2553.4,105.6,83.4,1.3
0.185104,508.8,90.5,1566.0,130.1,2546.5,92.1,476.2,1589.8,2550.7,105.7,83.7,1
0.187104,516.8,75.9,1561.5,134.6,2549.2,92.0,478.3,1583,2548,105.7,84,1.4
0.189104,525.8,75.2,1557.4,156.4,2546.1,93.3,480.3,1576.2,2545.3,105.8,84.3,2.2
0.191104,535.2,79.5,1547.1,180.4,2532.9,92.2,482.4,1569.4,2542.6,105.8,84.6,3.3
0.193104,539.5,76.6,1528.3,187.8,2521.2,86.8,484.4,1562.6,2540,105.8,84.8,4.4
0.195104,539.8,67.7,1504.9,186.4,2516.4,82.1,486.4,1555.9,2537.3,105.8,84.9,5.3
0.197104,541.1,62.8,1478.8,193.4,2515.5,83.8,488.4,1549.2,2534.7,105.8,84.9,5.9
0.199104,545.7,69.8,1447.9,219.9,2513.3,95.0,490.4,1542.5,2532,105.8,84.7,6.3
0.201104,551.0,92.4,1418.5,257.9,2506.0,106.8,492.3,1535.9,2529.4,105.7,84.5,6.7
0.203104,551.2,123.1,1394.7,286.2,2499.7,108.3,494.2,1529.4,2526.8,105.7,84.1,7.2
0.205104,547.3,147.1,1377.5,304.3,2499.5,107.7,496.1,1522.9,2524.2,105.7,83.8,7.6
0.207104,551.1,172.9,1365.8,334.4,2505.1,117.3,498,1516.5,2521.6,105.6,83.4,8.2
0.209104,572.1,214.6,1356.7,377.1,2511.7,139.6,499.8,1510.1,2519,105.6,83.2,8.8
0.211104,595.5,250.5,1341.3,397.4,2512.4,157.0,501.6,1503.7,2516.4,105.6,83.1,9.4
0.213104,597.5,254.2,1317.9,377.8,2509.2,161.3,503.3,1497.5,2513.9,105.5,83.1,10
0.215104,584.3,236.1,1293.1,339.9,2508.5,164.4,505,1491.3,2511.4,105.5,83.1,10.4
0.217104,576.3,220.0,1272.7,312.1,2511.5,177.9,506.7,1485.1,2508.9,105.5,83.2,10.8
0.219104,580.0,208.8,1253.0,294.9,2508.5,200.0,508.4,1479.1,2506.4,105.5,83.3,11
0.221104,584.1,192.3,1232.4,273.5,2494.5,208.7,510,1473.1,2503.9,105.5,83.4,11.2
0.223104,577.3,178.4,1210.8,252.4,2485.5,206.2,511.6,1467.2,2501.5,105.5,83.5,11.4
0.225104,565.3,178.8,1187.9,240.2,2485.2,212.1,513.1,1461.4,2499.1,105.5,83.6,11.6
0.227104,559.9,202.0,1165.1,242.9,2487.3,228.3,514.6,1455.6,2496.7,105.6,83.7,11.8
0.229104,566.2,243.0,1142.0,258.2,2488.6,236.6,516.1,1450,2494.3,105.6,83.8,12.1
0.231104,573.5,258.5,1126.2,272.0,2494.7,228.5,517.5,1444.4,2492,105.6,83.9,12.4
0.233104,570.5,242.3,1121.0,287.0,2510.3,219.5,518.9,1438.9,2489.7,105.7,84,12.7
0.235104,565.7,229.9,1123.7,318.5,2532.2,223.5,520.2,1433.5,2487.4,105.8,84,13
0.237104,569.4,241.7,1130.8,370.2,2553.8,253.1,521.5,1428.2,2485.1,105.9,84,13.4
0.239104,583.5,281.5,1128.2,413.4,2565.8,306.0,522.8,1423,2482.9,106,84,13.8
0.241104,591.2,313.8,1110.8,418.2,2570.1,344.5,524,1417.9,2480.7,106.1,84,14.1
0.243104,578.2,305.8,1090.5,386.7,2571.2,341.9,525.1,1412.9,2478.6,106.2,83.9,14.4
0.245104,558.8,279.9,1067.5,346.9,2565.4,302.5,526.2,1408.1,2476.4,106.3,83.8,14.6
0.247104,544.2,268.6,1036.1,301.2,2548.7,240.8,527.3,1403.3,2474.3,106.4,83.7,14.5
0.249104,534.7,279.5,1008.1,250.5,2533.4,196.7,528.3,1398.6,2472.3,106.6,83.5,14.3
0.251104,525.1,295.6,993.3,222.5,2529.8,183.4,529.3,1394,2470.2,106.7,83.4,14
0.253104,522.3,323.0,990.3,248.2,2536.1,187.0,530.2,1389.6,2468.2,106.9,83.3,13.6
0.255104,537.1,359.7,1001.3,343.5,2538.0,206.1,531.1,1385.3,2466.3,107.1,83.2,13.4
0.257104,560.0,369.7,1040.1,484.5,2529.3,250.3,531.9,1381.1,2464.4,107.3,83.1,13.3
0.259104,557.6,359.6,1077.6,502.8,2517.3,306.2,532.7,1377,2462.5,107.5,83,13.2
0.261104,535.4,347.4,1082.5,420.8,2508.4,359.3,533.4,1373,2460.6,107.7,82.9,13.2
0.263104,510.7,314.9,1080.5,345.6,2499.7,395.4,534,1369.1,2458.8,107.9,82.8,13.2
0.265104,496.0,273.9,1082.2,308.7,2481.8,388.2,534.7,1365.4,2457.1,108.1,82.8,13.2
0.267104,493.2,239.4,1088.3,309.7,2464.7,351.6,535.2,1361.8,2455.3,108.3,82.7,13.2
0.269104,495.3,222.2,1089.3,341.6,2460.0,336.2,535.7,1358.4,2453.7,108.5,82.7,13.2
0.271104,493.7,222.0,1072.0,386.7,2445.8,348.0,536.2,1355,2452,108.8,82.6,13.3
0.273104,492.2,239.7,1032.5,447.5,2401.8,340.7,536.6,1351.8,2450.4,109,82.6,13.3
0.275104,502.1,275.3,972.1,550.3,2361.1,295.7,536.9,1348.8,2448.9,109.3,82.6,13.4
0.277104,532.5,311.7,877.6,732.7,2342.8,267.1,537.2,1345.8,2447.4,109.6,82.6,13.5
0.279104,556.7,304.5,790.9,929.8,2342.6,276.2,537.5,1343,2445.9,109.8,82.6,13.8
0.281104,542.3,297.7,800.5,964.0,2355.8,312.4,537.6,1340.4,2444.5,110.1,82.5,13.9
0.283104,507.5,293.3,897.0,864.6,2378.7,346.1,537.8,1337.9,2443.1,110.4,82.4,14
0.285104,479.9,282.2,991.0,753.6,2399.9,341.3,537.9,1335.5,2441.8,110.7,82.3,13.7
0.287104,463.2,275.8,1038.1,694.3,2414.0,318.5,537.9,1333.2,2440.5,111.1,82.2,13
0.289104,452.3,282.2,1049.4,707.9,2425.2,306.5,537.8,1331.1,2439.2,111.4,82,12
0.291104,459.6,332.4,1022.1,885.3,2432.2,325.5,537.7,1329.2,2438,111.7,81.8,10.8
0.293104,546.8,428.7,750.1,1990.6,2432.0,395.5,537.6,1327.4,2436.9,112,81.5,9.7
0.295104,639.3,322.4,2346.4,1793.5,2420.0,572.7,537.4,1325.7,2435.8,112.4,81.3,9
0.297104,668.2,274.7,2252.6,759.7,2633.2,883.8,537.1,1324.2,2434.8,112.7,81.1,8.7
0.299104,699.1,295.0,2208.9,730.0,2675.5,740.4,536.8,1322.9,2433.8,113,81,8.6
0.301104,768.1,338.6,2251.3,809.1,2632.0,756.0,536.5,1321.6,2432.8,113.4,81,8.8
0.303104,851.8,322.2,2368.2,738.0,2575.1,991.0,536,1320.6,2431.9,113.7,81.1,9
0.305104,892.1,309.7,2391.7,515.2,2677.2,1760.8,535.6,1319.7,2431.1,114.1,81.3,9.4
0.307104,901.4,357.8,2391.4,416.1,2549.7,3362.1,535,1318.9,2430.3,114.4,81.4,10
0.309104,894.8,453.8,2004.7,4192.5,2390.9,395.8,534.5,1318.3,2429.5,114.7,81.6,10.9
0.311104,862.2,538.7,1907.2,3031.4,2405.5,430.9,533.8,1317.8,2428.8,115.1,81.7,11.8
0.313104,831.6,576.6,1874.0,2424.2,2437.1,452.6,533.1,1317.5,2428.2,115.4,81.7,12.6
0.315104,829.8,644.6,1626.7,2631.4,2455.6,410.0,532.4,1317.3,2427.6,115.7,81.8,12.9
0.317104,656.2,3599.0,881.5,739.4,2457.1,338.0,531.6,1317.3,2427,116,81.8,12.7
0.319104,897.0,676.6,2457.2,282.5,3230.2,520.8,530.7,1317.5,2426.5,116.3,81.8,12
0.321104,856.5,551.2,901.2,3946.7,2465.5,258.9,529.8,1317.8,2426.1,116.6,81.8,11.1
0.323104,836.1,468.3,1509.3,3224.6,2486.9,254.0,528.9,1318.2,2425.7,116.9,81.7,10.4
0.325104,820.7,457.2,1716.0,2598.7,2524.1,245.9,527.8,1318.8,2425.4,117.1,81.7,10.1
0.327104,799.2,478.4,1818.5,1982.7,2564.9,212.8,526.8,1319.5,2425.1,117.4,81.8,10.3
0.329104,782.8,507.5,1839.1,1691.1,2584.5,176.4,525.7,1320.4,2424.9,117.6,81.9,10.8
0.331104,773.1,585.7,1765.9,1790.5,2588.6,158.0,524.5,1321.5,2424.7,117.9,82,11.4
0.333104,771.0,791.1,1501.8,2082.0,2587.2,150.5,523.3,1322.7,2424.5,118.1,82.2,12.1
0.335104,790.5,1147.3,1180.0,1861.5,2583.4,142.3,522,1324.1,2424.5,118.3,82.4,12.7
0.337104,805.5,1202.3,1203.0,1533.1,2575.9,129.0,520.7,1325.6,2424.4,118.5,82.6,13.2
0.339104,912.7,1771.0,1007.6,1064.7,2565.6,120.3,519.4,1327.2,2424.5,118.7,82.8,13.7
0.341104,64.9,832.9,1074.0,680.1,2551.1,124.7,518,1329,2424.5,118.9,83,14.2
0.343104,233.3,508.0,1083.7,502.5,2525.2,142.6,516.5,1331,2424.7,119.1,83.2,14.7
0.345104,253.0,388.3,1091.1,422.2,2488.8,157.5,515,1333.1,2424.9,119.3,83.3,15
0.347104,258.6,325.1,1102.1,381.8,2464.7,155.0,513.5,1335.3,2425.1,119.5,83.4,15.3
0.349104,260.8,267.5,1112.3,361.8,2455.7,146.2,511.9,1337.7,2425.4,119.7,83.4,15.5
0.351104,262.2,230.9,1123.4,393.3,2446.8,138.6,510.2,1340.3,2425.7,119.9,83.4,15.7
0.353104,266.4,224.9,1144.2,508.9,2431.7,129.6,508.6,1343,2426.1,120.1,83.4,15.8
0.355104,273.9,234.0,1178.5,688.7,2425.4,120.3,506.9,1345.8,2426.5,120.3,83.2,15.9
0.357104,277.8,236.3,1205.1,805.2,2432.1,115.3,505.1,1348.8,2427,120.5,83.1,15.9
0.359104,273.9,220.4,1197.1,768.5,2437.4,116.2,503.3,1351.9,2427.5,120.7,82.9,15.9
0.361104,267.8,198.5,1190.5,681.5,2430.1,121.1,501.5,1355.1,2428.1,120.9,82.7,15.9
0.363104,265.1,175.0,1206.5,639.6,2417.1,121.1,499.6,1358.5,2428.8,121.1,82.6,15.8
0.365104,266.3,143.9,1228.1,641.7,2412.1,116.9,497.7,1362,2429.4,121.4,82.4,15.7
0.367104,270.0,125.0,1230.8,696.2,2416.7,113.3,495.7,1365.7,2430.2,121.6,82.3,15.6
0.369104,277.4,132.5,1197.1,795.4,2422.4,105.9,493.7,1369.5,2431,121.9,82.2,15.4
0.371104,285.1,153.5,1133.7,807.5,2422.6,92.6,491.7,1373.5,2431.8,122.1,82.1,15.2
0.373104,285.2,155.7,1092.1,682.6,2421.1,81.8,489.7,1377.5,2432.7,122.4,82,15
0.375104,278.3,138.6,1091.8,551.7,2420.1,83.0,487.6,1381.7,2433.6,122.6,81.9,14.9
0.377104,270.5,126.1,1112.9,475.3,2417.3,101.1,485.5,1386,2434.6,122.9,81.9,15
0.379104,263.5,127.8,1139.1,436.8,2411.5,135.0,483.3,1390.5,2435.6,123.2,81.7,15.3
0.381104,257.8,137.7,1153.2,419.9,2405.6,169.5,481.1,1395.1,2436.7,123.5,81.6,15.6
0.383104,255.3,141.6,1152.0,419.3,2394.9,191.9,478.9,1399.8,2437.8,123.7,81.4,15.7
0.385104,256.0,144.0,1141.1,437.0,2368.4,196.2,476.7,1404.6,2438.9,124,81.2,15.4
0.387104,258.1,163.5,1141.6,475.4,2345.3,180.4,474.4,1409.5,2440.1,124.3,80.9,14.5
0.389104,260.4,197.7,1169.8,500.5,2332.5,160.2,472.1,1414.6,2441.4,124.6,80.6,13.3
0.391104,268.3,206.3,1226.7,447.7,2322.3,141.0,469.8,1419.8,2442.7,124.9,80.4,11.9
0.393104,294.2,183.9,1297.5,364.5,2317.8,124.9,467.5,1425.1,2444,125.2,80.3,10.5
0.395104,337.1,158.1,1376.1,304.2,2326.1,116.1,465.2,1430.5,2445.4,125.5,80.3,9.1
0.397104,380.9,142.2,1452.8,261.3,2344.6,104.9,462.8,1436,2446.8,125.8,80.6,7.6
0.399104,417.3,132.6,1509.5,223.6,2361.1,86.7,460.4,1441.6,2448.2,126.1,81.1,5.9
0.401104,438.7,118.3,1531.2,202.2,2368.8,76.1,458,1447.3,2449.7,126.3,81.8,4.3
0.403104,446.3,99.6,1532.1,197.2,2373.0,78.3,455.6,1453.1,2451.3,126.6,82.6,3.1
0.405104,447.2,87.4,1533.5,197.0,2375.9,87.6,453.1,1459.1,2452.8,126.9,83.3,2.8
0.407104,447.0,85.0,1547.0,189.0,2375.7,91.0,450.7,1465.1,2454.5,127.2,83.9,3.7
0.409104,447.1,88.7,1567.0,169.3,2372.7,83.4,448.2,1471.2,2456.1,127.4,84.3,5.6
0.411104,445.3,91.4,1581.0,149.9,2368.0,73.3,445.7,1477.4,2457.8,127.7,84.6,7.9
0.413104,440.7,91.0,1590.1,142.1,2361.9,68.3,443.2,1483.7,2459.5,127.9,84.8,9.9
0.415104,436.4,94.9,1600.6,151.7,2352.8,71.1,440.7,1490.1,2461.3,128.1,84.7,11
0.417104,433.5,106.0,1611.2,176.7,2339.3,81.4,438.2,1496.6,2463.1,128.4,84.6,10.8
0.419104,428.3,119.0,1614.2,206.4,2320.9,95.0,435.7,1503.1,2464.9,128.6,84.2,10
0.421104,417.1,125.7,1609.2,226.3,2304.5,104.7,433.2,1509.8,2466.8,128.8,83.8,8.8
0.423104,401.7,128.8,1606.0,244.3,2297.0,113.9,430.7,1516.5,2468.7,129,83.2,7.5
0.425104,386.0,139.8,1609.6,277.0,2298.9,129.2,428.2,1523.3,2470.6,129.2,82.6,6.6
0.427104,370.7,170.4,1623.9,341.1,2310.0,150.6,425.7,1530.1,2472.5,129.4,81.9,5.9
0.429104,350.8,233.1,1663.7,460.2,2351.3,178.2,423.2,1537.1,2474.5,129.5,81.3,5.3
0.431104,329.1,270.4,1681.8,491.2,2411.5,157.6,420.6,1544.1,2476.6,129.7,80.7,4.7
0.433104,321.0,231.4,1649.2,343.6,2439.4,114.4,418.1,1551.1,2478.6,129.8,80.4,4.3
0.435104,332.2,187.5,1654.0,229.6,2452.6,95.2,415.6,1558.3,2480.7,129.9,80.4,4.1
0.437104,359.0,161.3,1685.8,192.5,2462.0,98.2,413.1,1565.4,2482.8,130.1,80.7,3.9
0.439104,393.1,137.9,1725.6,185.7,2473.2,107.4,410.6,1572.7,2484.9,130.1,81.3,3.9
0.441104,416.5,114.9,1755.1,181.3,2485.5,107.7,408.1,1580,2487,130.2,81.9,4.1
0.443104,425.6,98.5,1773.8,175.5,2496.3,103.4,405.7,1587.3,2489.2,130.3,82.5,4.4
0.445104,427.7,92.8,1790.7,167.8,2504.9,102.9,403.2,1594.7,2491.4,130.3,83.1,5
0.447104,429.4,98.4,1807.7,155.2,2508.7,105.3,400.7,1602.1,2493.6,130.3,83.5,5.8
0.449104,434.0,113.7,1819.9,139.6,2505.5,101.3,398.3,1609.6,2495.9,130.3,83.8,7
0.451104,440.0,130.2,1826.6,128.5,2498.1,86.6,395.9,1617.1,2498.1,130.3,84.1,8.4
0.453104,445.1,144.3,1833.8,124.1,2490.2,70.1,393.5,1624.6,2500.4,130.2,84.2,9.6
0.455104,450.0,161.1,1841.9,123.6,2483.1,59.2,391.1,1632.2,2502.7,130.1,84.4,10.7
0.457104,453.1,177.8,1846.6,122.3,2478.1,54.2,388.7,1639.8,2505,130,84.5,11.6
0.459104,450.9,184.8,1849.1,118.5,2474.6,52.7,386.4,1647.4,2507.4,129.9,84.5,12.5
0.461104,444.3,179.5,1852.3,113.1,2471.6,55.1,384,1655,2509.7,129.7,84.6,13.2
0.463104,438.6,171.4,1856.4,107.4,2467.8,59.7,381.7,1662.7,2512.1,129.5,84.6,13.6
0.465104,435.6,161.8,1858.2,103.0,2464.4,61.7,379.4,1670.4,2514.5,129.3,84.6,13.8
0.467104,434.5,147.8,1857.7,102.6,2463.5,61.0,377.2,1678.1,2516.9,129,84.6,13.4
0.469104,436.2,134.7,1857.6,110.4,2464.1,63.0,375,1685.8,2519.3,128.8,84.5,12.5
0.471104,441.7,130.0,1860.7,129.8,2464.6,70.5,372.8,1693.5,2521.7,128.5,84.5,11.4
0.473104,447.0,130.3,1865.9,155.7,2464.6,79.6,370.6,1701.2,2524.1,128.2,84.4,10.4
0.475104,448.8,129.5,1865.0,177.0,2464.9,84.6,368.4,1708.9,2526.6,127.9,84.3,9.9
0.477104,450.5,127.7,1848.3,183.3,2463.0,86.3,366.3,1716.6,2529,127.6,84.2,9.8
0.479104,454.8,125.2,1815.6,171.7,2452.2,90.3,364.3,1724.3,2531.5,127.2,84,10.1
0.481104,457.9,120.0,1784.6,157.9,2427.3,100.7,362.2,1732,2533.9,126.9,83.8,10.6
0.483104,455.4,113.5,1764.1,156.9,2398.7,114.7,360.2,1739.7,2536.4,126.5,83.6,10.9
0.485104,450.5,111.0,1754.8,170.6,2382.2,136.9,358.2,1747.4,2538.8,126.1,83.2,10.8
0.487104,447.8,115.6,1757.2,198.0,2380.1,175.7,356.3,1755.1,2541.3,125.7,82.9,10.2
0.489104,446.7,131.5,1775.0,238.6,2392.5,231.6,354.4,1762.7,2543.8,125.3,82.5,9.1
0.491104,443.3,160.2,1807.1,281.0,2418.9,271.0,352.5,1770.3,2546.3,124.9,82,8
0.493104,434.3,197.8,1837.9,313.1,2444.1,277.3,350.7,1777.9,2548.7,124.5,81.7,7.1
0.495104,416.1,243.2,1849.9,328.4,2459.0,266.2,348.9,1785.4,2551.2,124.1,81.4,6.6
0.497104,384.1,282.1,1841.6,344.9,2460.5,238.3,347.2,1793,2553.7,123.7,81.2,6.7
0.499104,340.2,267.7,1815.2,370.3,2452.7,193.5,345.5,1800.5,2556.2,123.3,81.2,7.1
0.501104,310.1,209.7,1775.5,373.8,2445.1,154.9,343.8,1807.9,2558.6,122.8,81.3,7.8
0.503104,295.2,162.6,1737.5,345.3,2440.5,136.8,342.2,1815.3,2561.1,122.4,81.4,8.6
0.505104,289.1,133.9,1712.3,312.8,2437.6,139.2,340.7,1822.7,2563.6,122,81.6,9.6
0.507104,287.8,119.2,1707.7,287.6,2438.8,153.5,339.2,1830,2566,121.5,81.7,10.8
0.509104,289.0,119.6,1726.5,250.3,2450.9,168.3,337.7,1837.3,2568.5,121.1,81.7,12.3
0.511104,292.8,141.0,1751.2,197.3,2472.2,169.4,336.3,1844.5,2570.9,120.7,81.7,13.9
0.513104,297.7,175.5,1765.0,160.6,2491.8,162.5,334.9,1851.6,2573.3,120.2,81.7,15.2
0.515104,295.1,188.8,1769.0,159.1,2504.2,159.8,333.6,1858.7,2575.8,119.8,81.6,16
0.517104,285.0,166.2,1764.0,190.6,2506.5,159.8,332.3,1865.8,2578.2,119.3,81.5,16.1
0.519104,277.5,138.6,1746.6,256.6,2502.7,155.6,331.1,1872.7,2580.6,118.9,81.4,15.8
0.521104,278.1,129.1,1720.9,357.2,2501.8,150.1,330,1879.6,2583,118.4,81.3,15.1
