time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025427,507.5,648.8,1497.0,520.8,2464.5,389.3,569.7,1558.3,2254.2,0,43.5,-200
0.027427,454.2,357.7,1486.4,319.9,2464.0,554.1,569.7,1558.3,2254.2,0,45.9,-200
0.029427,424.0,193.0,1472.6,225.4,2173.3,771.9,569.7,1558.4,2254.3,0,48.1,-200
0.031427,402.5,135.4,1466.1,202.4,2041.5,769.8,569.7,1558.4,2254.4,0,50.1,-200
0.033427,383.2,118.6,1471.3,196.4,1976.4,916.8,569.7,1558.5,2254.6,0,51.6,-200
0.035427,364.9,122.0,1482.2,175.6,1974.9,1355.0,569.6,1558.7,2254.7,0,52.7,-200
0.037427,348.6,132.3,1480.0,155.8,2051.0,1886.2,569.6,1558.8,2254.9,0,53.3,-200
0.039427,330.7,135.7,1458.1,164.3,2218.2,1448.1,569.6,1559,2255.1,0,53.5,-200
0.041427,318.7,156.1,1439.2,165.4,2294.9,778.3,569.5,1559.2,2255.4,0,53.4,-200
0.043427,311.4,229.6,1445.0,170.8,2295.0,476.5,569.5,1559.5,2255.7,0,53.1,-200
0.045427,283.6,381.8,1466.9,205.2,2265.2,360.8,569.4,1559.7,2256,0,52.7,-200
0.047427,183.0,582.6,1502.2,275.0,2223.1,325.0,569.3,1560,2256.3,0,52.4,-200
0.049427,1584.7,354.5,2174.2,342.4,2767.4,110.8,569.3,1560.3,2256.7,0,52.4,-200
0.051427,1681.7,284.0,2150.9,403.7,2794.8,126.1,569.2,1560.6,2257.1,0,52.5,-200
0.053427,1696.4,198.4,2125.3,461.3,2808.7,139.5,569.1,1561,2257.5,0,52.7,-200
0.055427,1667.6,189.5,1978.4,2553.1,2033.6,541.0,569,1561.3,2258,0,53.2,-200
0.057427,1624.4,170.2,1955.9,467.4,2188.9,2142.8,568.9,1561.7,2258.5,0,53.6,-200
0.059427,1594.2,122.6,1954.9,387.3,2160.1,2516.3,568.8,1562.2,2259,0,54.1,-200
0.061427,1578.7,86.1,1903.7,3365.2,1976.8,356.4,568.7,1562.6,2259.5,0,54.9,-200
0.063427,1568.9,60.3,2011.1,346.4,2716.3,111.4,568.6,1563.1,2260.1,0,54.6,-200
0.065427,373.9,850.5,1561.1,42.9,2058.2,356.9,568.5,1563.6,2260.7,0,55,-200.9
0.067427,464.2,513.4,1557.1,36.1,2127.2,382.3,568.3,1564.1,2261.3,0,56,-206.5
0.069427,437.2,310.7,1556.7,39.9,2181.4,371.3,568.2,1564.6,2262,0,58.2,-212.9
0.071427,370.8,170.2,1558.7,61.8,2173.6,366.5,568.1,1565.2,2262.7,0,60.8,-215.1
0.073427,331.9,93.6,1556.4,128.1,2123.3,416.9,567.9,1565.8,2263.4,0,63.5,-208.3
0.075427,313.2,66.6,1533.6,321.2,2029.5,480.6,567.8,1566.4,2264.2,0,65.9,-186.8
0.077427,303.0,60.5,1431.2,640.2,1966.6,402.4,567.6,1567,2265,0,67.9,-146.9
0.079427,295.0,59.4,1274.0,812.4,1983.8,339.2,567.4,1567.7,2265.8,0,69.6,-97.1
0.081427,289.0,60.9,1215.5,893.9,2010.9,364.4,567.3,1568.3,2266.6,0,70.9,-47.3
0.083427,285.7,66.9,1284.8,1076.6,2031.3,511.8,567.1,1569,2267.5,0,71.9,-7.3
0.085427,286.0,79.3,1685.9,1060.5,2031.5,1154.1,566.9,1569.8,2268.4,0,72.6,14.2
0.087427,290.5,98.9,1676.6,590.0,2468.6,1339.8,566.7,1570.5,2269.3,115.9,73.1,20.9
0.089427,298.4,128.5,1657.0,466.4,2532.1,1180.9,566.5,1571.3,2270.2,115.8,73.4,18.5
0.091427,303.0,151.9,1642.4,407.6,2500.3,1187.4,566.3,1572.1,2271.2,115.6,73.7,12.1
0.093427,299.9,155.2,1635.1,373.5,2431.7,1336.1,566,1572.9,2272.2,115.5,73.9,7
0.095427,295.4,146.1,1644.8,365.4,2298.7,1654.5,565.8,1573.8,2273.3,115.4,74.1,7.2
0.097427,298.4,147.5,1669.3,369.2,2133.0,2102.2,565.6,1574.6,2274.3,115.2,74.3,9.2
0.099427,308.8,167.0,1674.2,345.4,2226.2,2641.5,565.3,1575.5,2275.4,115.1,74.5,11.6
0.101427,316.2,187.5,1652.8,304.7,2469.2,296.7,565.1,1576.4,2276.5,115,74.6,14
0.103427,317.1,193.2,1632.7,274.5,2455.2,285.5,564.8,1577.4,2277.7,114.9,74.7,15.8
0.105427,321.6,190.9,1624.4,272.9,2480.5,285.0,564.5,1578.3,2278.9,114.8,74.6,16.6
0.107427,340.0,194.6,1622.9,290.6,2507.8,307.6,564.2,1579.3,2280.1,114.7,74.6,16.4
0.109427,360.0,194.1,1616.5,303.1,2511.6,1011.3,563.9,1580.3,2281.3,114.7,74.4,15.7
0.111427,357.8,187.6,1603.3,296.5,2530.9,305.6,563.6,1581.3,2282.6,114.6,74.2,14.8
0.113427,340.1,173.6,1585.1,270.3,2527.9,267.0,563.3,1582.4,2283.8,114.6,74,13.9
0.115427,330.2,155.4,1556.7,230.5,2531.8,268.3,563,1583.4,2285.2,114.6,73.8,13.5
0.117427,334.4,148.6,1532.8,200.4,2530.8,311.8,562.7,1584.5,2286.5,114.6,73.6,13.1
0.119427,340.0,150.7,1521.9,177.6,2513.3,362.1,562.3,1585.6,2287.9,114.6,73.5,12.8
0.121427,337.0,150.1,1520.9,159.2,2496.5,387.4,562,1586.8,2289.3,114.7,73.3,12.6
0.123427,327.7,142.9,1525.5,151.1,2503.5,415.6,561.6,1587.9,2290.7,114.7,73.2,12.4
0.125427,299.0,154.4,1569.3,214.1,2598.1,530.9,561.3,1589.1,2292.1,114.8,73.1,12.3
0.127427,258.9,131.7,1750.4,414.9,2864.0,640.8,560.9,1590.3,2293.6,114.9,73,12.8
0.129427,244.9,142.0,1561.6,1592.4,1909.9,426.5,560.5,1591.5,2295.1,115,72.9,13.3
0.131427,238.2,233.4,1678.6,1232.0,1933.4,440.0,560.1,1592.7,2296.6,115.1,72.9,13.6
0.133427,224.4,490.3,1635.0,1614.2,1911.4,383.8,559.7,1594,2298.2,115.2,73.1,13.3
0.135427,342.2,739.7,1372.4,2988.7,1877.8,332.5,559.3,1595.3,2299.8,115.3,73.7,11.8
0.137427,497.3,357.8,1819.2,335.1,1845.2,2668.5,558.8,1596.6,2301.4,115.4,74.8,8.8
0.139427,527.8,166.1,1736.0,294.1,2058.0,2597.7,558.4,1597.9,2303,115.5,76.2,5.1
0.141427,534.5,100.2,1683.3,212.1,2011.7,4790.8,557.9,1599.3,2304.7,115.5,77.7,1.5
0.143427,538.0,72.5,1656.9,157.4,2671.4,233.5,557.4,1600.6,2306.3,115.6,79.1,-1.2
0.145427,542.4,59.6,1651.1,145.4,2658.6,195.8,557,1602,2308,115.6,80.3,-2.3
0.147427,550.9,56.8,1659.1,155.0,2659.9,194.9,556.5,1603.4,2309.8,115.6,81.4,-2
0.149427,566.1,57.1,1666.0,157.5,2669.2,187.8,556,1604.8,2311.5,115.5,82.3,-0.8
0.151427,580.4,53.6,1666.2,150.2,2681.5,170.1,555.5,1606.3,2313.3,115.4,83.1,0.6
0.153427,589.0,46.4,1663.2,141.7,2694.7,149.8,554.9,1607.8,2315.1,115.3,83.8,1.9
0.155427,593.6,39.4,1659.2,137.5,2709.0,139.0,554.4,1609.2,2316.9,115.2,84.4,2.4
0.157427,597.4,35.2,1655.8,139.2,2724.1,149.3,553.8,1610.8,2318.8,115,84.8,2.6
0.159427,602.7,32.7,1653.0,140.0,2740.9,172.9,553.3,1612.3,2320.7,114.9,85.2,2.5
0.161427,608.8,30.9,1652.9,135.3,2753.1,186.4,552.7,1613.8,2322.6,114.6,85.4,2.5
0.163427,615.1,29.6,1657.1,132.7,2760.6,195.1,552.1,1615.4,2324.5,114.4,85.6,2.8
0.165427,622.5,29.8,1664.4,141.7,2506.6,3231.0,551.5,1617,2326.5,114.1,85.6,3.6
0.167427,630.6,31.8,1666.4,156.3,2148.6,2563.8,550.9,1618.6,2328.4,113.8,85.6,4.9
0.169427,638.8,33.5,1661.2,162.8,2051.0,2171.8,550.3,1620.2,2330.4,113.5,85.6,6.5
0.171427,644.1,32.8,1655.1,160.9,1994.5,2211.1,549.6,1621.8,2332.5,113.2,85.6,8.2
0.173427,648.4,30.7,1648.4,162.9,1943.3,2380.8,549,1623.5,2334.5,112.9,85.6,9.6
0.175427,653.2,29.0,1637.4,182.0,1927.6,2253.5,548.3,1625.2,2336.6,112.5,85.6,10.6
0.177427,657.2,28.6,1622.4,202.5,1950.7,1957.7,547.6,1626.9,2338.6,112.2,85.6,11.5
0.179427,659.0,28.7,1610.5,202.5,1973.0,1908.8,546.9,1628.6,2340.8,111.8,85.6,12.2
0.181427,659.5,28.6,1604.3,196.3,1977.2,1991.1,546.2,1630.3,2342.9,111.4,85.6,12.7
0.183427,660.6,28.8,1595.1,207.9,1985.0,1783.4,545.5,1632.1,2345,111.1,85.6,12.9
0.185427,662.8,29.8,1572.7,232.2,2028.2,1318.4,544.8,1633.8,2347.2,110.7,85.5,12.6
0.187427,664.2,30.9,1551.0,230.4,2072.7,1074.0,544,1635.6,2349.4,110.4,85.4,11.7
0.189427,663.4,30.9,1541.2,214.6,2134.8,1058.2,543.3,1637.4,2351.6,110,85.3,10.4
0.191427,662.8,30.8,1535.1,196.2,2295.1,1070.0,542.5,1639.2,2353.9,109.7,85.2,9.1
0.193427,664.2,32.5,1524.9,176.9,2427.1,647.4,541.7,1641.1,2356.1,109.3,85.2,8.4
0.195427,667.0,35.7,1515.8,156.7,2399.1,430.5,540.9,1642.9,2358.4,109,85.2,8.5
0.197427,667.9,36.8,1513.8,139.2,2390.7,352.9,540.1,1644.8,2360.7,108.7,85.3,9.4
0.199427,666.4,35.3,1514.9,127.3,2392.4,317.6,539.3,1646.7,2363,108.4,85.3,10.8
0.201427,664.0,34.1,1514.8,127.4,2394.0,309.2,538.5,1648.6,2365.3,108.1,85.4,12.4
0.203427,661.6,35.3,1510.1,134.9,2377.6,315.2,537.6,1650.5,2367.7,107.8,85.4,13.6
0.205427,659.0,36.9,1502.2,132.8,2348.4,310.2,536.7,1652.5,2370.1,107.5,85.5,14.3
0.207427,656.5,35.3,1497.7,117.2,2334.2,285.7,535.9,1654.4,2372.4,107.3,85.6,14.6
0.209427,655.0,31.9,1495.1,98.3,2326.8,257.1,535,1656.4,2374.9,107,85.6,14.7
0.211427,654.3,30.1,1491.4,88.0,2315.8,238.2,534.1,1658.4,2377.3,106.8,85.6,14.7
0.213427,653.4,32.0,1485.7,86.9,2305.0,224.3,533.1,1660.4,2379.7,106.6,85.4,14.5
0.215427,650.8,36.3,1479.3,84.8,2303.9,206.3,532.2,1662.4,2382.2,106.3,85.2,14.2
0.217427,647.0,37.7,1475.2,75.6,2309.1,183.6,531.3,1664.4,2384.7,106.1,85.1,13.8
0.219427,644.7,36.0,1472.0,63.0,2313.4,160.6,530.3,1666.4,2387.2,105.9,84.9,13.1
0.221427,644.3,35.3,1468.4,54.9,2310.6,147.1,529.3,1668.5,2389.7,105.8,84.8,12.4
0.223427,641.9,37.8,1463.2,52.6,2302.5,138.9,528.4,1670.6,2392.2,105.6,84.7,11.7
0.225427,634.0,39.9,1456.9,51.7,2297.8,128.7,527.4,1672.7,2394.8,105.4,84.6,11.2
0.227427,625.5,37.3,1451.8,49.1,2297.9,119.3,526.3,1674.8,2397.3,105.3,84.5,10.6
0.229427,621.5,32.7,1447.8,47.7,2299.1,119.0,525.3,1676.9,2399.9,105.2,84.3,10.1
0.231427,621.8,31.0,1443.8,53.8,2298.4,142.9,524.3,1679,2402.5,105.1,84.1,9.5
0.233427,621.4,33.6,1437.3,71.4,2294.6,201.7,523.2,1681.1,2405.1,105,83.7,9
0.235427,614.7,38.7,1426.4,95.2,2291.6,273.5,522.2,1683.3,2407.7,104.9,83.3,8.3
0.237427,602.9,41.9,1413.8,109.8,2298.5,308.5,521.1,1685.5,2410.3,104.9,82.7,7.4
0.239427,590.0,43.7,1396.7,117.7,2309.7,322.7,520,1687.6,2413,104.8,82.1,6.5
0.241427,578.7,49.0,1373.5,122.3,2309.8,336.0,518.9,1689.8,2415.7,104.8,81.5,5.7
0.243427,565.5,62.5,1352.4,116.5,2302.0,329.9,517.8,1692,2418.3,104.8,80.8,5
0.245427,546.1,82.3,1341.2,104.1,2303.2,298.4,516.7,1694.2,2421,104.9,80,4.7
0.247427,527.9,92.4,1336.6,95.1,2318.7,263.9,515.6,1696.5,2423.7,104.9,79.3,4.7
0.249427,517.2,93.2,1332.2,98.3,2348.5,233.7,514.4,1698.7,2426.4,105,78.7,4.8
0.251427,513.7,94.8,1324.1,125.1,2372.0,217.3,513.3,1701,2429.1,105.1,78.1,5.1
0.253427,512.0,102.8,1315.3,172.0,2378.1,213.5,512.1,1703.2,2431.9,105.2,77.7,5.4
0.255427,508.0,115.2,1322.4,215.7,2376.4,210.2,510.9,1705.5,2434.6,105.3,77.3,5.8
0.257427,505.1,127.2,1348.9,226.8,2374.4,199.3,509.8,1707.8,2437.4,105.4,77,6.3
0.259427,506.7,138.9,1375.4,199.6,2374.2,174.5,508.6,1710.1,2440.1,105.6,76.8,6.8
0.261427,509.0,141.6,1380.3,161.5,2378.4,145.6,507.4,1712.4,2442.9,105.8,76.8,7.4
0.263427,503.4,126.2,1372.7,134.6,2387.2,127.3,506.1,1714.7,2445.7,106,76.9,8
0.265427,491.2,103.3,1365.4,124.4,2403.5,131.3,504.9,1717,2448.5,106.2,77,8.6
0.267427,481.0,88.8,1364.0,132.5,2434.8,171.9,503.7,1719.4,2451.3,106.4,77.2,9.3
0.269427,476.2,84.9,1371.5,143.0,2482.0,239.1,502.4,1721.7,2454.1,106.6,77.4,10
0.271427,474.9,88.7,1385.9,135.1,2501.8,261.6,501.2,1724.1,2456.9,106.9,77.7,10.6
0.273427,470.8,89.2,1402.2,119.5,2486.9,236.4,499.9,1726.5,2459.8,107.1,77.9,11
0.275427,465.6,83.8,1422.0,108.7,2456.8,200.1,498.7,1728.8,2462.6,107.4,78.2,11.2
0.277427,463.8,79.1,1446.4,105.1,2427.9,178.2,497.4,1731.2,2465.4,107.7,78.5,11.2
0.279427,463.4,76.9,1472.3,100.3,2409.7,165.0,496.1,1733.6,2468.3,107.9,78.9,11
0.281427,460.1,74.3,1490.3,93.2,2407.1,154.9,494.8,1736,2471.2,108.2,79.2,10.7
0.283427,455.0,69.9,1506.4,89.2,2412.3,147.9,493.5,1738.4,2474,108.5,79.5,10.5
0.285427,454.3,67.9,1531.5,95.1,2418.9,154.9,492.2,1740.8,2476.9,108.8,79.8,10.5
0.287427,461.7,73.0,1568.9,111.0,2426.3,176.6,490.9,1743.3,2479.7,109.1,80.1,10.5
0.289427,475.3,84.4,1614.0,123.9,2437.3,186.5,489.6,1745.7,2482.6,109.4,80.3,10.6
0.291427,485.0,93.4,1649.3,128.7,2445.4,176.7,488.3,1748.1,2485.5,109.7,80.6,10.7
0.293427,487.0,95.1,1683.5,140.3,2445.9,168.1,487,1750.6,2488.4,110,80.8,10.6
0.295427,484.9,91.3,1741.8,162.1,2442.2,172.3,485.6,1753,2491.3,110.3,80.9,10.5
0.297427,483.0,85.1,1812.4,153.0,2448.0,171.4,484.3,1755.5,2494.2,110.6,81,10.1
0.299427,476.1,77.8,1857.0,119.1,2461.7,154.2,483,1757.9,2497.1,111,81,9.7
0.301427,463.2,71.8,1873.4,100.2,2472.7,141.7,481.6,1760.4,2499.9,111.3,81,9.3
0.303427,448.9,66.1,1886.1,99.8,2481.5,144.7,480.3,1762.9,2502.8,111.6,80.9,8.9
0.305427,437.5,60.5,1908.7,118.7,2486.8,167.1,478.9,1765.4,2505.7,112,80.9,8.7
0.307427,432.4,58.5,1935.7,139.1,2488.0,189.5,477.6,1767.9,2508.6,112.4,80.8,8.6
0.309427,430.9,61.6,1958.9,149.8,2490.6,196.7,476.2,1770.4,2511.5,112.8,80.7,8.6
0.311427,432.1,69.1,1977.1,162.7,2494.4,196.2,474.9,1772.9,2514.4,113.1,80.6,8.6
0.313427,437.4,79.1,2006.8,194.1,2499.5,201.7,473.5,1775.4,2517.3,113.5,80.5,8.8
0.315427,447.1,89.4,2065.0,226.9,2515.1,214.8,472.1,1777.9,2520.2,114,80.4,9.2
0.317427,455.7,95.7,2116.4,219.0,2533.9,216.2,470.8,1780.4,2523.1,114.4,80.2,9.8
0.319427,455.6,98.4,2144.7,206.1,2539.0,216.3,469.4,1782.9,2526,114.8,80.1,10.6
0.321427,448.9,99.2,2167.0,215.1,2523.6,239.0,468.1,1785.4,2528.9,115.3,79.9,11.4
0.323427,443.4,98.8,2204.9,226.2,2496.3,284.4,466.7,1787.9,2531.8,115.8,79.8,12
0.325427,443.5,98.5,2245.6,194.2,2489.8,337.3,465.3,1790.5,2534.7,116.2,79.7,12.4
0.327427,445.2,99.1,2261.6,155.1,2509.3,358.0,464,1793,2537.6,116.7,79.6,12.4
0.329427,443.7,101.7,2270.3,136.1,2528.3,365.5,462.6,1795.5,2540.5,117.2,79.5,12.3
0.331427,440.9,107.1,2279.5,133.1,2538.8,370.9,461.3,1798.1,2543.3,117.7,79.5,12.1
0.333427,437.7,115.1,2289.2,132.0,2548.4,366.7,459.9,1800.6,2546.2,118.3,79.5,12
0.335427,430.8,119.7,2294.5,128.5,2562.3,355.2,458.6,1803.1,2549.1,118.8,79.5,12
0.337427,419.8,115.9,2295.1,131.8,2580.7,342.1,457.2,1805.7,2551.9,119.3,79.5,12.1
0.339427,409.2,110.8,2295.1,148.7,2612.8,318.4,455.9,1808.2,2554.8,119.9,79.6,12.3
0.341427,404.4,109.4,2299.8,169.1,2650.6,285.9,454.6,1810.8,2557.6,120.4,79.8,12.4
0.343427,404.5,109.5,2307.0,176.0,2682.2,258.1,453.2,1813.3,2560.5,121,79.9,12.4
0.345427,406.4,108.9,2308.3,176.3,2706.7,247.6,451.9,1815.9,2563.3,121.5,80.1,12.3
0.347427,410.8,111.6,2300.2,197.4,2723.4,267.1,450.6,1818.4,2566.1,122.1,80.3,11.9
0.349427,422.3,120.1,2277.9,264.8,2729.6,321.8,449.3,1821,2569,122.6,80.5,11.3
0.351427,436.8,125.8,2240.3,368.4,2721.2,372.8,448,1823.5,2571.8,123.2,80.7,10.9
0.353427,444.5,124.0,2210.8,460.7,2708.9,403.5,446.7,1826.1,2574.6,123.7,80.8,10.7
0.355427,444.6,117.7,2221.0,499.3,2694.2,449.2,445.4,1828.6,2577.4,124.2,81,11
0.357427,443.9,109.0,2233.0,477.6,2688.1,471.8,444.1,1831.2,2580.2,124.8,81.2,11.9
0.359427,442.0,98.3,2219.3,443.0,2697.4,434.5,442.8,1833.7,2582.9,125.3,81.3,13
0.361427,435.4,91.8,2191.7,417.3,2712.4,373.3,441.6,1836.3,2585.7,125.8,81.5,14.1
0.363427,423.7,93.0,2172.6,379.7,2733.5,321.9,440.3,1838.8,2588.4,126.3,81.6,14.9
0.365427,408.4,96.9,2183.7,313.9,2759.7,273.3,439.1,1841.4,2591.2,126.8,81.7,15.1
0.367427,397.2,93.9,2201.1,251.4,2765.5,241.3,437.8,1843.9,2593.9,127.3,81.9,14.7
0.369427,392.3,85.5,2207.8,217.1,2746.8,249.5,436.6,1846.4,2596.6,127.7,82.1,14
0.371427,390.7,76.2,2203.1,191.9,2716.7,252.8,435.4,1849,2599.3,128.1,82.3,13.3
0.373427,390.8,69.0,2197.0,161.6,2701.2,226.0,434.2,1851.5,2602,128.5,82.5,12.8
0.375427,391.2,64.0,2192.9,134.1,2704.6,192.8,433,1854.1,2604.7,128.9,82.8,12.9
0.377427,390.0,59.4,2187.6,116.5,2715.5,170.1,431.8,1856.6,2607.4,129.3,82.9,13.3
0.379427,388.0,54.9,2177.3,107.2,2727.3,159.1,430.7,1859.1,2610,129.6,83,14
0.381427,387.9,52.7,2163.8,104.0,2734.6,157.0,429.5,1861.6,2612.7,130,83,14.7
0.383427,389.9,52.7,2150.1,104.2,2738.0,157.5,428.4,1864.2,2615.3,130.3,83,15.4
0.385427,391.4,53.4,2133.7,111.8,2739.9,162.9,427.3,1866.7,2617.9,130.6,82.9,15.8
0.387427,391.1,54.6,2109.3,128.6,2740.2,173.4,426.2,1869.2,2620.5,130.8,82.8,16.2
0.389427,390.4,56.7,2073.3,142.1,2738.1,174.3,425.1,1871.7,2623.1,131.1,82.6,16.6
0.391427,390.1,57.3,2044.4,136.2,2734.3,159.1,424,1874.2,2625.6,131.3,82.4,16.8
0.393427,390.2,54.6,2028.6,123.8,2727.3,142.6,422.9,1876.7,2628.2,131.5,82.1,16.8
0.395427,392.5,51.8,2018.4,120.9,2713.7,139.6,421.9,1879.2,2630.7,131.7,81.8,16.7
0.397427,398.5,54.1,2006.5,136.8,2691.0,163.2,420.9,1881.7,2633.2,131.9,81.3,16.2
0.399427,405.9,62.6,1989.1,172.8,2651.0,222.2,419.8,1884.2,2635.7,132.1,80.8,15.6
0.401427,408.7,72.9,1971.1,211.3,2602.0,276.9,418.9,1886.7,2638.2,132.3,80.2,14.9
0.403427,406.1,81.8,1953.1,224.8,2570.8,275.1,417.9,1889.2,2640.6,132.5,79.5,14.2
0.405427,400.7,88.5,1937.7,201.0,2569.8,236.5,416.9,1891.6,2643.1,132.7,78.7,13.5
0.407427,397.1,92.1,1924.1,167.3,2583.3,203.3,416,1894.1,2645.5,132.9,78,12.7
0.409427,396.9,91.6,1904.1,139.2,2599.8,178.6,415.1,1896.6,2647.9,133,77.3,11.8
0.411427,399.5,87.4,1881.0,121.9,2609.0,159.1,414.2,1899,2650.3,133.3,76.7,11
0.413427,401.0,82.9,1862.1,115.2,2606.1,144.2,413.3,1901.5,2652.6,133.5,76.2,10.3
0.415427,397.8,84.1,1852.2,125.1,2594.1,139.0,412.4,1903.9,2655,133.7,75.8,9.9
0.417427,389.8,94.1,1852.1,156.9,2582.0,150.2,411.6,1906.3,2657.3,133.9,75.4,9.6
0.419427,377.5,111.7,1860.2,215.6,2570.4,188.8,410.7,1908.8,2659.6,134.2,75,9.4
0.421427,366.1,131.8,1871.2,271.6,2555.3,255.2,409.9,1911.2,2661.9,134.5,74.6,9.4
0.423427,360.1,155.0,1877.1,282.7,2535.1,325.3,409.2,1913.6,2664.1,134.8,74.3,9.7
0.425427,360.9,173.1,1876.0,242.7,2530.9,346.5,408.4,1916,2666.3,135.1,74,10.3
0.427427,360.8,175.2,1871.0,198.0,2550.9,309.6,407.7,1918.4,2668.6,135.4,73.7,11.4
0.429427,351.0,166.2,1866.0,176.3,2568.2,262.8,406.9,1920.8,2670.7,135.7,73.4,12.9
0.431427,336.0,149.9,1867.3,185.2,2570.7,247.8,406.3,1923.2,2672.9,136.1,73.2,14.3
0.433427,327.6,128.2,1877.4,217.0,2567.8,267.2,405.6,1925.6,2675,136.5,73,15.1
0.435427,330.5,108.1,1893.8,264.5,2586.9,324.5,404.9,1927.9,2677.2,136.8,72.7,14.9
0.437427,337.4,98.3,1906.3,309.7,2669.5,376.0,404.3,1930.3,2679.3,137.2,72.5,13.9
0.439427,344.3,100.9,1904.6,350.7,2731.1,334.4,403.7,1932.6,2681.3,137.6,72.3,12.3
0.441427,351.3,112.8,1902.9,388.5,2730.4,326.1,403.1,1935,2683.4,138,72.2,10.6
0.443427,363.5,135.7,1889.2,407.9,2717.7,346.4,402.6,1937.3,2685.4,138.3,72.2,9.2
0.445427,375.4,161.3,1875.1,412.6,2706.7,358.1,402,1939.6,2687.4,138.7,72.4,8.3
0.447427,377.0,166.1,1868.7,419.0,2703.4,350.7,401.5,1941.9,2689.4,139,72.9,7.6
0.449427,367.3,142.0,1868.4,436.7,2707.4,328.0,401,1944.2,2691.3,139.4,73.7,7.2
0.451427,354.5,111.5,1880.4,469.1,2715.9,290.6,400.6,1946.5,2693.2,139.7,74.6,7
0.453427,346.0,94.8,1908.6,514.1,2726.3,245.2,400.1,1948.8,2695.1,139.9,75.6,7.1
0.455427,344.7,93.3,1931.5,616.2,2740.8,193.5,399.7,1951,2697,140.2,76.6,7.5
0.457427,346.5,96.8,1822.5,661.0,2736.5,144.5,399.3,1953.3,2698.8,140.4,77.5,8.5
0.459427,356.5,104.0,1647.4,422.9,2732.8,87.1,399,1955.5,2700.6,140.6,78.2,9.8
0.461427,365.9,108.5,1607.0,310.1,2738.7,58.0,398.6,1957.8,2702.4,140.7,78.9,11.2
0.463427,369.2,106.5,1605.1,283.2,2745.8,46.0,398.3,1960,2704.2,140.8,79.4,12.4
0.465427,365.8,96.5,1616.5,298.9,2754.7,39.4,398,1962.2,2705.9,140.9,79.8,13.4
0.467427,359.2,84.8,1640.1,357.8,2764.0,35.8,397.8,1964.4,2707.6,140.9,80,14.3
0.469427,353.4,75.2,1692.6,489.4,2772.4,35.0,397.5,1966.6,2709.3,140.9,80.2,15.1
0.471427,352.0,70.6,1773.3,666.0,2777.2,38.4,397.3,1968.8,2711,140.8,80.3,15.8
0.473427,353.2,70.8,1805.6,798.2,2777.3,47.5,397.1,1970.9,2712.6,140.7,80.4,16.4
0.475427,356.0,75.5,1741.6,854.4,2769.5,66.0,396.9,1973.1,2714.2,140.5,80.5,16.7
0.477427,359.0,79.7,1687.0,848.0,2749.5,83.5,396.8,1975.2,2715.8,140.4,80.5,16.8
0.479427,359.1,80.1,1690.5,767.1,2729.6,73.9,396.7,1977.4,2717.3,140.1,80.5,16.7
0.481427,354.8,77.9,1707.1,657.6,2725.5,57.7,396.6,1979.5,2718.8,139.9,80.5,16.6
0.483427,350.0,75.8,1695.0,569.2,2726.5,48.4,396.5,1981.6,2720.3,139.6,80.5,16.5
0.485427,348.5,77.0,1663.3,493.4,2728.6,42.3,396.5,1983.7,2721.8,139.2,80.5,16.5
0.487427,353.4,83.2,1626.5,417.3,2730.7,38.4,396.5,1985.8,2723.2,138.9,80.5,16.4
0.489427,367.8,92.3,1587.6,333.4,2733.0,37.1,396.5,1987.8,2724.6,138.5,80.6,16.3
0.491427,384.8,93.0,1562.3,278.2,2736.8,40.8,396.5,1989.9,2725.9,138,80.6,16.3
0.493427,391.8,87.4,1557.7,274.2,2745.0,48.0,396.6,1991.9,2727.3,137.5,80.7,16.5
0.495427,388.4,83.5,1570.6,332.9,2754.0,51.1,396.6,1993.9,2728.6,137.1,80.7,16.9
0.497427,382.9,81.7,1584.5,442.5,2755.6,53.0,396.7,1995.9,2729.9,136.5,80.7,17.8
0.499427,378.2,82.0,1588.0,588.5,2750.3,58.0,396.9,1997.9,2731.1,136,80.7,18.8
0.501427,373.6,82.9,1581.1,685.4,2740.3,64.3,397,1999.9,2732.4,135.4,80.8,19.8
0.503427,371.9,83.6,1572.1,690.5,2728.8,70.3,397.2,2001.9,2733.6,134.8,80.8,20.2
0.505427,376.6,87.9,1572.0,654.2,2721.8,72.8,397.4,2003.8,2734.7,134.2,80.8,19.9
0.507427,386.8,95.8,1575.7,615.7,2722.1,71.5,397.6,2005.8,2735.9,133.5,80.8,18.9
0.509427,405.3,105.7,1569.0,554.3,2726.4,68.9,397.8,2007.7,2737,132.9,80.8,17.5
0.511427,434.8,108.7,1563.7,456.9,2731.5,70.4,398.1,2009.6,2738.1,132.2,80.9,15.8
0.513427,466.5,96.6,1597.4,365.1,2738.4,85.4,398.4,2011.5,2739.1,131.5,80.9,14
0.515427,489.0,82.4,1691.6,293.4,2755.7,115.9,398.7,2013.4,2740.1,130.8,80.9,12.2
0.517427,506.4,71.6,1779.0,212.7,2780.4,125.2,399,2015.2,2741.1,130.1,81.1,10.1
0.519427,526.1,58.3,1822.9,147.4,2792.7,115.9,399.4,2017.1,2742.1,129.4,81.3,7.7
0.521427,539.5,45.8,1838.7,117.2,2787.9,116.0,399.8,2018.9,2743,128.6,81.6,5.6
