time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025698,326.2,335.8,1875.5,839.7,2310.2,2310.3,381.8,2213,2844.9,0,54.1,-186.5
0.027698,264.8,254.2,1724.4,797.6,2585.3,2161.8,381.9,2212.8,2844.8,0,57.9,-145.4
0.029698,264.7,218.1,1790.2,477.8,2996.3,658.2,382,2212.4,2844.6,189.5,61.4,-94.1
0.031698,307.1,285.3,1811.8,259.6,2855.9,461.5,382.2,2211.9,2844.4,188.9,64.4,-43
0.033698,383.2,276.2,1823.3,188.3,2773.8,371.8,382.5,2211.2,2844.1,188.4,66.9,-2.3
0.035698,406.7,231.7,1848.3,172.6,2745.4,325.9,382.8,2210.4,2843.7,187.9,68.9,18.9
0.037698,399.6,217.1,1890.1,187.4,2752.9,308.5,383.2,2209.4,2843.3,187.4,70.6,24.2
0.039698,379.7,205.6,1951.4,214.6,2771.2,293.1,383.6,2208.2,2842.8,186.9,71.8,19.8
0.041698,359.9,182.1,2035.3,238.9,2789.8,265.6,384.1,2206.9,2842.2,186.3,72.6,11.5
0.043698,351.9,157.1,2128.8,249.2,2804.0,234.7,384.6,2205.5,2841.6,185.9,73.2,4.8
0.045698,355.9,140.5,2231.7,245.6,2819.8,211.9,385.2,2203.9,2840.9,185.4,73.6,4.4
0.047698,368.4,134.8,2323.1,230.0,2843.3,198.7,385.9,2202.2,2840.1,184.9,73.8,6.4
0.049698,383.9,132.2,2394.8,215.6,2870.8,180.4,386.6,2200.3,2839.3,184.5,73.9,9.2
0.051698,395.5,128.8,2454.6,228.3,2888.9,159.9,387.3,2198.3,2838.4,184.1,74,12.3
0.053698,400.2,126.7,2520.8,278.8,2891.5,161.1,388.1,2196.1,2837.4,183.7,74.1,14.8
0.055698,403.3,125.0,2623.6,346.2,2876.5,207.0,389,2193.8,2836.4,183.3,74.2,16.3
0.057698,407.4,123.8,2761.5,235.4,2835.3,445.7,389.9,2191.4,2835.3,183,74.4,16.9
0.059698,412.7,123.4,2751.9,123.1,2935.7,676.0,390.9,2188.8,2834.2,182.6,74.5,17.1
0.061698,419.7,122.3,2740.8,84.1,3025.0,822.0,391.9,2186.1,2833,182.3,74.7,17.2
0.063698,427.4,118.3,2729.8,63.8,3089.5,927.0,393,2183.2,2831.8,182.1,74.9,17.3
0.065698,434.8,111.2,2720.2,51.1,3116.5,999.1,394.1,2180.3,2830.5,181.8,75,17.8
0.067698,440.5,103.8,2713.5,45.5,3082.3,1010.6,395.2,2177.2,2829.1,181.6,75.1,18.5
0.069698,445.6,96.5,2708.6,46.1,2994.4,948.2,396.5,2173.9,2827.7,181.3,75.2,19.3
0.071698,452.5,86.9,2705.4,53.7,2878.3,817.5,397.7,2170.6,2826.3,181.1,75.3,20
0.073698,460.7,75.5,2705.8,68.2,2769.1,668.3,399,2167.1,2824.8,180.9,75.3,20.6
0.075698,468.9,65.0,2670.7,534.9,2712.9,83.9,400.4,2163.5,2823.3,180.6,75.3,20.8
0.077698,474.5,60.0,2607.7,460.5,2720.1,87.8,401.8,2159.8,2821.7,180.4,75.3,20.7
0.079698,477.5,59.9,2573.5,411.0,2723.7,93.3,403.3,2156,2820.1,180.2,75.3,20.5
0.081698,478.7,63.4,2546.4,351.3,2730.4,106.7,404.8,2152.1,2818.4,179.9,75.2,20.1
0.083698,478.7,68.4,2512.0,286.9,2742.3,115.5,406.3,2148,2816.7,179.7,75.2,19.8
0.085698,477.9,74.9,2471.0,234.5,2752.6,117.8,407.9,2143.9,2815,179.4,75.2,19.5
0.087698,477.1,81.3,2434.5,208.7,2755.1,124.3,409.5,2139.7,2813.2,179.2,75.1,19.3
0.089698,477.1,86.2,2399.9,210.6,2748.7,138.2,411.2,2135.3,2811.4,178.9,75,19.2
0.091698,477.7,91.0,2358.9,253.5,2730.6,157.7,412.9,2130.9,2809.5,178.6,75,18.9
0.093698,477.7,98.0,2299.4,353.0,2702.1,169.6,414.6,2126.4,2807.7,178.3,74.8,18.3
0.095698,475.9,109.1,2183.7,514.1,2672.2,160.4,416.4,2121.8,2805.8,178,74.5,17.2
0.097698,473.6,122.3,2016.0,633.0,2659.1,147.0,418.3,2117.1,2803.9,177.7,74.1,15.4
0.099698,474.7,131.7,1857.4,641.1,2664.5,149.7,420.1,2112.3,2801.9,177.5,73.6,13.3
0.101698,481.3,134.9,1757.6,601.8,2687.8,173.0,422,2107.5,2800,177.2,72.9,11.3
0.103698,488.3,136.8,1712.5,598.1,2724.0,201.6,423.9,2102.6,2798,177,72.1,9.8
0.105698,489.6,143.3,1682.2,649.2,2768.6,208.2,425.9,2097.6,2796,176.8,71.3,10
0.107698,478.4,163.4,1640.1,779.3,2803.2,180.2,427.9,2092.5,2794,176.6,70.7,15.9
0.109698,448.5,212.8,1572.6,1075.4,2816.5,147.3,429.9,2087.4,2792,176.5,70.2,23
0.111698,401.2,273.4,1502.3,1542.1,2813.4,134.6,432,2082.3,2790,176.4,70,26.1
0.113698,360.0,279.6,1549.4,1888.1,2807.8,148.0,434,2077,2787.9,176.4,69.8,19.8
0.115698,331.3,243.2,1767.7,1921.2,2803.6,188.3,436.2,2071.8,2785.9,176.4,69.7,-2
0.117698,310.3,202.3,1989.5,1612.9,2800.9,247.5,438.3,2066.4,2783.9,176.6,69.6,-43
0.119698,291.4,174.5,2097.7,1279.3,2797.8,315.3,440.4,2061.1,2781.9,176.8,69.5,-94.2
0.121698,273.5,165.4,2124.4,1156.6,2787.9,387.5,442.6,2055.7,2779.8,177,69.2,-145.4
0.123698,262.8,169.2,2108.6,1217.6,2776.4,433.9,444.8,2050.3,2777.8,177.4,68.8,-186.5
0.125698,264.6,182.6,2088.8,1378.6,2770.8,424.3,447.1,2044.8,2775.8,177.9,68.3,-208.6
